City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Madisonville,LA,SAINT TAMMANY,2023-01-02,30.4,-90.2,2023,1,2,Winter,1
Cape Coral,FL,LEE,2023-01-02,26.6,-81.9,2023,1,2,Winter,7
West Palm Beach,FL,PALM BEACH,2023-01-02,26.8,-80.0,2023,1,2,Winter,48
Hilton Head Island,SC,BEAUFORT,2023-01-02,32.2,-80.7,2023,1,2,Winter,3
Houston,TX,HARRIS,2023-01-03,29.7,-95.4,2023,1,3,Winter,43
Spring,TX,HARRIS,2023-01-03,30.2,-95.5,2023,1,3,Winter,4
Spring,TX,MONTGOMERY,2023-01-03,30.2,-95.5,2023,1,3,Winter,6
Summerfield,FL,MARION,2023-01-03,29.0,-82.0,2023,1,3,Winter,1
Houston,TX,FORT BEND,2023-01-03,29.7,-95.4,2023,1,3,Winter,1
Tampa,FL,HILLSBOROUGH,2023-01-03,27.9,-82.5,2023,1,3,Winter,84
Tucson,AZ,PIMA,2023-01-04,32.3,-111.0,2023,1,4,Winter,95
Sanibel,FL,LEE,2023-01-04,26.4,-82.0,2023,1,4,Winter,2
Cape Coral,FL,LEE,2023-01-04,26.6,-82.0,2023,1,4,Winter,21
Marathon,FL,MONROE,2023-01-04,24.7,-81.1,2023,1,4,Winter,6
Vero Beach,FL,INDIAN RIVER,2023-01-04,27.6,-80.4,2023,1,4,Winter,5
West Palm Beach,FL,PALM BEACH,2023-01-04,26.8,-80.0,2023,1,4,Winter,24
Boynton Beach,FL,PALM BEACH,2023-01-04,26.5,-80.1,2023,1,4,Winter,6
Sugar Land,TX,FORT BEND,2023-01-05,29.6,-95.6,2023,1,5,Winter,5
Coconut Creek,FL,BROWARD,2023-01-05,26.3,-80.2,2023,1,5,Winter,3
West Palm Beach,FL,PALM BEACH,2023-01-05,26.8,-80.0,2023,1,5,Winter,24
Charleston,SC,BERKELEY,2023-01-06,32.7,-80.0,2023,1,6,Winter,4
Houston,TX,FORT BEND,2023-01-06,29.7,-95.4,2023,1,6,Winter,1
Panama City,FL,BAY,2023-01-06,30.2,-85.8,2023,1,6,Winter,24
Wellington,FL,PALM BEACH,2023-01-06,26.6,-80.3,2023,1,6,Winter,7
Houston,TX,HARRIS,2023-01-06,29.7,-95.4,2023,1,6,Winter,43
Charleston,SC,CHARLESTON,2023-01-06,32.7,-80.0,2023,1,6,Winter,11
Tomball,TX,HARRIS,2023-01-07,30.0,-95.6,2023,1,7,Winter,3
Sugar Land,TX,FORT BEND,2023-01-07,29.6,-95.6,2023,1,7,Winter,1
Jacksonville,FL,DUVAL,2023-01-07,30.2,-81.6,2023,1,7,Winter,22
Green Valley,AZ,PIMA,2023-01-07,31.9,-111.0,2023,1,7,Winter,3
Jacksonville,FL,SAINT JOHNS,2023-01-07,30.2,-81.6,2023,1,7,Winter,4
Houston,TX,HARRIS,2023-01-08,29.7,-95.4,2023,1,8,Winter,43
Pacific Grove,CA,MONTEREY,2023-01-08,36.6,-121.9,2023,1,8,Winter,8000
Wellington,FL,PALM BEACH,2023-01-08,26.7,-80.3,2023,1,8,Winter,7
Houston,TX,FORT BEND,2023-01-08,29.7,-95.4,2023,1,8,Winter,1
Glendora,CA,LOS ANGELES,2023-01-08,34.1,-117.9,2023,1,8,Winter,1
Tucson,AZ,PIMA,2023-01-08,32.2,-110.9,2023,1,8,Winter,38
Seabrook,TX,HARRIS,2023-01-08,29.6,-95.0,2023,1,8,Winter,18
Corpus Christi,TX,NUECES,2023-01-09,27.8,-97.4,2023,1,9,Winter,5
Tucson,AZ,PIMA,2023-01-09,32.2,-110.9,2023,1,9,Winter,19
Pascagoula,MS,JACKSON,2023-01-09,30.4,-88.6,2023,1,9,Winter,11
Tucson,AZ,PIMA,2023-01-09,32.3,-111.0,2023,1,9,Winter,95
Gulf Shores,AL,BALDWIN,2023-01-10,30.2,-87.7,2023,1,10,Winter,1
Orlando,FL,BREVARD,2023-01-10,28.6,-81.5,2023,1,10,Winter,3
