Town,State/Province,County,Count,Latitude,Longitude
Billings,MO,CHRISTIAN,3,37.1,-93.5
Billingsley,AL,AUTAUGA,1,32.7,-86.7
Biloxi,MS,HARRISON,63,30.4,-88.9
Binghamton,NY,BROOME,119,42.1,-75.9
Birmingham,AL,JEFFERSON,208,33.4,-86.9
Birmingham,AL,SHELBY,28,33.4,-86.9
Bishop,CA,INYO,9,37.5,-118.6
Bishopville,MD,WORCESTER,2,38.5,-75.1
Bixby,OK,TULSA,6,35.9,-95.9
Black Creek,WI,OUTAGAMIE,2,44.5,-88.4
Black Mountain,NC,BUNCOMBE,12,35.6,-82.3
Blackfoot,ID,BINGHAM,45,43.2,-112.3
Blairsville,GA,UNION,15,34.9,-84.1
Blanchard,OK,MCCLAIN,22,35.2,-97.7
Blanco,TX,BLANCO,2,30.1,-98.4
Bliss,NY,WYOMING,4,42.6,-78.3
Bloomburg,TX,CASS,1,33.1,-94.0
Bloomfield,NJ,ESSEX,48,40.8,-74.2
Bloomingdale,NJ,PASSAIC,3,41.0,-74.3
Bloomington,IN,MONROE,9,39.1,-86.5
Bloomington Springs,TN,PUTNAM,20,36.2,-85.6
Blue Bell,PA,MONTGOMERY,4,40.2,-75.3
Blue Hill,ME,HANCOCK,3,44.4,-68.6
Blue Hill,NE,WEBSTER,9,40.3,-98.5
Blue Mound,IL,MACON,6,39.7,-89.1
Bluffton,SC,BEAUFORT,12,32.2,-80.9
Boca Raton,FL,PALM BEACH,5,26.3,-80.1
Boerne,TX,KENDALL,198,29.8,-98.7
Bohemia,NY,SUFFOLK,1,40.8,-73.1
Boone,NC,WATAUGA,78,36.2,-81.7
Boonville,MO,COOPER,24,39.0,-92.7
Boonville,NC,YADKIN,4,36.2,-80.7
Boston,MA,SUFFOLK,20,42.4,-71.1
Boulder,UT,GARFIELD,4,37.9,-111.4
Bowling Green,KY,WARREN,15,37.0,-86.4
Boyce,VA,CLARKE,1,39.1,-78.1
Boyertown,PA,BERKS,39,40.4,-75.6
Bradenton,FL,MANATEE,16,27.4,-82.6
Bradley Beach,NJ,MONMOUTH,1,40.2,-74.0
Braham,MN,ISANTI,3,45.7,-93.2
Braidwood,IL,WILL,3,41.3,-88.2
Brandon,SD,MINNEHAHA,3,43.5,-96.6
Breaux Bridge,LA,SAINT MARTIN,6,30.3,-91.9
Brecksville,OH,CUYAHOGA,2,41.3,-81.6
Brevard,NC,TRANSYLVANIA,14,35.2,-82.7
Briarcliff Manor,NY,WESTCHESTER,4,41.1,-73.9
Bridgeton,MO,SAINT LOUIS,3,38.7,-90.4
Brigantine,NJ,ATLANTIC,4,39.4,-74.4
Brillion,WI,CALUMET,18,44.2,-88.1
Bristol,ME,LINCOLN,1,43.9,-69.5
Bristol,VA,BRISTOL CITY,8,36.6,-82.2
Bristol,VA,WASHINGTON,4,36.6,-82.2
Bristow,OK,CREEK,4,35.8,-96.4
Broken Arrow,OK,TULSA,16,36.1,-95.7
Broken Arrow,OK,WAGONER,16,36.1,-95.7
Bronaugh,MO,VERNON,2,37.7,-94.4
Brookfield,WI,WAUKESHA,1,43.0,-88.1
Brookings,SD,BROOKINGS,4,44.3,-96.8
Brookshire,TX,WALLER,36,29.9,-95.9
Brookville,IN,FRANKLIN,6,39.4,-85.0
Broomfield,CO,BROOMFIELD,24,39.9,-105.1
Broomfield,CO,JEFFERSON,16,39.9,-105.1
Broussard,LA,LAFAYETTE,2,30.1,-91.9
Brownsville,TX,CAMERON,12,26.0,-97.5
Brunswick,OH,MEDINA,44,41.2,-81.8
Bryan,TX,BRAZOS,176,30.7,-96.3
Bryceville,FL,NASSAU,2,30.4,-82.0
Bryson City,NC,SWAIN,4,35.4,-83.4
Buckeye,AZ,MARICOPA,1,33.5,-112.5
Buckhannon,WV,UPSHUR,4,39.0,-80.2
Buena,NJ,ATLANTIC,6,39.5,-74.9
Buffalo,NY,ERIE,117,42.9,-78.8
Buffalo Gap,TX,TAYLOR,8,32.3,-99.8
Bullock,NC,GRANVILLE,1,36.5,-78.5
Bumpass,VA,LOUISA,1,38.0,-77.7
Burden,KS,COWLEY,3,37.3,-96.8
Burke,VA,FAIRFAX,2,38.8,-77.3
Burlington,WI,RACINE,1,42.7,-88.2
Burnsville,MN,DAKOTA,1,44.8,-93.3
Cadillac,MI,WEXFORD,2,44.3,-85.4
Cairo,GA,GRADY,3,30.9,-84.2
Caldwell,NJ,ESSEX,10,40.8,-74.3
Calera,OK,BRYAN,94,33.9,-96.4
Calhoun,GA,GORDON,5,34.4,-85.0
California,PA,WASHINGTON,3,40.1,-79.9
Camarillo,CA,VENTURA,3,34.2,-119.1
Cambridge,MN,ISANTI,6,45.6,-93.4
Camdenton,MO,CAMDEN,16,38.0,-92.7
Campobello,SC,SPARTANBURG,19,35.1,-82.2
Canal Fulton,OH,STARK,8,40.9,-81.6
Canton,GA,CHEROKEE,12,34.3,-84.3
Canton,MI,WAYNE,2,42.3,-83.5
Canton,NC,HAYWOOD,5,35.3,-82.8
Canton,OH,STARK,21,40.9,-81.4
Canyon Lake,TX,COMAL,108,29.9,-98.2
Cape Charles,VA,NORTHAMPTON,3,37.3,-76.0
Cape May,NJ,CAPE MAY,320,38.9,-74.9
Cape May Point,NJ,CAPE MAY,220,38.9,-75.0
Carbondale,IL,JACKSON,36,37.7,-89.2
Carlton,GA,MADISON,2,34.0,-83.0
Carmel,IN,HAMILTON,3,39.9,-86.1
Carmichael,CA,SACRAMENTO,1,38.7,-121.3
Carolina Beach,NC,NEW HANOVER,8,34.0,-77.9
Carpinteria,CA,SANTA BARBARA,2,34.4,-119.5
Carrollton,GA,CARROLL,3,33.6,-85.1
Carrollton,TX,DALLAS,15,33.0,-96.9
Carrollton,TX,DENTON,15,33.0,-96.9
Castell,TX,LLANO,1,30.7,-99.0
Castroville,CA,MONTEREY,1,36.8,-121.7
Cathedral City,CA,RIVERSIDE,2,33.8,-116.5
Cedar,MI,LEELANAU,1,44.8,-85.8
Cedar Bluff,AL,CHEROKEE,2,34.3,-85.7
Cedar Creek,TX,BASTROP,6,30.1,-97.5
Cedar Falls,IA,BLACK HAWK,16,42.5,-92.5
Cedar Hill,TN,ROBERTSON,1,36.6,-87.0
Cedar Park,TX,WILLIAMSON,1,30.5,-97.8
Cedar Rapids,IA,LINN,24,42.0,-91.6
Center Point,TX,KERR,10,30.0,-99.0
Centerville,UT,DAVIS,1,40.9,-111.9
Centreville,MD,QUEEN ANNES,4,39.1,-76.1
Centreville,VA,FAIRFAX,2,38.8,-77.4
Champaign,IL,CHAMPAIGN,3,40.1,-88.3
Chandler,AZ,MARICOPA,2,33.3,-111.9
Chandler,TX,HENDERSON,1,32.3,-95.5
Chanhassen,MN,CARVER,1,44.9,-93.6
Chapel Hill,NC,ORANGE,8,35.9,-79.0
Chapin,SC,LEXINGTON,12,34.2,-81.3
Charleston,SC,BERKELEY,672,32.7,-80.0
Charleston,SC,CHARLESTON,1848,32.7,-80.0
Charlotte,NC,MECKLENBURG,294,35.2,-80.9
Charlottesville,VA,ALBEMARLE,16,38.0,-78.5
Charlottesville,VA,CHARLOTTESVILLE CITY,36,38.0,-78.5
Chatham,MA,BARNSTABLE,3,41.7,-70.0
Chatsworth,IL,LIVINGSTON,1,40.8,-88.3
Chattanooga,TN,HAMILTON,7,35.1,-85.3
Chelsea,OK,ROGERS,39,36.5,-95.4
Chenango Forks,NY,BROOME,4,42.2,-75.8
Cherokee,TX,SAN SABA,3,31.0,-98.7
Cherry Hill,NJ,CAMDEN,24,39.9,-75.0
Chesterfield,MO,SAINT LOUIS,12,38.7,-90.6
Chicago,IL,COOK,406,42.0,-87.7
Choctaw,OK,OKLAHOMA,47,35.4,-97.3
Chowchilla,CA,MADERA,3,37.1,-120.3
Christiansburg,VA,MONTGOMERY,10,37.1,-80.4
Christopher,IL,FRANKLIN,4,38.0,-89.1
Cibolo,TX,GUADALUPE,30,29.6,-98.2
Cincinnati,OH,CLERMONT,75,39.1,-84.4
Cincinnati,OH,HAMILTON,2775,39.1,-84.4
Clarks Hill,SC,MCCORMICK,1,33.7,-82.2
Clarksburg,PA,INDIANA,1,40.5,-79.3
Clarksville,AR,JOHNSON,5,35.5,-93.5
Clarksville,TN,MONTGOMERY,6,36.6,-87.4
Clayton,GA,RABUN,12,34.9,-83.5
Clayton,NC,JOHNSTON,6,35.6,-78.5
Clemson,SC,PICKENS,4,34.7,-82.8
Cleveland,OH,CUYAHOGA,2624,41.5,-81.7
Clifton Park,NY,SARATOGA,5,42.9,-73.7
Clinton,CT,MIDDLESEX,1,41.3,-72.5
Coal Center,PA,WASHINGTON,6,40.1,-79.9
Colcord,OK,DELAWARE,9,36.2,-94.7
Coldwater,MI,BRANCH,1,41.8,-85.0
Colfax,NC,GUILFORD,1,36.1,-80.0
Colleyville,TX,TARRANT,5,32.9,-97.2
Colorado Springs,CO,EL PASO,72,38.9,-104.9
Columbia,MD,HOWARD,63,39.2,-76.8
Columbia,MO,BOONE,22,39.0,-92.1
Columbia,SC,LEXINGTON,3,34.0,-81.0
Columbia,SC,RICHLAND,50,34.0,-81.0
Columbus,IN,BARTHOLOMEW,1,39.2,-85.9
Columbus,OH,DELAWARE,3,40.0,-83.0
Columbus,OH,FRANKLIN,81,40.0,-83.0
Columbus,WI,COLUMBIA,6,43.3,-89.0
Concord,CA,CONTRA COSTA,16,38.0,-122.0
Congerville,IL,WOODFORD,1,40.6,-89.2
Conneaut,OH,ASHTABULA,14,41.9,-80.7
Connellsville,PA,FAYETTE,8,40.0,-79.6
Conroe,TX,MONTGOMERY,56,30.1,-95.4
Conway,AR,FAULKNER,60,35.1,-92.4
Conway,SC,HORRY,2,33.9,-79.0
Conyers,GA,ROCKDALE,5,33.7,-84.0
Cookville,TX,TITUS,36,33.2,-94.9
Coopersburg,PA,LEHIGH,1,40.5,-75.4
Copake,NY,COLUMBIA,1,42.1,-73.5
Copan,OK,WASHINGTON,35,36.9,-96.0
Coral Gables,FL,MIAMI-DADE,12,25.8,-80.3
Corfu,NY,GENESEE,2,43.0,-78.3
Corpus Christi,TX,NUECES,55,27.7,-97.4
Corry,PA,ERIE,10,41.9,-79.6
Costa Mesa,CA,ORANGE,1,33.6,-117.9
Cottonwood,AZ,YAVAPAI,1,34.7,-112.1
Council Bluffs,IA,POTTAWATTAMIE,32,41.2,-95.9
Courtland,VA,SOUTHAMPTON,1,36.9,-77.2
Covington,GA,NEWTON,18,33.6,-83.9
Covington,LA,SAINT TAMMANY,10,30.5,-90.1
Crawfordville,FL,WAKULLA,132,30.2,-84.4
Crestview,FL,OKALOOSA,1,30.8,-86.5
Crivitz,WI,MARINETTE,3,45.2,-88.1
Crown Point,IN,LAKE,9,41.4,-87.3
Crumpler,NC,ASHE,10,36.5,-81.4
Crystal Lake,IL,MCHENRY,70,42.2,-88.4
Cullowhee,NC,JACKSON,40,35.2,-83.2
Cumming,GA,FORSYTH,5,34.1,-84.1
Cypress,TX,HARRIS,1,30.0,-95.7
Dagsboro,DE,SUSSEX,4,38.6,-75.2
Dakota,MN,WINONA,6,43.9,-91.4
Dallas,TX,COLLIN,756,32.8,-96.8
Dallas,TX,DALLAS,8694,32.8,-96.8
Dalton,GA,WHITFIELD,3,34.7,-85.0
Danville,VA,DANVILLE CITY,2,36.7,-79.5
Daphne,AL,BALDWIN,52,30.6,-87.8
Davidson,NC,MECKLENBURG,14,35.5,-80.8
Davidsonville,MD,ANNE ARUNDEL,1,38.9,-76.6
Dawsonville,GA,DAWSON,8,34.5,-84.3
Dayton,OH,GREENE,39,39.6,-84.1
Dayton,OH,MONTGOMERY,93,39.6,-84.1
De Kalb,TX,BOWIE,24,33.5,-94.6
De Tour Village,MI,CHIPPEWA,2,46.0,-83.9
De Witt,NE,SALINE,1,40.4,-96.9
Dearborn,MI,WAYNE,5,42.3,-83.2
Decatur,AL,MORGAN,2,34.6,-87.0
Decatur,GA,DEKALB,36,33.8,-84.3
Del Rio,TX,VAL VERDE,3,29.5,-100.9
Delphos,OH,ALLEN,1,40.9,-84.3
Delray Beach,FL,PALM BEACH,4,26.5,-80.2
Denton,TX,DENTON,18,33.2,-97.1
Denver,CO,ADAMS,16,39.7,-105.0
Denver,CO,ARAPAHOE,4,39.7,-105.0
