City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Aberdeen,MD,HARFORD,2023-08-22,2023,8,22,Summer,5,39.5,-76.2,359.0,238.0,111.0,7.0,3.0,0.0,0.0,200.0,74.0,45.0,0.0,0.0,189.0,170.0,0.0
Aberdeen,MD,HARFORD,2023-08-26,2023,8,26,Summer,2,39.5,-76.2,359.0,238.0,111.0,7.0,3.0,0.0,0.0,200.0,74.0,45.0,0.0,0.0,189.0,170.0,0.0
Abilene,TX,TAYLOR,2023-08-15,2023,8,15,Summer,7,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2023-08-28,2023,8,28,Summer,7,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2023-08-31,2023,8,31,Summer,7,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2023-09-06,2023,9,6,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2023-09-19,2023,9,19,Fall,7,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2023-10-06,2023,10,6,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abington,PA,MONTGOMERY,2023-08-17,2023,8,17,Summer,3,40.1,-75.1,365.0,232.0,127.0,1.0,3.0,2.0,0.0,284.0,67.0,44.0,0.0,0.0,144.0,221.0,0.0
Ada,OK,PONTOTOC,2023-08-31,2023,8,31,Summer,4,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-09-09,2023,9,9,Fall,4,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-09-15,2023,9,15,Fall,8,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-09-17,2023,9,17,Fall,4,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-09-18,2023,9,18,Fall,16,34.5,-96.6,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-10-07,2023,10,7,Fall,4,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Ada,OK,PONTOTOC,2023-10-08,2023,10,8,Fall,4,34.8,-96.7,358.0,252.0,106.0,0.0,0.0,0.0,0.0,93.0,64.0,42.0,0.0,0.0,258.0,94.0,6.0
Aiken,SC,AIKEN,2023-08-19,2023,8,19,Summer,3,33.5,-81.7,275.0,252.0,23.0,0.0,0.0,0.0,0.0,80.0,49.0,39.0,0.0,0.0,275.0,0.0,0.0
Aiken,SC,AIKEN,2023-08-21,2023,8,21,Summer,3,33.5,-81.7,275.0,252.0,23.0,0.0,0.0,0.0,0.0,80.0,49.0,39.0,0.0,0.0,275.0,0.0,0.0
Aiken,SC,AIKEN,2023-09-06,2023,9,6,Fall,3,33.5,-81.7,275.0,252.0,23.0,0.0,0.0,0.0,0.0,80.0,49.0,39.0,0.0,0.0,275.0,0.0,0.0
