City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Abilene,TX,TAYLOR,2020-03-31,2020,3,31,Spring,21,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-04-09,2020,4,9,Spring,7,32.5,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-08-24,2020,8,24,Summer,7,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-09-14,2020,9,14,Fall,14,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-09-15,2020,9,15,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-09-29,2020,9,29,Fall,119,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-02,2020,10,2,Fall,945,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-03,2020,10,3,Fall,14,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-04,2020,10,4,Fall,7,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-10,2020,10,10,Fall,14,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-11,2020,10,11,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-10-18,2020,10,18,Fall,21,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2020-11-06,2020,11,6,Fall,7,32.3,-99.7,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2020-04-16,2020,4,16,Spring,2,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2020-04-17,2020,4,17,Spring,2,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2020-05-03,2020,5,3,Spring,2,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2020-07-17,2020,7,17,Summer,2,36.7,-82.0,,,,,,,,,,,,,,,
Abington,MA,PLYMOUTH,2020-08-11,2020,8,11,Summer,2,42.1,-70.9,366.0,267.0,99.0,0.0,0.0,0.0,0.0,80.0,56.0,42.0,0.0,0.0,148.0,218.0,0.0
Absecon,NJ,ATLANTIC,2020-08-28,2020,8,28,Summer,16,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-09-13,2020,9,13,Fall,24,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-09-26,2020,9,26,Fall,8,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-05,2020,10,5,Fall,8,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-06,2020,10,6,Fall,24,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-07,2020,10,7,Fall,32,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-08,2020,10,8,Fall,32,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-09,2020,10,9,Fall,32,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-14,2020,10,14,Fall,32,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-21,2020,10,21,Fall,32,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Absecon,NJ,ATLANTIC,2020-10-22,2020,10,22,Fall,48,39.5,-74.5,359.0,286.0,73.0,0.0,0.0,0.0,0.0,90.0,55.0,37.0,0.0,0.0,170.0,189.0,0.0
Acton,MA,MIDDLESEX,2020-07-02,2020,7,2,Summer,3,42.5,-71.5,366.0,306.0,60.0,0.0,0.0,0.0,0.0,93.0,54.0,39.0,0.0,8.0,178.0,180.0,0.0
Acton,MA,MIDDLESEX,2020-08-15,2020,8,15,Summer,6,42.5,-71.4,366.0,306.0,60.0,0.0,0.0,0.0,0.0,93.0,54.0,39.0,0.0,8.0,178.0,180.0,0.0
Acton,MA,MIDDLESEX,2020-08-23,2020,8,23,Summer,15,42.5,-71.4,366.0,306.0,60.0,0.0,0.0,0.0,0.0,93.0,54.0,39.0,0.0,8.0,178.0,180.0,0.0
Acton,MA,MIDDLESEX,2020-10-10,2020,10,10,Fall,3,42.5,-71.4,366.0,306.0,60.0,0.0,0.0,0.0,0.0,93.0,54.0,39.0,0.0,8.0,178.0,180.0,0.0
Acworth,NH,SULLIVAN,2020-09-01,2020,9,1,Fall,2,43.2,-72.3,,,,,,,,,,,,,,,
Acworth,NH,SULLIVAN,2020-09-27,2020,9,27,Fall,4,43.2,-72.3,,,,,,,,,,,,,,,
Acworth,NH,SULLIVAN,2020-09-29,2020,9,29,Fall,5,43.2,-72.3,,,,,,,,,,,,,,,
Ada,MI,KENT,2020-07-06,2020,7,6,Summer,2,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Ada,MI,KENT,2020-07-13,2020,7,13,Summer,14,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Ada,MI,KENT,2020-07-23,2020,7,23,Summer,14,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Ada,MI,KENT,2020-08-02,2020,8,2,Summer,16,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Ada,MI,KENT,2020-08-12,2020,8,12,Summer,10,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Ada,MI,KENT,2020-10-11,2020,10,11,Fall,2,43.0,-85.5,365.0,267.0,90.0,7.0,1.0,0.0,0.0,154.0,62.0,39.0,0.0,0.0,220.0,145.0,0.0
Adams,MA,BERKSHIRE,2020-08-11,2020,8,11,Summer,1,42.6,-73.2,366.0,278.0,88.0,0.0,0.0,0.0,0.0,94.0,57.0,40.0,0.0,0.0,125.0,241.0,0.0
Adams,WI,ADAMS,2020-08-29,2020,8,29,Summer,1,43.8,-89.8,,,,,,,,,,,,,,,
Adkins,TX,BEXAR,2020-03-25,2020,3,25,Spring,2,29.3,-98.2,366.0,119.0,237.0,9.0,1.0,0.0,0.0,160.0,80.0,55.0,0.0,0.0,110.0,255.0,1.0
Adrian,MI,LENAWEE,2020-09-13,2020,9,13,Fall,4,41.9,-84.0,366.0,248.0,116.0,2.0,0.0,0.0,0.0,122.0,61.0,42.0,0.0,0.0,134.0,232.0,0.0
Afton,MN,WASHINGTON,2020-07-20,2020,7,20,Summer,1,44.9,-92.8,215.0,210.0,5.0,0.0,0.0,0.0,0.0,77.0,44.0,33.0,0.0,0.0,215.0,0.0,0.0
Aiken,SC,AIKEN,2020-03-28,2020,3,28,Spring,3,33.5,-81.8,259.0,258.0,1.0,0.0,0.0,0.0,0.0,71.0,44.0,32.0,0.0,0.0,259.0,0.0,0.0
Aiken,SC,AIKEN,2020-08-17,2020,8,17,Summer,3,33.6,-81.7,259.0,258.0,1.0,0.0,0.0,0.0,0.0,71.0,44.0,32.0,0.0,0.0,259.0,0.0,0.0
Aiken,SC,AIKEN,2020-08-19,2020,8,19,Summer,3,33.6,-81.7,259.0,258.0,1.0,0.0,0.0,0.0,0.0,71.0,44.0,32.0,0.0,0.0,259.0,0.0,0.0
Aiken,SC,AIKEN,2020-08-21,2020,8,21,Summer,3,33.6,-81.7,259.0,258.0,1.0,0.0,0.0,0.0,0.0,71.0,44.0,32.0,0.0,0.0,259.0,0.0,0.0
