City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Santa Cruz,CA,santa cruz,2020-01-01,37.0,-122.0,2020,1,1,Winter,4,51.0
San Antonio,TX,comal,2020-01-04,29.5,-98.5,2020,1,4,Winter,9,
San Antonio,TX,bexar,2020-01-04,29.5,-98.5,2020,1,4,Winter,96,51.0
Tucson,AZ,pima,2020-01-04,32.3,-110.9,2020,1,4,Winter,19,53.0
League City,TX,galveston,2020-01-05,29.5,-95.0,2020,1,5,Winter,4,39.0
Corpus Christi,TX,nueces,2020-01-05,27.8,-97.4,2020,1,5,Winter,5,38.0
Destin,FL,okaloosa,2020-01-06,30.4,-86.4,2020,1,6,Winter,1,42.0
Hollywood,FL,broward,2020-01-06,26.0,-80.4,2020,1,6,Winter,20,38.0
Laguna Niguel,CA,orange,2020-01-06,33.6,-117.7,2020,1,6,Winter,2,41.0
Pass Christian,MS,harrison,2020-01-06,30.3,-89.2,2020,1,6,Winter,4,24.0
Missouri City,TX,fort bend,2020-01-07,29.6,-95.6,2020,1,7,Winter,15,
Pass Christian,MS,harrison,2020-01-08,30.3,-89.2,2020,1,8,Winter,4,32.0
Clearwater,FL,pinellas,2020-01-08,28.0,-82.8,2020,1,8,Winter,3,44.0
Corpus Christi,TX,nueces,2020-01-10,27.8,-97.4,2020,1,10,Winter,5,54.0
Laguna Niguel,CA,orange,2020-01-10,33.6,-117.7,2020,1,10,Winter,2,54.0
Charleston,SC,charleston,2020-01-11,32.8,-80.0,2020,1,11,Winter,11,49.0
Charleston,SC,berkeley,2020-01-11,32.8,-80.0,2020,1,11,Winter,4,
Virginia Beach,VA,virginia beach city,2020-01-12,36.9,-76.1,2020,1,12,Winter,10,
Clearwater,FL,pinellas,2020-01-12,28.0,-82.8,2020,1,12,Winter,3,52.0
Pass Christian,MS,harrison,2020-01-12,30.3,-89.2,2020,1,12,Winter,4,44.0
Fernandina Beach,FL,nassau,2020-01-13,30.6,-81.5,2020,1,13,Winter,6,43.0
Savannah,GA,chatham,2020-01-13,31.9,-81.1,2020,1,13,Winter,20,49.0
Ruskin,FL,hillsborough,2020-01-13,27.7,-82.4,2020,1,13,Winter,3,55.0
Foley,AL,baldwin,2020-01-13,30.4,-87.7,2020,1,13,Winter,4,38.0
Pass Christian,MS,harrison,2020-01-14,30.3,-89.2,2020,1,14,Winter,4,16.0
Long Beach,MS,harrison,2020-01-14,30.4,-89.2,2020,1,14,Winter,1,16.0
Port O Connor,TX,calhoun,2020-01-14,28.5,-96.4,2020,1,14,Winter,2,
Corpus Christi,TX,nueces,2020-01-14,27.8,-97.4,2020,1,14,Winter,10,46.0
Pass Christian,MS,harrison,2020-01-15,30.3,-89.2,2020,1,15,Winter,8,21.0
Victoria,TX,victoria,2020-01-15,28.7,-96.9,2020,1,15,Winter,6,22.0
Victoria,TX,victoria,2020-01-15,28.8,-97.0,2020,1,15,Winter,6,22.0
Spring,TX,harris,2020-01-15,30.1,-95.5,2020,1,15,Winter,4,53.0
Spring,TX,montgomery,2020-01-15,30.1,-95.5,2020,1,15,Winter,6,47.0
Houston,TX,fort bend,2020-01-16,29.9,-95.7,2020,1,16,Winter,1,
Houston,TX,harris,2020-01-16,29.9,-95.7,2020,1,16,Winter,43,58.0
Pass Christian,MS,harrison,2020-01-16,30.3,-89.2,2020,1,16,Winter,4,37.0
Savannah,GA,chatham,2020-01-16,32.0,-81.1,2020,1,16,Winter,10,35.0
Dade City,FL,pasco,2020-01-17,28.4,-82.2,2020,1,17,Winter,3,41.0
