City,State/Province,County,Count,Latitude,Longitude
abbeville,LA,VERMILION,33,30.0,-92.1
aberdeen,NC,MOORE,1,35.1,-79.4
abilene,TX,TAYLOR,924,32.4,-99.7
abingdon,VA,WASHINGTON,18,36.7,-81.9
absecon,NJ,ATLANTIC,24,39.5,-74.5
accord,NY,ULSTER,20,41.8,-74.2
acton,ME,YORK,2,43.5,-70.9
acushnet,MA,BRISTOL,6,41.7,-70.9
acworth,GA,CHEROKEE,6,34.0,-84.7
acworth,GA,COBB,12,34.0,-84.7
acworth,NH,SULLIVAN,10,43.2,-72.3
ada,MI,KENT,12,43.0,-85.5
ada,OK,PONTOTOC,4,34.8,-96.7
adams,TN,ROBERTSON,1,36.6,-87.1
advance,NC,DAVIE,6,35.9,-80.4
afton,MN,WASHINGTON,3,44.9,-92.8
afton,NY,CHENANGO,4,42.2,-75.5
afton,VA,NELSON,11,37.9,-78.8
aiken,SC,AIKEN,9,33.6,-81.7
akron,CO,WASHINGTON,9,39.9,-103.3
akron,OH,SUMMIT,63,41.1,-81.5
alamogordo,NM,OTERO,4,32.8,-106.1
albany,LA,LIVINGSTON,6,30.5,-90.6
albany,NY,ALBANY,92,42.7,-73.9
albert lea,MN,FREEBORN,6,43.6,-93.3
albertville,AL,MARSHALL,1,34.3,-86.2
albertville,MN,WRIGHT,4,45.2,-93.7
albuquerque,NM,BERNALILLO,360,35.1,-106.5
alcalde,NM,RIO ARRIBA,6,36.1,-106.0
alderson,WV,MONROE,8,37.7,-80.7
aldrich,MO,POLK,8,37.5,-93.6
aledo,TX,PARKER,15,32.7,-97.6
alexander,AR,SALINE,3,34.7,-92.5
alexandria,LA,RAPIDES,34,31.3,-92.5
alexandria,VA,ALEXANDRIA CITY,528,38.7,-77.1
alexandria,VA,FAIRFAX,480,38.7,-77.1
allen,TX,COLLIN,81,33.1,-96.7
allenton,MI,SAINT CLAIR,160,42.9,-82.9
allenton,WI,WASHINGTON,113,43.4,-88.4
alma,MI,GRATIOT,1,43.5,-84.7
almont,MI,LAPEER,4,42.9,-83.1
alpena,MI,ALPENA,1,45.1,-83.4
alpine,TX,BREWSTER,2,30.4,-103.6
alstead,NH,CHESHIRE,24,43.1,-72.3
alto,GA,HABERSHAM,1,34.4,-83.6
altoona,IA,POLK,36,41.6,-93.5
altura,MN,WINONA,72,44.2,-91.9
alva,OK,WOODS,51,36.8,-98.7
amagansett,NY,SUFFOLK,3,41.0,-72.1
amarillo,TX,POTTER,272,35.2,-101.8
amarillo,TX,RANDALL,136,35.2,-101.8
amazonia,MO,ANDREW,12,39.9,-94.9
ambler,PA,MONTGOMERY,20,40.2,-75.2
ames,IA,STORY,52,42.0,-93.6
amesville,OH,ATHENS,3,39.4,-82.0
amherst,NH,HILLSBOROUGH,4,42.8,-71.6
amherst,VA,AMHERST,30,37.6,-79.0
amherst,WI,PORTAGE,3,44.5,-89.3
anahuac,TX,CHAMBERS,40,29.5,-94.7
ancram,NY,COLUMBIA,1,42.1,-73.7
anderson,IN,MADISON,140,40.1,-85.7
andersonville,TN,ANDERSON,11,36.2,-84.0
andover,MN,ANOKA,670,45.2,-93.4
andover,NH,MERRIMACK,6,43.5,-71.7
aniwa,WI,MARATHON,2,45.0,-89.4
ann arbor,MI,WASHTENAW,363,42.3,-83.7
anna,TX,COLLIN,37,33.3,-96.5
annandale,MN,WRIGHT,3,45.2,-94.2
annandale,VA,FAIRFAX,7,38.8,-77.2
annapolis,MD,ANNE ARUNDEL,590,39.0,-76.5
anoka,MN,ANOKA,525,45.2,-93.4
ansonia,OH,DARKE,37,40.2,-84.6
antelope,OR,WASCO,2,44.9,-120.5
antigo,WI,LANGLADE,4,45.1,-89.1
antioch,IL,LAKE,3,42.5,-88.1
apalachicola,FL,FRANKLIN,10,29.7,-85.0
apex,NC,WAKE,108,35.7,-78.9
apollo beach,FL,HILLSBOROUGH,2,27.8,-82.4
apopka,FL,ORANGE,1,28.7,-81.6
apple valley,CA,SAN BERNARDINO,4,34.5,-117.2
applegate,MI,SANILAC,12,43.4,-82.6
appleton,WI,OUTAGAMIE,40,44.3,-88.4
arabi,LA,SAINT BERNARD,13,30.0,-90.0
arcade,NY,WYOMING,12,42.6,-78.4
arcadia,FL,DE SOTO,21,27.3,-81.9
arcadia,KS,CRAWFORD,45,37.6,-94.8
arcadia,MI,MANISTEE,12,44.5,-86.2
ardmore,PA,MONTGOMERY,1,40.0,-75.3
argyle,TX,DENTON,5,33.1,-97.1
arkadelphia,AR,CLARK,224,34.1,-93.2
arkansas city,KS,COWLEY,3,37.1,-97.0
arlington,IN,RUSH,1,39.7,-85.6
arlington,TX,TARRANT,276,32.7,-97.2
arlington,VA,ARLINGTON,578,38.9,-77.1
arlington,WI,COLUMBIA,25,43.3,-89.4
arlington heights,IL,COOK,12,42.1,-88.0
armuchee,GA,FLOYD,7,34.4,-85.2
arnold,MO,JEFFERSON,1,38.4,-90.4
art,TX,MASON,6,30.7,-99.0
arvada,CO,JEFFERSON,2,39.8,-105.1
ash grove,MO,GREENE,2,37.3,-93.6
ashburn,VA,LOUDOUN,12,39.0,-77.5
asheboro,NC,RANDOLPH,22,35.7,-79.8
asheville,NC,BUNCOMBE,1260,35.6,-82.5
ashland,KY,BOYD,96,38.5,-82.6
ashland,MO,BOONE,1,38.8,-92.3
ashland,NH,GRAFTON,2,43.7,-71.6
ashland,OH,ASHLAND,8,40.9,-82.3
ashmore,IL,COLES,1,39.5,-88.0
ashtabula,OH,ASHTABULA,5,41.9,-80.8
ashton,IL,LEE,17,41.9,-89.2
ashville,NY,CHAUTAUQUA,2,42.1,-79.4
aston,PA,DELAWARE,16,39.9,-75.4
atchison,KS,ATCHISON,30,39.6,-95.1
atco,NJ,CAMDEN,3,39.8,-74.9
athens,GA,CLARKE,132,34.0,-83.4
athens,OH,ATHENS,12,39.3,-82.1
athens,PA,BRADFORD,6,41.9,-76.5
atlanta,GA,COBB,928,33.9,-84.2
atlanta,GA,DEKALB,1972,33.9,-84.2
atlanta,GA,FULTON,3364,33.9,-84.2
atlantic beach,NC,CARTERET,210,34.7,-76.7
atlantic beach,NY,NASSAU,8,40.6,-73.7
atlantic city,NJ,ATLANTIC,2,39.4,-74.4
atoka,TN,TIPTON,4,35.4,-89.8
attalla,AL,ETOWAH,5,34.1,-86.1
aubrey,TX,DENTON,66,33.2,-96.9
auburn,AL,LEE,2,32.6,-85.5
auburn,IN,DE KALB,6,41.4,-85.0
audubon,PA,MONTGOMERY,12,40.1,-75.4
augusta,GA,COLUMBIA,26,33.5,-82.1
augusta,GA,RICHMOND,52,33.5,-82.1
augusta,MI,KALAMAZOO,2,42.3,-85.4
augusta,MO,SAINT CHARLES,15,38.6,-90.8
aurora,CO,ADAMS,5,39.6,-104.8
aurora,CO,ARAPAHOE,4,39.6,-104.8
aurora,IL,DUPAGE,3,41.7,-88.3
aurora,IL,KANE,4,41.7,-88.3
aurora,IL,WILL,1,41.7,-88.3
aurora,IN,DEARBORN,25,39.1,-84.9
aurora,NY,CAYUGA,16,42.7,-76.7
austin,MN,MOWER,116,43.7,-93.0
austin,TX,HAYS,397,30.3,-97.8
austin,TX,TRAVIS,17071,30.3,-97.8
austin,TX,WILLIAMSON,1191,30.3,-97.8
austwell,TX,REFUGIO,3,28.2,-96.9
avalon,NJ,CAPE MAY,12,39.1,-74.7
avon,IN,HENDRICKS,12,39.8,-86.4
avon,NC,DARE,98,35.4,-75.5
avon,NY,LIVINGSTON,1,42.9,-77.7
avon,SD,BON HOMME,10,43.0,-98.1
avon lake,OH,LORAIN,21,41.5,-82.0
avondale,PA,CHESTER,1,39.9,-75.8
azle,TX,PARKER,2,32.9,-97.5
azle,TX,TARRANT,6,32.9,-97.5
babylon,NY,SUFFOLK,728,40.6,-73.2
baileys harbor,WI,DOOR,12,45.1,-87.1
bainbridge,IN,PUTNAM,2,39.8,-86.8
bainbridge,NY,CHENANGO,5,42.3,-75.4
bakersville,NC,MITCHELL,23,36.1,-82.1
bala cynwyd,PA,MONTGOMERY,20,40.0,-75.2
baldwin,WI,SAINT CROIX,9,45.0,-92.4
baldwinsville,NY,ONONDAGA,6,43.2,-76.3
ball ground,GA,CHEROKEE,9,34.4,-84.3
ballwin,MO,SAINT LOUIS,903,38.6,-90.5
bally,PA,BERKS,88,40.4,-75.6
balsam grove,NC,TRANSYLVANIA,46,35.3,-82.8
baltic,OH,TUSCARAWAS,12,40.4,-81.7
baltimore,MD,ANNE ARUNDEL,14,39.3,-76.5
baltimore,MD,BALTIMORE,21,39.3,-76.5
baltimore,MD,BALTIMORE CITY,266,39.3,-76.5
bandera,TX,BANDERA,8,29.7,-99.0
bangor,MI,VAN BUREN,2,42.3,-86.1
bangor,PA,NORTHAMPTON,3,40.8,-75.2
bar harbor,ME,HANCOCK,27,44.4,-68.2
baraboo,WI,SAUK,4,43.5,-89.8
barboursville,VA,ORANGE,21,38.2,-78.3
barco,NC,CURRITUCK,13,36.4,-76.0
bark river,MI,DELTA,54,45.6,-87.2
barling,AR,SEBASTIAN,4,35.3,-94.3
barnegat light,NJ,OCEAN,6,39.8,-74.1
barnesville,MN,CLAY,188,46.7,-96.4
barnstable,MA,BARNSTABLE,4,41.6,-70.4
barre,VT,WASHINGTON,144,44.2,-72.5
barrington,IL,LAKE,60,42.2,-88.1
bartlesville,OK,WASHINGTON,24,36.7,-95.9
bartlett,IL,DUPAGE,12,42.0,-88.2
bartlett,NH,CARROLL,12,44.1,-71.2
barton city,MI,ALCONA,1,44.7,-83.6
bastrop,TX,BASTROP,8,30.1,-97.3
batavia,OH,CLERMONT,56,39.2,-84.1
bath,IN,FRANKLIN,6,39.5,-84.8
baton rouge,LA,EAST BATON ROUGE,646,30.4,-91.0
battle creek,MI,CALHOUN,34,42.3,-85.2
battle ground,IN,TIPPECANOE,1,40.5,-86.8
bay city,TX,MATAGORDA,30,28.6,-96.0
bay city,WI,PIERCE,8,44.6,-92.5
bay shore,NY,SUFFOLK,430,40.6,-73.2
bay village,OH,CUYAHOGA,134,41.5,-81.9
bayfield,WI,BAYFIELD,150,46.8,-90.8
bayport,MN,WASHINGTON,3,45.0,-92.8
bayside,NY,QUEENS,90,40.8,-73.8
baytown,TX,CHAMBERS,36,29.7,-94.9
baytown,TX,HARRIS,78,29.7,-94.9
bayville,NY,NASSAU,22,40.9,-73.5
beach haven,NJ,OCEAN,560,39.6,-74.2
beachwood,NJ,OCEAN,35,39.9,-74.2
beachwood,OH,CUYAHOGA,14,41.5,-81.5
beacon,NY,DUTCHESS,3,41.5,-74.0
bear,DE,NEW CASTLE,98,39.6,-75.7
beaufort,NC,CARTERET,16,34.7,-76.6
beaufort,SC,BEAUFORT,25,32.4,-80.7
beaumont,TX,JEFFERSON,210,30.1,-94.1
beaver city,NE,FURNAS,1,40.2,-99.9
becker,MN,SHERBURNE,1,45.4,-93.9
bedford,MA,MIDDLESEX,11,42.5,-71.3
bedford,NH,HILLSBOROUGH,1,42.9,-71.5
bedford,TX,TARRANT,10,32.9,-97.1
bedford,VA,BEDFORD,6,37.3,-79.6
bel air,MD,HARFORD,2,39.5,-76.3
belfast,ME,WALDO,9,44.4,-69.0
belgrade,ME,KENNEBEC,4,44.5,-69.9
bella vista,AR,BENTON,30,36.5,-94.3
bellaire,MI,ANTRIM,1,45.0,-85.2
bellbrook,OH,GREENE,105,39.6,-84.1
belle,MO,MARIES,12,38.3,-91.7
bellefontaine,OH,LOGAN,177,40.4,-83.8
bellefonte,PA,CENTRE,52,40.9,-77.8
belleville,IL,SAINT CLAIR,5,38.5,-89.9
belleville,KS,REPUBLIC,43,39.8,-97.6
belleville,MI,WAYNE,8,42.2,-83.5
bellevue,KY,CAMPBELL,4,39.1,-84.5
bellevue,NE,SARPY,376,41.2,-95.9
bellmawr,NJ,CAMDEN,3,39.9,-75.1
bellville,OH,RICHLAND,28,40.6,-82.5
belmar,NJ,MONMOUTH,44,40.2,-74.0
belmont,MI,KENT,3,43.1,-85.5
beloit,WI,ROCK,7,42.5,-89.0
belton,MO,CASS,6,38.8,-94.5
belton,SC,ANDERSON,1,34.6,-82.4
belton,TX,BELL,33,31.1,-97.6
belvidere,IL,BOONE,1,42.3,-88.8
belzoni,MS,HUMPHREYS,4,33.3,-90.5
bemidji,MN,BELTRAMI,30,47.5,-94.8
benedict,ND,MCLEAN,1,47.8,-101.1
benicia,CA,SOLANO,3,38.0,-122.2
bennington,NE,DOUGLAS,1,41.3,-96.1
bensalem,PA,BUCKS,100,40.2,-74.9
benton,AR,SALINE,24,34.6,-92.6
benton,PA,COLUMBIA,12,41.3,-76.3
benton harbor,MI,BERRIEN,3,42.2,-86.4
berea,KY,MADISON,12,37.6,-84.3
berea,OH,CUYAHOGA,1,41.4,-81.9
berkeley,CA,ALAMEDA,56,37.9,-122.3
berkeley springs,WV,MORGAN,4,39.5,-78.3
berlin,MD,WORCESTER,33,38.3,-75.2
bessemer,AL,JEFFERSON,7,33.4,-87.0
bethany,OK,OKLAHOMA,2,35.5,-97.6
bethany beach,DE,SUSSEX,60,38.6,-75.1
bethesda,MD,MONTGOMERY,40,39.0,-77.1
bethlehem,GA,BARROW,1,33.9,-83.7
bethlehem,PA,LEHIGH,2,40.6,-75.4
bethlehem,PA,NORTHAMPTON,4,40.6,-75.4
bettendorf,IA,SCOTT,18,41.5,-90.5
beverly,MA,ESSEX,4,42.6,-70.9
bevier,MO,MACON,6,39.8,-92.6
biddeford,ME,YORK,6,43.5,-70.4
big indian,NY,ULSTER,2,42.1,-74.4
big rapids,MI,MECOSTA,20,43.7,-85.4
big rock,IL,KANE,1,41.8,-88.5
big sandy,TN,BENTON,1,36.2,-88.1
big spring,TX,HOWARD,66,32.2,-101.5
big sur,CA,MONTEREY,78964,36.2,-121.6
billingsley,AL,AUTAUGA,3,32.7,-86.7
biloxi,MS,HARRISON,117,30.5,-88.9
binghamton,NY,BROOME,68,42.2,-75.9
bird island,MN,RENVILLE,50,44.8,-94.9
birmingham,AL,JEFFERSON,1040,33.4,-86.8
birmingham,AL,SHELBY,140,33.4,-86.8
birmingham,MI,OAKLAND,12,42.5,-83.2
bishopville,MD,WORCESTER,122,38.4,-75.2
bixby,OK,TULSA,14,35.9,-95.8
black creek,WI,OUTAGAMIE,2,44.5,-88.4
black mountain,NC,BUNCOMBE,50,35.6,-82.3
black river,MI,ALCONA,2,44.8,-83.3
black river falls,WI,JACKSON,9,44.3,-90.9
blacklick,OH,FRANKLIN,1,40.0,-82.8
blairsville,GA,UNION,22,35.0,-84.0
bloomfield,NE,KNOX,174,42.8,-97.7
