City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Abbeville,LA,VERMILION,2018-04-24,2018,4,24,Spring,3,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-05-03,2018,5,3,Spring,3,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-08-11,2018,8,11,Summer,3,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-10-07,2018,10,7,Fall,6,30.0,-92.2,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-10-18,2018,10,18,Fall,3,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-10-26,2018,10,26,Fall,6,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-10-31,2018,10,31,Fall,6,30.0,-92.1,,,,,,,,,,,,,,,
Abbeville,LA,VERMILION,2018-11-02,2018,11,2,Fall,3,30.0,-92.1,,,,,,,,,,,,,,,
Aberdeen,NC,MOORE,2018-11-07,2018,11,7,Fall,1,35.1,-79.4,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-08-23,2018,8,23,Summer,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-08-25,2018,8,25,Summer,7,32.5,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-08-28,2018,8,28,Summer,21,32.3,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-08-30,2018,8,30,Summer,28,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-09-15,2018,9,15,Fall,7,32.3,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-09-25,2018,9,25,Fall,28,32.5,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-09-27,2018,9,27,Fall,28,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-09-28,2018,9,28,Fall,308,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-10-07,2018,10,7,Fall,56,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-10-08,2018,10,8,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-10-09,2018,10,9,Fall,280,32.4,-99.8,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-10-22,2018,10,22,Fall,140,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2018-10-27,2018,10,27,Fall,7,32.4,-99.7,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2018-09-18,2018,9,18,Fall,2,36.7,-81.9,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2018-10-02,2018,10,2,Fall,4,36.7,-81.9,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2018-10-09,2018,10,9,Fall,8,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2018-10-14,2018,10,14,Fall,2,36.7,-82.0,,,,,,,,,,,,,,,
Abingdon,VA,WASHINGTON,2018-10-17,2018,10,17,Fall,2,36.7,-81.9,,,,,,,,,,,,,,,
Absecon,NJ,ATLANTIC,2018-08-22,2018,8,22,Summer,8,39.5,-74.5,365.0,277.0,87.0,1.0,0.0,0.0,0.0,112.0,56.0,41.0,0.0,0.0,183.0,182.0,0.0
Absecon,NJ,ATLANTIC,2018-10-13,2018,10,13,Fall,8,39.4,-74.5,365.0,277.0,87.0,1.0,0.0,0.0,0.0,112.0,56.0,41.0,0.0,0.0,183.0,182.0,0.0
Absecon,NJ,ATLANTIC,2018-11-07,2018,11,7,Fall,8,39.5,-74.5,365.0,277.0,87.0,1.0,0.0,0.0,0.0,112.0,56.0,41.0,0.0,0.0,183.0,182.0,0.0
Accord,NY,ULSTER,2018-10-08,2018,10,8,Fall,20,41.8,-74.2,,,,,,,,,,,,,,,
