City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Fort Pierce,FL,saintlucie,2018-02-15,27.4,-80.3,2018,2,15,Winter,12,,
Spring,TX,harris,2018-02-15,30.1,-95.4,2018,2,15,Winter,4,51.0,71.53549377777777
Orlando,FL,brevard,2018-02-16,28.5,-81.5,2018,2,16,Winter,3,44.0,
Weslaco,TX,hidalgo,2018-02-16,26.1,-98.0,2018,2,16,Winter,4,54.0,74.91666649999999
Sanibel,FL,lee,2018-02-16,26.4,-82.0,2018,2,16,Winter,2,36.0,71.5
Santa Monica,CA,losangeles,2018-02-16,34.0,-118.5,2018,2,16,Winter,1,58.0,60.37976185714286
Orlando,FL,orange,2018-02-16,28.5,-81.5,2018,2,16,Winter,23,42.0,
Sanibel,FL,lee,2018-02-17,26.4,-82.0,2018,2,17,Winter,2,38.0,71.875
Melbourne,FL,brevard,2018-02-18,28.1,-80.7,2018,2,18,Winter,33,47.0,
Crawfordville,FL,wakulla,2018-02-18,30.1,-84.2,2018,2,18,Winter,6,24.0,68.291667
Panama City Beach,FL,bay,2018-02-18,30.2,-85.8,2018,2,18,Winter,20,30.0,
Plantation,FL,broward,2018-02-19,26.1,-80.2,2018,2,19,Winter,4,38.0,
Crawfordville,FL,wakulla,2018-02-19,30.1,-84.2,2018,2,19,Winter,3,32.0,68.375
Pembroke Pines,FL,broward,2018-02-21,26.0,-80.3,2018,2,21,Winter,10,53.0,
Nokomis,FL,sarasota,2018-02-22,27.1,-82.4,2018,2,22,Winter,2,45.0,
Lake Wales,FL,polk,2018-02-22,27.9,-81.6,2018,2,22,Winter,6,48.0,74.166667
Long Beach,CA,losangeles,2018-02-22,33.8,-118.1,2018,2,22,Winter,40,65.0,49.566964285714285
Sugar Land,TX,fortbend,2018-02-24,29.6,-95.7,2018,2,24,Winter,1,,
Whittier,CA,losangeles,2018-02-25,34.0,-118.0,2018,2,25,Winter,10,55.0,53.797321571428576
Bradenton,FL,manatee,2018-02-25,27.5,-82.6,2018,2,25,Winter,32,29.0,
Sugar Land,TX,fortbend,2018-02-26,29.6,-95.7,2018,2,26,Winter,1,,
Sugar Land,TX,fortbend,2018-02-26,29.6,-95.6,2018,2,26,Winter,1,,
Ormond Beach,FL,volusia,2018-02-26,29.3,-81.1,2018,2,26,Winter,1,36.0,75.583333
Port Charlotte,FL,charlotte,2018-02-27,27.0,-82.1,2018,2,27,Winter,3,,
Sugar Land,TX,fortbend,2018-02-27,29.6,-95.7,2018,2,27,Winter,1,,
Houston,TX,harris,2018-02-28,29.7,-95.5,2018,2,28,Winter,129,57.0,74.97916666666667
Houston,TX,fortbend,2018-02-28,29.7,-95.5,2018,2,28,Winter,3,,
Sugar Land,TX,fortbend,2018-02-28,29.6,-95.7,2018,2,28,Winter,1,,
Clearwater,FL,pinellas,2018-03-01,28.0,-82.7,2018,3,1,Spring,3,47.0,74.166667
Houston,TX,harris,2018-03-01,29.8,-95.6,2018,3,1,Spring,86,48.0,70.47794111764705
Seadrift,TX,calhoun,2018-03-01,28.4,-96.7,2018,3,1,Spring,2,,
Sugar Land,TX,fortbend,2018-03-01,29.6,-95.7,2018,3,1,Spring,2,,
Houston,TX,fortbend,2018-03-01,29.8,-95.6,2018,3,1,Spring,2,,
Corpus Christi,TX,nueces,2018-03-02,27.8,-97.4,2018,3,2,Spring,5,52.0,64.46875
Austwell,TX,refugio,2018-03-02,28.2,-96.9,2018,3,2,Spring,3,,
Sugar Land,TX,fortbend,2018-03-02,29.6,-95.7,2018,3,2,Spring,1,,
San Diego,CA,sandiego,2018-03-03,32.8,-117.2,2018,3,3,Spring,60,46.0,54.52380957142857
Chula Vista,CA,sandiego,2018-03-03,32.6,-117.1,2018,3,3,Spring,2,46.0,54.52380957142857
Escondido,CA,sandiego,2018-03-03,33.2,-117.2,2018,3,3,Spring,2,46.0,54.52380957142857
Sugar Land,TX,fortbend,2018-03-03,29.6,-95.7,2018,3,3,Spring,1,,
Jupiter,FL,palmbeach,2018-03-03,26.9,-80.1,2018,3,3,Spring,8,46.0,
Sugar Land,TX,fortbend,2018-03-04,29.6,-95.7,2018,3,4,Spring,1,,
Corpus Christi,TX,nueces,2018-03-05,27.8,-97.4,2018,3,5,Spring,5,49.0,74.33333325
Santa Fe,TX,galveston,2018-03-05,29.4,-95.1,2018,3,5,Spring,3,34.0,70.958333
Rancho Santa Margarita,CA,orange,2018-03-05,33.6,-117.6,2018,3,5,Spring,3,48.0,60.81875025
San Antonio,TX,bexar,2018-03-06,29.3,-98.5,2018,3,6,Spring,32,54.0,63.499999833333334
Mill Valley,CA,marin,2018-03-06,37.9,-122.5,2018,3,6,Spring,4,37.0,
San Antonio,TX,comal,2018-03-06,29.3,-98.5,2018,3,6,Spring,3,,
Homosassa,FL,citrus,2018-03-06,28.8,-82.6,2018,3,6,Spring,3,54.0,
Beaumont,TX,jefferson,2018-03-07,30.0,-94.3,2018,3,7,Spring,7,53.0,55.53472216666666
Santa Ana,CA,orange,2018-03-07,33.8,-117.8,2018,3,7,Spring,9,63.0,61.16458325
Corpus Christi,TX,nueces,2018-03-07,27.8,-97.4,2018,3,7,Spring,5,42.0,60.0
Benicia,CA,solano,2018-03-07,38.0,-122.2,2018,3,7,Spring,3,52.0,
Melbourne,FL,brevard,2018-03-07,28.1,-80.7,2018,3,7,Spring,11,49.0,
Port Lavaca,TX,calhoun,2018-03-07,28.4,-96.4,2018,3,7,Spring,20,,
Gulf Shores,AL,baldwin,2018-03-07,30.2,-87.7,2018,3,7,Spring,1,,
Key West,FL,monroe,2018-03-08,24.6,-81.8,2018,3,8,Spring,11,,
Marathon,FL,monroe,2018-03-08,24.7,-81.0,2018,3,8,Spring,12,,
Sugar Land,TX,fortbend,2018-03-08,29.6,-95.6,2018,3,8,Spring,1,,
Jensen Beach,FL,martin,2018-03-08,27.2,-80.3,2018,3,8,Spring,3,48.0,
Long Beach,CA,losangeles,2018-03-08,33.8,-118.1,2018,3,8,Spring,20,67.0,60.64345242857143
Coral Gables,FL,miami-dade,2018-03-09,25.7,-80.3,2018,3,9,Spring,6,58.0,61.0
Corpus Christi,TX,nueces,2018-03-10,27.9,-97.6,2018,3,10,Spring,10,55.0,72.82291649999999
Beaumont,TX,jefferson,2018-03-10,30.0,-94.3,2018,3,10,Spring,7,56.0,69.28472216666667
Tampa,FL,hillsborough,2018-03-10,28.0,-82.5,2018,3,10,Spring,112,57.0,59.916667
Apopka,FL,orange,2018-03-10,28.7,-81.6,2018,3,10,Spring,1,45.0,
Corpus Christi,TX,nueces,2018-03-10,27.8,-97.4,2018,3,10,Spring,5,55.0,72.82291649999999
Rockport,TX,aransas,2018-03-11,28.0,-97.0,2018,3,11,Spring,12,,
Oak Hill,FL,volusia,2018-03-11,28.8,-80.8,2018,3,11,Spring,1,51.0,67.291667
Clearwater,FL,pinellas,2018-03-11,28.0,-82.7,2018,3,11,Spring,6,51.0,69.25
Corpus Christi,TX,nueces,2018-03-11,27.8,-97.4,2018,3,11,Spring,10,62.0,71.59375
Montgomery,TX,montgomery,2018-03-12,30.4,-95.8,2018,3,12,Spring,1,56.0,53.083333
Foley,AL,baldwin,2018-03-12,30.4,-87.7,2018,3,12,Spring,8,42.0,
Mary Esther,FL,okaloosa,2018-03-12,30.4,-86.7,2018,3,12,Spring,1,40.0,
Sugar Land,TX,fortbend,2018-03-12,29.6,-95.7,2018,3,12,Spring,1,,
Corpus Christi,TX,nueces,2018-03-12,27.8,-97.4,2018,3,12,Spring,5,52.0,58.927083499999995
Los Angeles,CA,losangeles,2018-03-12,33.8,-118.3,2018,3,12,Spring,95,66.0,61.78720242857143
Montgomery,TX,montgomery,2018-03-13,30.4,-95.7,2018,3,13,Spring,2,49.0,54.666667
Huntington Beach,CA,orange,2018-03-13,33.7,-118.0,2018,3,13,Spring,8,55.0,62.36875025
Deland,FL,volusia,2018-03-13,29.1,-81.4,2018,3,13,Spring,2,47.0,51.416667
Houston,TX,harris,2018-03-13,29.8,-95.7,2018,3,13,Spring,43,66.0,57.83823523529412
Rockport,TX,aransas,2018-03-13,28.1,-97.0,2018,3,13,Spring,12,,
Livingston,TX,polk,2018-03-13,30.7,-95.1,2018,3,13,Spring,5,46.0,
Port Lavaca,TX,calhoun,2018-03-13,28.4,-96.4,2018,3,13,Spring,120,,
Montgomery,TX,montgomery,2018-03-13,30.4,-95.8,2018,3,13,Spring,2,49.0,54.666667
Houston,TX,fortbend,2018-03-13,29.8,-95.7,2018,3,13,Spring,1,,
Corpus Christi,TX,nueces,2018-03-13,27.8,-97.4,2018,3,13,Spring,10,55.0,61.046195999999995
Ponte Vedra Beach,FL,saintjohns,2018-03-14,30.2,-81.4,2018,3,14,Spring,3,,
Baytown,TX,harris,2018-03-14,29.7,-94.9,2018,3,14,Spring,39,97.0,58.605392058823526
Baytown,TX,chambers,2018-03-14,29.7,-94.9,2018,3,14,Spring,18,,60.166667
Corpus Christi,TX,nueces,2018-03-14,27.8,-97.4,2018,3,14,Spring,15,63.0,62.458333499999995
Corpus Christi,TX,nueces,2018-03-14,27.6,-97.2,2018,3,14,Spring,100,63.0,62.458333499999995
Montgomery,TX,montgomery,2018-03-15,30.4,-95.8,2018,3,15,Spring,2,67.0,60.625
Port Lavaca,TX,calhoun,2018-03-15,28.4,-96.8,2018,3,15,Spring,20,,
Galveston,TX,galveston,2018-03-15,29.3,-94.8,2018,3,15,Spring,14,51.0,65.583333
Selma,AL,dallas,2018-03-15,32.4,-87.0,2018,3,15,Spring,10,,
Naples,FL,collier,2018-03-16,26.1,-81.8,2018,3,16,Spring,12,55.0,
Houston,TX,fortbend,2018-03-16,30.0,-95.6,2018,3,16,Spring,6,,
Houston,TX,harris,2018-03-16,30.0,-95.6,2018,3,16,Spring,258,58.0,72.89215694117648
