City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Santa Barbara,CA,SANTA BARBARA,2018-01-01,34.4,-119.7,2018,1,1,Winter,70693
Key West,FL,MONROE,2018-01-01,24.6,-81.8,2018,1,1,Winter,3300
Santa Cruz,CA,SANTA CRUZ,2018-01-01,37.1,-122.2,2018,1,1,Winter,48000
Pismo Beach,CA,SAN LUIS OBISPO,2018-01-01,35.2,-120.7,2018,1,1,Winter,24568
Naples,FL,COLLIER,2018-01-01,26.1,-81.8,2018,1,1,Winter,24
Big Sur,CA,MONTEREY,2018-01-01,36.2,-121.6,2018,1,1,Winter,78964
Crawfordville,FL,WAKULLA,2018-01-09,30.2,-84.4,2018,1,9,Winter,6
Hilliard,FL,NASSAU,2018-01-12,30.7,-81.9,2018,1,12,Winter,1
San Francisco,CA,SAN MATEO,2018-01-13,37.8,-122.5,2018,1,13,Winter,2
San Francisco,CA,SAN FRANCISCO,2018-01-13,37.8,-122.5,2018,1,13,Winter,10
Riceboro,GA,LIBERTY,2018-01-20,31.6,-81.2,2018,1,20,Winter,4
Lake Wales,FL,POLK,2018-01-23,27.9,-81.6,2018,1,23,Winter,1
Crawfordville,FL,WAKULLA,2018-01-27,30.1,-84.2,2018,1,27,Winter,6
Panacea,FL,WAKULLA,2018-01-27,30.0,-84.4,2018,1,27,Winter,5
Arcadia,FL,DE SOTO,2018-01-31,27.1,-82.0,2018,1,31,Winter,15
Desert Hot Springs,CA,RIVERSIDE,2018-02-01,33.9,-116.5,2018,2,1,Winter,4
Riceboro,GA,LIBERTY,2018-02-01,31.6,-81.2,2018,2,1,Winter,4
Half Moon Bay,CA,SAN MATEO,2018-02-02,37.5,-122.4,2018,2,2,Winter,24
Tucson,AZ,PIMA,2018-02-02,32.2,-110.9,2018,2,2,Winter,19
Westminster,CA,ORANGE,2018-02-02,33.8,-118.0,2018,2,2,Winter,4
Chula Vista,CA,SAN DIEGO,2018-02-03,32.7,-117.0,2018,2,3,Winter,1
Murrieta,CA,RIVERSIDE,2018-02-03,33.6,-117.1,2018,2,3,Winter,2
Port Charlotte,FL,CHARLOTTE,2018-02-04,27.0,-82.1,2018,2,4,Winter,3
Bodega,CA,SONOMA,2018-02-04,38.3,-123.0,2018,2,4,Winter,1
Malibu,CA,LOS ANGELES,2018-02-04,34.0,-118.8,2018,2,4,Winter,1
Key Biscayne,FL,MIAMI-DADE,2018-02-04,25.7,-80.2,2018,2,4,Winter,2
Key Largo,FL,MONROE,2018-02-04,25.2,-80.4,2018,2,4,Winter,4
Mesa,AZ,MARICOPA,2018-02-04,33.4,-111.8,2018,2,4,Winter,2
Desert Hot Springs,CA,RIVERSIDE,2018-02-04,33.9,-116.5,2018,2,4,Winter,4
Tucson,AZ,PIMA,2018-02-04,32.3,-111.0,2018,2,4,Winter,38
Apollo Beach,FL,HILLSBOROUGH,2018-02-04,27.8,-82.4,2018,2,4,Winter,2
Mill Valley,CA,MARIN,2018-02-04,37.9,-122.5,2018,2,4,Winter,8
Houston,TX,FORT BEND,2018-02-05,29.7,-95.3,2018,2,5,Winter,1
