City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Santa Cruz,CA,SANTA CRUZ,2020-01-01,37.0,-122.0,2020,1,1,Winter,4
San Antonio,TX,COMAL,2020-01-04,29.5,-98.5,2020,1,4,Winter,9
San Antonio,TX,BEXAR,2020-01-04,29.5,-98.5,2020,1,4,Winter,96
Tucson,AZ,PIMA,2020-01-04,32.3,-110.9,2020,1,4,Winter,19
League City,TX,GALVESTON,2020-01-05,29.5,-95.0,2020,1,5,Winter,4
Corpus Christi,TX,NUECES,2020-01-05,27.8,-97.4,2020,1,5,Winter,5
Destin,FL,OKALOOSA,2020-01-06,30.4,-86.4,2020,1,6,Winter,1
Hollywood,FL,BROWARD,2020-01-06,26.0,-80.4,2020,1,6,Winter,20
Laguna Niguel,CA,ORANGE,2020-01-06,33.6,-117.7,2020,1,6,Winter,2
Pass Christian,MS,HARRISON,2020-01-06,30.3,-89.2,2020,1,6,Winter,4
Missouri City,TX,FORT BEND,2020-01-07,29.6,-95.6,2020,1,7,Winter,15
Pass Christian,MS,HARRISON,2020-01-08,30.3,-89.2,2020,1,8,Winter,4
Clearwater,FL,PINELLAS,2020-01-08,28.0,-82.8,2020,1,8,Winter,3
Corpus Christi,TX,NUECES,2020-01-10,27.8,-97.4,2020,1,10,Winter,5
Laguna Niguel,CA,ORANGE,2020-01-10,33.6,-117.7,2020,1,10,Winter,2
Charleston,SC,CHARLESTON,2020-01-11,32.8,-80.0,2020,1,11,Winter,11
Charleston,SC,BERKELEY,2020-01-11,32.8,-80.0,2020,1,11,Winter,4
Virginia Beach,VA,VIRGINIA BEACH CITY,2020-01-12,36.9,-76.1,2020,1,12,Winter,10
Clearwater,FL,PINELLAS,2020-01-12,28.0,-82.8,2020,1,12,Winter,3
Pass Christian,MS,HARRISON,2020-01-12,30.3,-89.2,2020,1,12,Winter,4
Fernandina Beach,FL,NASSAU,2020-01-13,30.6,-81.5,2020,1,13,Winter,6
Savannah,GA,CHATHAM,2020-01-13,31.9,-81.1,2020,1,13,Winter,20
Ruskin,FL,HILLSBOROUGH,2020-01-13,27.7,-82.4,2020,1,13,Winter,3
Foley,AL,BALDWIN,2020-01-13,30.4,-87.7,2020,1,13,Winter,4
Pass Christian,MS,HARRISON,2020-01-14,30.3,-89.2,2020,1,14,Winter,4
Long Beach,MS,HARRISON,2020-01-14,30.4,-89.2,2020,1,14,Winter,1
Port O Connor,TX,CALHOUN,2020-01-14,28.5,-96.4,2020,1,14,Winter,2
Corpus Christi,TX,NUECES,2020-01-14,27.8,-97.4,2020,1,14,Winter,10
Pass Christian,MS,HARRISON,2020-01-15,30.3,-89.2,2020,1,15,Winter,8
Victoria,TX,VICTORIA,2020-01-15,28.7,-96.9,2020,1,15,Winter,6
Victoria,TX,VICTORIA,2020-01-15,28.8,-97.0,2020,1,15,Winter,6
Spring,TX,HARRIS,2020-01-15,30.1,-95.5,2020,1,15,Winter,4
Spring,TX,MONTGOMERY,2020-01-15,30.1,-95.5,2020,1,15,Winter,6
Houston,TX,FORT BEND,2020-01-16,29.9,-95.7,2020,1,16,Winter,1
Houston,TX,HARRIS,2020-01-16,29.9,-95.7,2020,1,16,Winter,43
Pass Christian,MS,HARRISON,2020-01-16,30.3,-89.2,2020,1,16,Winter,4
Savannah,GA,CHATHAM,2020-01-16,32.0,-81.1,2020,1,16,Winter,10
Dade City,FL,PASCO,2020-01-17,28.4,-82.2,2020,1,17,Winter,3
Pass Christian,MS,HARRISON,2020-01-17,30.3,-89.2,2020,1,17,Winter,8
Tucson,AZ,PIMA,2020-01-17,32.2,-110.8,2020,1,17,Winter,19
Port O Connor,TX,CALHOUN,2020-01-19,28.5,-96.4,2020,1,19,Winter,2
Fort Myers,FL,LEE,2020-01-19,26.6,-81.9,2020,1,19,Winter,8
Tempe,AZ,MARICOPA,2020-01-19,33.4,-111.9,2020,1,19,Winter,4
Corpus Christi,TX,NUECES,2020-01-20,27.7,-97.3,2020,1,20,Winter,5
Port Aransas,TX,NUECES,2020-01-21,27.8,-97.1,2020,1,21,Winter,1
Laguna Niguel,CA,ORANGE,2020-01-23,33.5,-117.7,2020,1,23,Winter,2
Corpus Christi,TX,NUECES,2020-01-23,27.8,-97.4,2020,1,23,Winter,5
Corpus Christi,TX,NUECES,2020-01-23,27.7,-97.3,2020,1,23,Winter,5
Laguna Niguel,CA,ORANGE,2020-01-24,33.5,-117.7,2020,1,24,Winter,2
Kemah,TX,GALVESTON,2020-01-24,29.5,-95.0,2020,1,24,Winter,12
Carlsbad,CA,SAN DIEGO,2020-01-24,33.1,-117.3,2020,1,24,Winter,3
Pass Christian,MS,HARRISON,2020-01-25,30.3,-89.2,2020,1,25,Winter,4
Sunnyvale,CA,SANTA CLARA,2020-01-25,37.4,-122.0,2020,1,25,Winter,2
Corpus Christi,TX,NUECES,2020-01-26,27.8,-97.4,2020,1,26,Winter,5
Van Nuys,CA,LOS ANGELES,2020-01-27,34.2,-118.5,2020,1,27,Winter,16
Port O Connor,TX,CALHOUN,2020-01-28,28.5,-96.4,2020,1,28,Winter,2
Pass Christian,MS,HARRISON,2020-01-28,30.3,-89.2,2020,1,28,Winter,4
Dade City,FL,PASCO,2020-01-31,28.4,-82.2,2020,1,31,Winter,3
Port O Connor,TX,CALHOUN,2020-01-31,28.5,-96.4,2020,1,31,Winter,4
Doss,TX,GILLESPIE,2020-01-31,30.4,-99.0,2020,1,31,Winter,2
Austin,TX,HAYS,2020-02-01,30.3,-97.8,2020,2,1,Winter,1
Austin,TX,TRAVIS,2020-02-01,30.3,-97.8,2020,2,1,Winter,43
Austin,TX,WILLIAMSON,2020-02-01,30.3,-97.8,2020,2,1,Winter,3
Bonita Springs,FL,LEE,2020-02-01,26.3,-81.8,2020,2,1,Winter,5
Capitola,CA,SANTA CRUZ,2020-02-01,37.0,-122.0,2020,2,1,Winter,1
Corpus Christi,TX,NUECES,2020-02-01,27.8,-97.4,2020,2,1,Winter,5
Panama City,FL,BAY,2020-02-01,30.2,-85.7,2020,2,1,Winter,18
South Padre Island,TX,CAMERON,2020-02-01,26.1,-97.2,2020,2,1,Winter,3
Long Beach,CA,LOS ANGELES,2020-02-02,33.8,-118.1,2020,2,2,Winter,20
Dunedin,FL,PINELLAS,2020-02-02,28.0,-82.8,2020,2,2,Winter,4
Tucson,AZ,PIMA,2020-02-02,32.3,-110.8,2020,2,2,Winter,19
Daphne,AL,BALDWIN,2020-02-03,30.6,-87.9,2020,2,3,Winter,1
Pass Christian,MS,HARRISON,2020-02-03,30.3,-89.2,2020,2,3,Winter,4
San Antonio,TX,BEXAR,2020-02-04,29.5,-98.5,2020,2,4,Winter,32
San Antonio,TX,COMAL,2020-02-04,29.5,-98.5,2020,2,4,Winter,3
Pass Christian,MS,HARRISON,2020-02-04,30.3,-89.2,2020,2,4,Winter,4
Crawfordville,FL,WAKULLA,2020-02-04,30.1,-84.1,2020,2,4,Winter,9
South Padre Island,TX,CAMERON,2020-02-04,26.1,-97.2,2020,2,4,Winter,3
Key West,FL,MONROE,2020-02-05,24.5,-81.8,2020,2,5,Winter,33
Key West,FL,MONROE,2020-02-06,24.6,-81.8,2020,2,6,Winter,22
Vero Beach,FL,INDIAN RIVER,2020-02-06,27.7,-80.4,2020,2,6,Winter,5
South Padre Island,TX,CAMERON,2020-02-06,26.1,-97.2,2020,2,6,Winter,3
Dickinson,TX,GALVESTON,2020-02-07,29.5,-95.1,2020,2,7,Winter,2
Key West,FL,MONROE,2020-02-07,24.6,-81.8,2020,2,7,Winter,22
Saint Petersburg,FL,PINELLAS,2020-02-08,27.8,-82.7,2020,2,8,Winter,26
Corpus Christi,TX,NUECES,2020-02-08,27.8,-97.4,2020,2,8,Winter,5
Apalachicola,FL,FRANKLIN,2020-02-08,29.7,-85.0,2020,2,8,Winter,7
Port O Connor,TX,CALHOUN,2020-02-09,28.5,-96.4,2020,2,9,Winter,2
Corpus Christi,TX,NUECES,2020-02-09,27.6,-97.2,2020,2,9,Winter,5
Hilton Head Island,SC,BEAUFORT,2020-02-09,32.2,-80.8,2020,2,9,Winter,6
Spring,TX,HARRIS,2020-02-10,30.0,-95.5,2020,2,10,Winter,8
San Antonio,TX,COMAL,2020-02-10,29.5,-98.5,2020,2,10,Winter,3
San Antonio,TX,BEXAR,2020-02-10,29.5,-98.5,2020,2,10,Winter,32
Interlachen,FL,PUTNAM,2020-02-10,29.6,-81.9,2020,2,10,Winter,2
Spring,TX,MONTGOMERY,2020-02-10,30.0,-95.5,2020,2,10,Winter,12
Safety Harbor,FL,PINELLAS,2020-02-10,28.0,-82.7,2020,2,10,Winter,1
Merritt Island,FL,BREVARD,2020-02-11,28.3,-80.7,2020,2,11,Winter,4
Sanibel,FL,LEE,2020-02-11,26.4,-82.0,2020,2,11,Winter,1
Westminster,CA,ORANGE,2020-02-12,33.8,-118.0,2020,2,12,Winter,3
Pass Christian,MS,HARRISON,2020-02-12,30.3,-89.2,2020,2,12,Winter,4
