City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Santa Cruz,CA,santacruz,2020-01-01,37.0,-122.0,2020,1,1,Winter,4,,
San Antonio,TX,comal,2020-01-04,29.5,-98.5,2020,1,4,Winter,9,,
San Antonio,TX,bexar,2020-01-04,29.5,-98.5,2020,1,4,Winter,96,,
Tucson,AZ,pima,2020-01-04,32.3,-110.9,2020,1,4,Winter,19,,
League City,TX,galveston,2020-01-05,29.5,-95.0,2020,1,5,Winter,4,,
Corpus Christi,TX,nueces,2020-01-05,27.8,-97.4,2020,1,5,Winter,5,,
Destin,FL,okaloosa,2020-01-06,30.4,-86.4,2020,1,6,Winter,1,,
Hollywood,FL,broward,2020-01-06,26.0,-80.4,2020,1,6,Winter,20,,
Laguna Niguel,CA,orange,2020-01-06,33.6,-117.7,2020,1,6,Winter,2,,
Pass Christian,MS,harrison,2020-01-06,30.3,-89.2,2020,1,6,Winter,4,,
Missouri City,TX,fortbend,2020-01-07,29.6,-95.6,2020,1,7,Winter,15,,
Pass Christian,MS,harrison,2020-01-08,30.3,-89.2,2020,1,8,Winter,4,,
Clearwater,FL,pinellas,2020-01-08,28.0,-82.8,2020,1,8,Winter,3,,
Corpus Christi,TX,nueces,2020-01-10,27.8,-97.4,2020,1,10,Winter,5,,
Laguna Niguel,CA,orange,2020-01-10,33.6,-117.7,2020,1,10,Winter,2,,
Charleston,SC,charleston,2020-01-11,32.8,-80.0,2020,1,11,Winter,11,,
Charleston,SC,berkeley,2020-01-11,32.8,-80.0,2020,1,11,Winter,4,,
Virginia Beach,VA,virginiabeachcity,2020-01-12,36.9,-76.1,2020,1,12,Winter,10,,
Clearwater,FL,pinellas,2020-01-12,28.0,-82.8,2020,1,12,Winter,3,,
Pass Christian,MS,harrison,2020-01-12,30.3,-89.2,2020,1,12,Winter,4,,
Fernandina Beach,FL,nassau,2020-01-13,30.6,-81.5,2020,1,13,Winter,6,,
Savannah,GA,chatham,2020-01-13,31.9,-81.1,2020,1,13,Winter,20,,
Ruskin,FL,hillsborough,2020-01-13,27.7,-82.4,2020,1,13,Winter,3,,
Foley,AL,baldwin,2020-01-13,30.4,-87.7,2020,1,13,Winter,4,,
Pass Christian,MS,harrison,2020-01-14,30.3,-89.2,2020,1,14,Winter,4,,
Long Beach,MS,harrison,2020-01-14,30.4,-89.2,2020,1,14,Winter,1,,
Port O Connor,TX,calhoun,2020-01-14,28.5,-96.4,2020,1,14,Winter,2,,
Corpus Christi,TX,nueces,2020-01-14,27.8,-97.4,2020,1,14,Winter,10,,
Pass Christian,MS,harrison,2020-01-15,30.3,-89.2,2020,1,15,Winter,8,,
Victoria,TX,victoria,2020-01-15,28.7,-96.9,2020,1,15,Winter,6,,
Victoria,TX,victoria,2020-01-15,28.8,-97.0,2020,1,15,Winter,6,,
Spring,TX,harris,2020-01-15,30.1,-95.5,2020,1,15,Winter,4,,
Spring,TX,montgomery,2020-01-15,30.1,-95.5,2020,1,15,Winter,6,,
Houston,TX,fortbend,2020-01-16,29.9,-95.7,2020,1,16,Winter,1,,
Houston,TX,harris,2020-01-16,29.9,-95.7,2020,1,16,Winter,43,,
Pass Christian,MS,harrison,2020-01-16,30.3,-89.2,2020,1,16,Winter,4,,
Savannah,GA,chatham,2020-01-16,32.0,-81.1,2020,1,16,Winter,10,,
Dade City,FL,pasco,2020-01-17,28.4,-82.2,2020,1,17,Winter,3,,
Pass Christian,MS,harrison,2020-01-17,30.3,-89.2,2020,1,17,Winter,8,,
Tucson,AZ,pima,2020-01-17,32.2,-110.8,2020,1,17,Winter,19,,
Port O Connor,TX,calhoun,2020-01-19,28.5,-96.4,2020,1,19,Winter,2,,
Fort Myers,FL,lee,2020-01-19,26.6,-81.9,2020,1,19,Winter,8,,
Tempe,AZ,maricopa,2020-01-19,33.4,-111.9,2020,1,19,Winter,4,,
Corpus Christi,TX,nueces,2020-01-20,27.7,-97.3,2020,1,20,Winter,5,,
Port Aransas,TX,nueces,2020-01-21,27.8,-97.1,2020,1,21,Winter,1,,
Laguna Niguel,CA,orange,2020-01-23,33.5,-117.7,2020,1,23,Winter,2,,
Corpus Christi,TX,nueces,2020-01-23,27.8,-97.4,2020,1,23,Winter,5,,
Corpus Christi,TX,nueces,2020-01-23,27.7,-97.3,2020,1,23,Winter,5,,
Laguna Niguel,CA,orange,2020-01-24,33.5,-117.7,2020,1,24,Winter,2,,
Kemah,TX,galveston,2020-01-24,29.5,-95.0,2020,1,24,Winter,12,,
Carlsbad,CA,sandiego,2020-01-24,33.1,-117.3,2020,1,24,Winter,3,,
Pass Christian,MS,harrison,2020-01-25,30.3,-89.2,2020,1,25,Winter,4,,
Sunnyvale,CA,santaclara,2020-01-25,37.4,-122.0,2020,1,25,Winter,2,,
Corpus Christi,TX,nueces,2020-01-26,27.8,-97.4,2020,1,26,Winter,5,,
Van Nuys,CA,losangeles,2020-01-27,34.2,-118.5,2020,1,27,Winter,16,,
Port O Connor,TX,calhoun,2020-01-28,28.5,-96.4,2020,1,28,Winter,2,,
Pass Christian,MS,harrison,2020-01-28,30.3,-89.2,2020,1,28,Winter,4,,
Dade City,FL,pasco,2020-01-31,28.4,-82.2,2020,1,31,Winter,3,,
Port O Connor,TX,calhoun,2020-01-31,28.5,-96.4,2020,1,31,Winter,4,,
Doss,TX,gillespie,2020-01-31,30.4,-99.0,2020,1,31,Winter,2,,
Austin,TX,hays,2020-02-01,30.3,-97.8,2020,2,1,Winter,1,,
Austin,TX,travis,2020-02-01,30.3,-97.8,2020,2,1,Winter,43,,
Austin,TX,williamson,2020-02-01,30.3,-97.8,2020,2,1,Winter,3,,
Bonita Springs,FL,lee,2020-02-01,26.3,-81.8,2020,2,1,Winter,5,,
Capitola,CA,santacruz,2020-02-01,37.0,-122.0,2020,2,1,Winter,1,,
Corpus Christi,TX,nueces,2020-02-01,27.8,-97.4,2020,2,1,Winter,5,,
Panama City,FL,bay,2020-02-01,30.2,-85.7,2020,2,1,Winter,18,,
South Padre Island,TX,cameron,2020-02-01,26.1,-97.2,2020,2,1,Winter,3,,
Long Beach,CA,losangeles,2020-02-02,33.8,-118.1,2020,2,2,Winter,20,,
Dunedin,FL,pinellas,2020-02-02,28.0,-82.8,2020,2,2,Winter,4,,
Tucson,AZ,pima,2020-02-02,32.3,-110.8,2020,2,2,Winter,19,,
Daphne,AL,baldwin,2020-02-03,30.6,-87.9,2020,2,3,Winter,1,,
Pass Christian,MS,harrison,2020-02-03,30.3,-89.2,2020,2,3,Winter,4,,
San Antonio,TX,bexar,2020-02-04,29.5,-98.5,2020,2,4,Winter,32,,
San Antonio,TX,comal,2020-02-04,29.5,-98.5,2020,2,4,Winter,3,,
Pass Christian,MS,harrison,2020-02-04,30.3,-89.2,2020,2,4,Winter,4,,
Crawfordville,FL,wakulla,2020-02-04,30.1,-84.1,2020,2,4,Winter,9,,
South Padre Island,TX,cameron,2020-02-04,26.1,-97.2,2020,2,4,Winter,3,,
Key West,FL,monroe,2020-02-05,24.5,-81.8,2020,2,5,Winter,33,,
Key West,FL,monroe,2020-02-06,24.6,-81.8,2020,2,6,Winter,22,,
Vero Beach,FL,indianriver,2020-02-06,27.7,-80.4,2020,2,6,Winter,5,,
South Padre Island,TX,cameron,2020-02-06,26.1,-97.2,2020,2,6,Winter,3,,
Dickinson,TX,galveston,2020-02-07,29.5,-95.1,2020,2,7,Winter,2,,
Key West,FL,monroe,2020-02-07,24.6,-81.8,2020,2,7,Winter,22,,
Saint Petersburg,FL,pinellas,2020-02-08,27.8,-82.7,2020,2,8,Winter,26,,
Corpus Christi,TX,nueces,2020-02-08,27.8,-97.4,2020,2,8,Winter,5,,
Apalachicola,FL,franklin,2020-02-08,29.7,-85.0,2020,2,8,Winter,7,,
Port O Connor,TX,calhoun,2020-02-09,28.5,-96.4,2020,2,9,Winter,2,,
Corpus Christi,TX,nueces,2020-02-09,27.6,-97.2,2020,2,9,Winter,5,,
Hilton Head Island,SC,beaufort,2020-02-09,32.2,-80.8,2020,2,9,Winter,6,,
Spring,TX,harris,2020-02-10,30.0,-95.5,2020,2,10,Winter,8,,
San Antonio,TX,comal,2020-02-10,29.5,-98.5,2020,2,10,Winter,3,,
San Antonio,TX,bexar,2020-02-10,29.5,-98.5,2020,2,10,Winter,32,,
Interlachen,FL,putnam,2020-02-10,29.6,-81.9,2020,2,10,Winter,2,,
Spring,TX,montgomery,2020-02-10,30.0,-95.5,2020,2,10,Winter,12,,
Safety Harbor,FL,pinellas,2020-02-10,28.0,-82.7,2020,2,10,Winter,1,,
Merritt Island,FL,brevard,2020-02-11,28.3,-80.7,2020,2,11,Winter,4,,
Sanibel,FL,lee,2020-02-11,26.4,-82.0,2020,2,11,Winter,1,,
Westminster,CA,orange,2020-02-12,33.8,-118.0,2020,2,12,Winter,3,,
Pass Christian,MS,harrison,2020-02-12,30.3,-89.2,2020,2,12,Winter,4,,
