City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
ADEL,GA,COOK,2011-08-23,2011,8,23,Summer,1,31.1,-83.4,,,,,,,,,,,,,,,
ARLINGTON,TX,TARRANT,2011-09-07,2011,9,7,Fall,6,32.6,-97.2,365.0,113.0,207.0,29.0,16.0,0.0,0.0,195.0,108.0,57.0,0.0,13.0,164.0,187.0,1.0
ARROYO GRANDE,CA,SAN LUIS OBISPO,2011-09-24,2011,9,24,Fall,2,35.1,-120.4,365.0,78.0,268.0,19.0,0.0,0.0,0.0,133.0,93.0,61.0,0.0,0.0,142.0,217.0,6.0
AUSTIN,TX,HAYS,2011-10-19,2011,10,19,Fall,1,30.2,-97.7,214.0,137.0,68.0,8.0,1.0,0.0,0.0,151.0,87.0,44.0,0.0,0.0,214.0,0.0,0.0
AUSTIN,TX,HAYS,2011-10-23,2011,10,23,Fall,4,30.2,-97.7,214.0,137.0,68.0,8.0,1.0,0.0,0.0,151.0,87.0,44.0,0.0,0.0,214.0,0.0,0.0
AUSTIN,TX,HAYS,2011-10-25,2011,10,25,Fall,1,30.2,-97.7,214.0,137.0,68.0,8.0,1.0,0.0,0.0,151.0,87.0,44.0,0.0,0.0,214.0,0.0,0.0
AUSTIN,TX,TRAVIS,2011-10-19,2011,10,19,Fall,43,30.2,-97.7,365.0,167.0,184.0,14.0,0.0,0.0,0.0,140.0,84.0,52.0,0.0,1.0,179.0,185.0,0.0
AUSTIN,TX,TRAVIS,2011-10-23,2011,10,23,Fall,172,30.2,-97.7,365.0,167.0,184.0,14.0,0.0,0.0,0.0,140.0,84.0,52.0,0.0,1.0,179.0,185.0,0.0
AUSTIN,TX,TRAVIS,2011-10-25,2011,10,25,Fall,43,30.2,-97.7,365.0,167.0,184.0,14.0,0.0,0.0,0.0,140.0,84.0,52.0,0.0,1.0,179.0,185.0,0.0
AUSTIN,TX,WILLIAMSON,2011-10-19,2011,10,19,Fall,3,30.2,-97.7,,,,,,,,,,,,,,,
AUSTIN,TX,WILLIAMSON,2011-10-23,2011,10,23,Fall,12,30.2,-97.7,,,,,,,,,,,,,,,
