Town,State/Province,County,Count,Latitude,Longitude,FIPS
benton,KY,marshall,20,36.9,-88.3,21157.0
benton,PA,columbia,12,41.3,-76.3,42037.0
benton harbor,MI,berrien,1,42.1,-86.4,26021.0
bentonville,AR,benton,2,36.3,-94.3,5007.0
bergheim,TX,kendall,21,29.8,-98.6,48259.0
berkeley springs,WV,morgan,12,39.6,-78.2,54065.0
berlin center,OH,mahoning,2,41.0,-80.9,39099.0
berryville,VA,clarke,42,39.2,-78.0,51043.0
bethesda,MD,montgomery,8,39.0,-77.1,24031.0
bettendorf,IA,scott,6,41.6,-90.5,19163.0
beverly,MA,essex,6,42.6,-70.9,25009.0
big lake,TX,reagan,3,31.4,-101.5,48383.0
billingsley,AL,autauga,24,32.6,-86.7,1001.0
bird island,MN,renville,1,44.7,-94.8,27129.0
birmingham,AL,jefferson,208,33.4,-86.7,1073.0
birmingham,AL,shelby,28,33.4,-86.7,1117.0
bismarck,ND,burleigh,8,46.8,-100.7,38015.0
black mountain,NC,buncombe,32,35.6,-82.3,37021.0
black river falls,WI,jackson,15,44.3,-90.8,55053.0
blackduck,MN,beltrami,253,47.7,-94.4,27007.0
blairsville,GA,union,2,34.9,-84.0,13291.0
blanchard,OK,mcclain,4,35.1,-97.6,40087.0
blessing,TX,matagorda,1,28.8,-96.2,48321.0
blissfield,MI,lenawee,2,41.8,-83.9,26091.0
bloomfield,NJ,essex,72,40.8,-74.2,34013.0
bloomfield hills,MI,oakland,7,42.5,-83.3,26125.0
blooming grove,NY,orange,6,41.4,-74.2,36071.0
bloomingdale,NJ,passaic,48,41.0,-74.3,34031.0
bloomington,IL,mclean,32,40.5,-89.0,17113.0
blountville,TN,sullivan,3,36.5,-82.4,47163.0
blowing rock,NC,watauga,236,36.0,-81.8,37189.0
blue ridge,GA,fannin,1,34.8,-84.3,13111.0
blue ridge,VA,botetourt,1,37.5,-79.9,51023.0
bluffton,OH,allen,9,40.9,-83.9,39003.0
boca raton,FL,palm beach,5,26.3,-80.1,12099.0
boerne,TX,kendall,432,29.8,-98.8,48259.0
bolinas,CA,marin,150,37.9,-122.7,6041.0
bolton,MA,worcester,1,42.4,-71.6,25027.0
bonham,TX,fannin,5,33.6,-96.2,48147.0
boone,NC,watauga,156,36.2,-81.7,37189.0
boonton,NJ,morris,10,40.9,-74.4,34027.0
boothbay harbor,ME,lincoln,8,43.9,-69.6,23015.0
bordentown,NJ,burlington,4,40.1,-74.7,34005.0
boston,MA,suffolk,40,42.4,-71.1,25025.0
bowling green,KY,warren,5,37.1,-86.5,21227.0
boyd,TX,wise,18,33.1,-97.6,48497.0
boyds,MD,montgomery,3,39.2,-77.3,24031.0
braidwood,IL,will,1,41.2,-88.2,17197.0
brandon,FL,hillsborough,8,27.9,-82.3,12057.0
brandon,MS,rankin,33,32.3,-89.9,28121.0
brenham,TX,washington,12,30.2,-96.4,48477.0
brentwood,TN,williamson,6,36.0,-86.8,47187.0
brevard,NC,transylvania,4,35.2,-82.8,37175.0
brewer,ME,penobscot,1,44.7,-68.8,23019.0
brick,NJ,ocean,6,40.1,-74.1,34029.0
