City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Monterey,CA,monterey,2011-01-01,36.6,-121.8,2011,1,1,Winter,45,35.0
Huntington Beach,CA,orange,2011-01-01,33.7,-118.0,2011,1,1,Winter,4,64.0
Charleston,SC,charleston,2011-01-01,32.8,-79.9,2011,1,1,Winter,11,58.0
San Luis Obispo,CA,san luis obispo,2011-01-01,35.2,-120.6,2011,1,1,Winter,35,51.0
Charleston,SC,berkeley,2011-01-01,32.8,-79.9,2011,1,1,Winter,4,
Sugar Land,TX,fort bend,2011-01-02,29.6,-95.6,2011,1,2,Winter,1,
Friendswood,TX,galveston,2011-01-03,29.5,-95.2,2011,1,3,Winter,1,37.0
Phoenix,AZ,maricopa,2011-01-04,33.5,-112.1,2011,1,4,Winter,5,70.0
League City,TX,galveston,2011-01-05,29.5,-95.1,2011,1,5,Winter,1,36.0
North Palm Beach,FL,palm beach,2011-01-05,26.8,-80.1,2011,1,5,Winter,7,57.0
Punta Gorda,FL,charlotte,2011-01-05,27.0,-82.2,2011,1,5,Winter,3,
Monterey,CA,monterey,2011-01-07,36.6,-121.8,2011,1,7,Winter,5,39.0
Missouri City,TX,fort bend,2011-01-08,29.5,-95.5,2011,1,8,Winter,3,
Phoenix,AZ,maricopa,2011-01-09,33.5,-112.1,2011,1,9,Winter,5,79.0
Ventura,CA,ventura,2011-01-10,34.3,-119.3,2011,1,10,Winter,6,39.0
San Luis Obispo,CA,san luis obispo,2011-01-11,35.2,-120.6,2011,1,11,Winter,7,75.0
Pacific Palisades,CA,los angeles,2011-01-12,34.1,-118.5,2011,1,12,Winter,2,56.0
Hermosa Beach,CA,los angeles,2011-01-13,33.9,-118.4,2011,1,13,Winter,1,54.0
Manhattan Beach,CA,los angeles,2011-01-14,33.9,-118.4,2011,1,14,Winter,2,68.0
Friendswood,TX,galveston,2011-01-14,29.5,-95.2,2011,1,14,Winter,1,55.0
Phoenix,AZ,maricopa,2011-01-15,33.5,-112.1,2011,1,15,Winter,5,60.0
Monterey,CA,monterey,2011-01-17,36.6,-121.8,2011,1,17,Winter,5,52.0
Weslaco,TX,hidalgo,2011-01-17,26.2,-98.0,2011,1,17,Winter,4,41.0
Port Lavaca,TX,calhoun,2011-01-17,28.5,-96.7,2011,1,17,Winter,10,
McAllen,TX,hidalgo,2011-01-18,26.2,-98.2,2011,1,18,Winter,5,56.0
Palm Bay,FL,brevard,2011-01-19,28.0,-80.6,2011,1,19,Winter,4,44.0
Port Lavaca,TX,calhoun,2011-01-19,28.5,-96.7,2011,1,19,Winter,10,
ENGLEWOOD,FL,charlotte,2011-01-20,27.0,-82.3,2011,1,20,Winter,3,
ENGLEWOOD,FL,sarasota,2011-01-20,27.0,-82.3,2011,1,20,Winter,3,55.0
San Luis Obispo,CA,san luis obispo,2011-01-21,35.2,-120.6,2011,1,21,Winter,7,58.0
Phoenix,AZ,maricopa,2011-01-21,33.5,-112.1,2011,1,21,Winter,5,66.0
Weslaco,TX,hidalgo,2011-01-22,26.2,-98.0,2011,1,22,Winter,4,39.0
west palm beach,FL,palm beach,2011-01-22,26.7,-80.1,2011,1,22,Winter,24,51.0
Phoenix,AZ,maricopa,2011-01-22,33.5,-112.1,2011,1,22,Winter,5,69.0
Kingwood,TX,harris,2011-01-22,30.0,-95.3,2011,1,22,Winter,2,75.0
Baton Rouge,LA,east baton rouge,2011-01-24,30.4,-91.2,2011,1,24,Winter,17,52.0
Monterey,CA,monterey,2011-01-24,36.6,-121.8,2011,1,24,Winter,5,34.0
Fort Myers,FL,lee,2011-01-25,26.6,-81.9,2011,1,25,Winter,8,31.0
San Luis Obispo,CA,san luis obispo,2011-01-28,35.2,-120.6,2011,1,28,Winter,7,56.0
Monterey,CA,monterey,2011-01-30,36.6,-121.8,2011,1,30,Winter,5,40.0
Seabrook,TX,harris,2011-01-30,29.6,-95.0,2011,1,30,Winter,6,47.0
Pinellas Park,FL,pinellas,2011-01-30,27.8,-82.7,2011,1,30,Winter,1,56.0
Saint Petersburg,FL,pinellas,2011-01-30,27.8,-82.6,2011,1,30,Winter,52,56.0
Bay Minette,AL,baldwin,2011-01-31,30.9,-87.7,2011,1,31,Winter,3,
Houston,TX,fort bend,2011-02-01,29.8,-95.4,2011,2,1,Winter,1,
Panacea,FL,wakulla,2011-02-01,29.9,-84.3,2011,2,1,Winter,5,35.0
Port Lavaca,TX,calhoun,2011-02-01,28.5,-96.7,2011,2,1,Winter,10,
Houston,TX,harris,2011-02-01,29.8,-95.4,2011,2,1,Winter,43,51.0
Ventura,CA,ventura,2011-02-02,34.3,-119.3,2011,2,2,Winter,6,43.0
Port Saint Lucie,FL,saint lucie,2011-02-02,27.3,-80.3,2011,2,2,Winter,10,
ENGLEWOOD,FL,charlotte,2011-02-02,27.0,-82.3,2011,2,2,Winter,3,
ENGLEWOOD,FL,sarasota,2011-02-02,27.0,-82.3,2011,2,2,Winter,3,52.0
San Luis Obispo,CA,san luis obispo,2011-02-03,35.2,-120.6,2011,2,3,Winter,7,55.0
San Diego,CA,san diego,2011-02-04,32.7,-117.2,2011,2,4,Winter,20,77.0
Palm Bay,FL,brevard,2011-02-05,28.0,-80.6,2011,2,5,Winter,4,36.0
Tustin,CA,orange,2011-02-05,33.7,-117.8,2011,2,5,Winter,1,91.0
Monterey,CA,monterey,2011-02-07,36.6,-121.8,2011,2,7,Winter,5,36.0
Phoenix,AZ,maricopa,2011-02-07,33.5,-112.1,2011,2,7,Winter,10,65.0
Seabrook,TX,harris,2011-02-07,29.6,-95.0,2011,2,7,Winter,6,49.0
Santa Monica,CA,los angeles,2011-02-07,34.0,-118.5,2011,2,7,Winter,1,73.0
Houston,TX,fort bend,2011-02-08,29.8,-95.4,2011,2,8,Winter,1,
Houston,TX,harris,2011-02-08,29.8,-95.4,2011,2,8,Winter,43,60.0
Kenner,LA,jefferson,2011-02-09,30.0,-90.3,2011,2,9,Winter,3,43.0
Yorba Linda,CA,orange,2011-02-09,33.9,-117.8,2011,2,9,Winter,1,39.0
Monterey,CA,monterey,2011-02-15,36.6,-121.8,2011,2,15,Winter,5,44.0
Ventura,CA,ventura,2011-02-15,34.3,-119.3,2011,2,15,Winter,6,36.0
San Luis Obispo,CA,san luis obispo,2011-02-16,35.2,-120.6,2011,2,16,Winter,7,43.0
Fairhope,AL,baldwin,2011-02-16,30.4,-87.8,2011,2,16,Winter,2,
Charleston,SC,berkeley,2011-02-18,32.8,-79.9,2011,2,18,Winter,4,
Charleston,SC,charleston,2011-02-18,32.8,-79.9,2011,2,18,Winter,11,61.0
Leesburg,FL,lake,2011-02-19,28.8,-81.9,2011,2,19,Winter,2,69.0
Isle of Palms,SC,charleston,2011-02-20,32.8,-79.8,2011,2,20,Winter,2,56.0
Sarasota,FL,manatee,2011-02-20,27.3,-82.5,2011,2,20,Winter,2,48.0
Sarasota,FL,sarasota,2011-02-20,27.3,-82.5,2011,2,20,Winter,6,64.0
Monterey,CA,monterey,2011-02-20,36.6,-121.8,2011,2,20,Winter,5,38.0
milton,FL,santa rosa,2011-02-23,30.8,-87.0,2011,2,23,Winter,2,61.0
Monterey,CA,monterey,2011-02-25,36.6,-121.8,2011,2,25,Winter,5,40.0
Weslaco,TX,hidalgo,2011-02-25,26.2,-98.0,2011,2,25,Winter,4,61.0
San Antonio,TX,bexar,2011-02-27,29.5,-98.5,2011,2,27,Winter,32,70.0
San Antonio,TX,comal,2011-02-27,29.5,-98.5,2011,2,27,Winter,3,
Seabrook,TX,harris,2011-02-28,29.6,-95.0,2011,2,28,Winter,6,81.0
San Luis Obispo,CA,san luis obispo,2011-03-01,35.2,-120.6,2011,3,1,Spring,7,46.0
delray beach,FL,palm beach,2011-03-02,26.5,-80.1,2011,3,2,Spring,4,55.0
Ventura,CA,ventura,2011-03-02,34.3,-119.3,2011,3,2,Spring,6,38.0
Monterey,CA,monterey,2011-03-05,36.6,-121.8,2011,3,5,Spring,5,41.0
Thonotosassa,FL,hillsborough,2011-03-05,28.1,-82.3,2011,3,5,Spring,1,48.0
Phoenix,AZ,maricopa,2011-03-10,33.5,-112.1,2011,3,10,Spring,5,68.0
Monterey,CA,monterey,2011-03-12,36.6,-121.8,2011,3,12,Spring,5,42.0
San Luis Obispo,CA,san luis obispo,2011-03-12,35.2,-120.6,2011,3,12,Spring,7,60.0
San Luis Obispo,CA,san luis obispo,2011-03-18,35.2,-120.6,2011,3,18,Spring,7,50.0
Savannah,GA,chatham,2011-04-02,31.9,-81.0,2011,4,2,Spring,10,53.0
Radium Springs,NM,dona ana,2011-04-15,32.6,-107.1,2011,4,15,Spring,9,87.0
Buena Park,CA,orange,2011-05-15,33.8,-118.0,2011,5,15,Spring,1,47.0
Edgecomb,ME,lincoln,2011-07-11,44.0,-69.6,2011,7,11,Summer,2,
Coram,NY,suffolk,2011-07-20,40.9,-73.0,2011,7,20,Summer,1,84.0
Questa,NM,taos,2011-07-22,36.7,-105.5,2011,7,22,Summer,3,12.0
Spring Valley,WI,pierce,2011-07-29,44.9,-92.2,2011,7,29,Summer,2,
Virginia Beach,VA,virginia beach city,2011-07-31,36.8,-76.2,2011,7,31,Summer,10,57.0
Darien,IL,dupage,2011-08-01,41.8,-88.0,2011,8,1,Summer,1,67.0
Crystal Lake,IL,mchenry,2011-08-01,42.2,-88.3,2011,8,1,Summer,7,66.0
Mount Airy,MD,frederick,2011-08-01,39.4,-77.2,2011,8,1,Summer,1,101.0
Sioux Falls,SD,lincoln,2011-08-01,42.6,-91.9,2011,8,1,Summer,1,
Harrisville,MI,alcona,2011-08-01,44.6,-83.4,2011,8,1,Summer,1,
Sioux Falls,SD,minnehaha,2011-08-01,42.6,-91.9,2011,8,1,Summer,8,58.0
Lewes,DE,sussex,2011-08-01,38.7,-75.2,2011,8,1,Summer,2,105.0
Clarksburg,PA,indiana,2011-08-01,40.5,-79.4,2011,8,1,Summer,1,61.0
Windham,NH,rockingham,2011-08-01,42.8,-71.3,2011,8,1,Summer,1,87.0
Deep Gap,NC,watauga,2011-08-01,36.2,-81.5,2011,8,1,Summer,16,56.0
