City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Monterey,CA,MONTEREY,2011-01-01,36.6,-121.8,2011,1,1,Winter,45
Huntington Beach,CA,ORANGE,2011-01-01,33.7,-118.0,2011,1,1,Winter,4
Charleston,SC,CHARLESTON,2011-01-01,32.8,-79.9,2011,1,1,Winter,11
San Luis Obispo,CA,SAN LUIS OBISPO,2011-01-01,35.2,-120.6,2011,1,1,Winter,35
Charleston,SC,BERKELEY,2011-01-01,32.8,-79.9,2011,1,1,Winter,4
Sugar Land,TX,FORT BEND,2011-01-02,29.6,-95.6,2011,1,2,Winter,1
Friendswood,TX,GALVESTON,2011-01-03,29.5,-95.2,2011,1,3,Winter,1
Phoenix,AZ,MARICOPA,2011-01-04,33.5,-112.1,2011,1,4,Winter,5
League City,TX,GALVESTON,2011-01-05,29.5,-95.1,2011,1,5,Winter,1
North Palm Beach,FL,PALM BEACH,2011-01-05,26.8,-80.1,2011,1,5,Winter,7
Punta Gorda,FL,CHARLOTTE,2011-01-05,27.0,-82.2,2011,1,5,Winter,3
Monterey,CA,MONTEREY,2011-01-07,36.6,-121.8,2011,1,7,Winter,5
Missouri City,TX,FORT BEND,2011-01-08,29.5,-95.5,2011,1,8,Winter,3
Phoenix,AZ,MARICOPA,2011-01-09,33.5,-112.1,2011,1,9,Winter,5
Ventura,CA,VENTURA,2011-01-10,34.3,-119.3,2011,1,10,Winter,6
San Luis Obispo,CA,SAN LUIS OBISPO,2011-01-11,35.2,-120.6,2011,1,11,Winter,7
Pacific Palisades,CA,LOS ANGELES,2011-01-12,34.1,-118.5,2011,1,12,Winter,2
Hermosa Beach,CA,LOS ANGELES,2011-01-13,33.9,-118.4,2011,1,13,Winter,1
Manhattan Beach,CA,LOS ANGELES,2011-01-14,33.9,-118.4,2011,1,14,Winter,2
Friendswood,TX,GALVESTON,2011-01-14,29.5,-95.2,2011,1,14,Winter,1
Phoenix,AZ,MARICOPA,2011-01-15,33.5,-112.1,2011,1,15,Winter,5
Monterey,CA,MONTEREY,2011-01-17,36.6,-121.8,2011,1,17,Winter,5
Weslaco,TX,HIDALGO,2011-01-17,26.2,-98.0,2011,1,17,Winter,4
Port Lavaca,TX,CALHOUN,2011-01-17,28.5,-96.7,2011,1,17,Winter,10
McAllen,TX,HIDALGO,2011-01-18,26.2,-98.2,2011,1,18,Winter,5
Palm Bay,FL,BREVARD,2011-01-19,28.0,-80.6,2011,1,19,Winter,4
Port Lavaca,TX,CALHOUN,2011-01-19,28.5,-96.7,2011,1,19,Winter,10
ENGLEWOOD,FL,CHARLOTTE,2011-01-20,27.0,-82.3,2011,1,20,Winter,3
ENGLEWOOD,FL,SARASOTA,2011-01-20,27.0,-82.3,2011,1,20,Winter,3
San Luis Obispo,CA,SAN LUIS OBISPO,2011-01-21,35.2,-120.6,2011,1,21,Winter,7
Phoenix,AZ,MARICOPA,2011-01-21,33.5,-112.1,2011,1,21,Winter,5
Weslaco,TX,HIDALGO,2011-01-22,26.2,-98.0,2011,1,22,Winter,4
west palm beach,FL,PALM BEACH,2011-01-22,26.7,-80.1,2011,1,22,Winter,24
Phoenix,AZ,MARICOPA,2011-01-22,33.5,-112.1,2011,1,22,Winter,5
Kingwood,TX,HARRIS,2011-01-22,30.0,-95.3,2011,1,22,Winter,2
Baton Rouge,LA,EAST BATON ROUGE,2011-01-24,30.4,-91.2,2011,1,24,Winter,17
Monterey,CA,MONTEREY,2011-01-24,36.6,-121.8,2011,1,24,Winter,5
Fort Myers,FL,LEE,2011-01-25,26.6,-81.9,2011,1,25,Winter,8
San Luis Obispo,CA,SAN LUIS OBISPO,2011-01-28,35.2,-120.6,2011,1,28,Winter,7
Monterey,CA,MONTEREY,2011-01-30,36.6,-121.8,2011,1,30,Winter,5
Seabrook,TX,HARRIS,2011-01-30,29.6,-95.0,2011,1,30,Winter,6
Pinellas Park,FL,PINELLAS,2011-01-30,27.8,-82.7,2011,1,30,Winter,1
Saint Petersburg,FL,PINELLAS,2011-01-30,27.8,-82.6,2011,1,30,Winter,52
Bay Minette,AL,BALDWIN,2011-01-31,30.9,-87.7,2011,1,31,Winter,3
Houston,TX,FORT BEND,2011-02-01,29.8,-95.4,2011,2,1,Winter,1
Panacea,FL,WAKULLA,2011-02-01,29.9,-84.3,2011,2,1,Winter,5
Port Lavaca,TX,CALHOUN,2011-02-01,28.5,-96.7,2011,2,1,Winter,10
Houston,TX,HARRIS,2011-02-01,29.8,-95.4,2011,2,1,Winter,43
Ventura,CA,VENTURA,2011-02-02,34.3,-119.3,2011,2,2,Winter,6
Port Saint Lucie,FL,SAINT LUCIE,2011-02-02,27.3,-80.3,2011,2,2,Winter,10
ENGLEWOOD,FL,CHARLOTTE,2011-02-02,27.0,-82.3,2011,2,2,Winter,3
ENGLEWOOD,FL,SARASOTA,2011-02-02,27.0,-82.3,2011,2,2,Winter,3
San Luis Obispo,CA,SAN LUIS OBISPO,2011-02-03,35.2,-120.6,2011,2,3,Winter,7
San Diego,CA,SAN DIEGO,2011-02-04,32.7,-117.2,2011,2,4,Winter,20
Palm Bay,FL,BREVARD,2011-02-05,28.0,-80.6,2011,2,5,Winter,4
