Town,State/Province,County,Count,Latitude,Longitude,FIPS
abbeville,LA,vermilion,12,30.0,-92.1,
abilene,TX,taylor,770,32.4,-99.8,48441.0
abingdon,VA,washington,8,36.7,-82.0,51191.0
abington,PA,montgomery,3,40.1,-75.1,42091.0
abita springs,LA,st. tammany,2,30.5,-90.0,
absecon,NJ,atlantic,456,39.5,-74.5,34001.0
acton,MA,middlesex,66,42.5,-71.5,25017.0
acton,ME,york,5,43.5,-70.9,23031.0
acushnet,MA,bristol,10,41.7,-70.9,25005.0
acworth,GA,cherokee,26,34.0,-84.7,13057.0
acworth,GA,cobb,52,34.0,-84.7,13067.0
ada,MI,kent,8,43.0,-85.5,26081.0
ada,OK,pontotoc,24,34.8,-96.7,40123.0
adairsville,GA,bartow,10,34.4,-84.9,13015.0
adams,MA,berkshire,2,42.6,-73.2,25003.0
adkins,TX,bexar,1,29.3,-98.2,48029.0
afton,NY,chenango,12,42.2,-75.6,36017.0
afton,OK,ottawa,6,36.6,-94.9,40115.0
aguanga,CA,riverside,2,33.4,-116.9,6065.0
aiken,SC,aiken,54,33.6,-81.7,45003.0
akron,OH,summit,336,41.1,-81.5,39153.0
alamo,CA,contra costa,1,37.9,-122.0,6013.0
alamogordo,NM,otero,8,32.7,-105.9,35035.0
albany,NY,albany,138,42.7,-73.8,36001.0
albany,OH,athens,1,39.2,-82.1,39009.0
albert lea,MN,freeborn,3,43.7,-93.1,27047.0
albion,IN,noble,27,41.3,-85.5,18113.0
albion,NY,orleans,60,43.2,-78.3,36073.0
albuquerque,NM,bernalillo,225,35.1,-106.6,35001.0
alburgh,VT,grand isle,2,45.0,-73.2,50013.0
alderson,WV,monroe,2,37.7,-80.7,54063.0
aldrich,MO,polk,2,37.5,-93.5,29167.0
aledo,TX,parker,10,32.7,-97.6,48367.0
alex,OK,grady,25,34.9,-97.8,40051.0
alexandria,IN,madison,20,40.2,-85.6,18095.0
alexandria,KY,campbell,6,39.0,-84.4,21037.0
alexandria,MN,douglas,54,45.9,-95.3,27041.0
alexandria,VA,alexandria city,22,38.8,-77.1,51510.0
alexandria,VA,fairfax,20,38.8,-77.1,51059.0
alexandria bay,NY,jefferson,45,44.3,-75.9,36045.0
algonac,MI,st. clair,1400,42.6,-82.5,26147.0
algonquin,IL,mchenry,8,42.2,-88.3,17111.0
allegan,MI,allegan,1,42.5,-85.8,26005.0
allen,TX,collin,240,33.1,-96.7,48085.0
allen park,MI,wayne,8,42.2,-83.2,26163.0
allendale,NJ,bergen,18,41.0,-74.1,34003.0
allenton,MI,st. clair,25,42.9,-82.9,26147.0
allenton,WI,washington,386,43.4,-88.4,55131.0
allentown,PA,lehigh,9,40.6,-75.6,42077.0
allons,TN,overton,1,36.6,-85.4,47133.0
alpena,MI,alpena,1,45.2,-83.4,26007.0
alpharetta,GA,fulton,3,34.1,-84.3,13121.0
alpine,NJ,bergen,2,41.0,-73.9,34003.0
alpine,TX,brewster,4,30.4,-103.6,48043.0
alsip,IL,cook,4,41.7,-87.7,17031.0
alta,IA,buena vista,12,42.7,-95.3,19021.0
alto,GA,habersham,1,34.5,-83.6,13137.0
alto pass,IL,union,1,37.6,-89.3,17181.0
altura,MN,winona,18,44.2,-91.9,27169.0
altus,AR,franklin,42,35.5,-93.7,5047.0
amarillo,TX,potter,296,35.2,-101.8,48375.0
amarillo,TX,randall,148,35.2,-101.8,48381.0
ambler,PA,montgomery,40,40.2,-75.2,42091.0
american canyon,CA,napa,9,38.2,-122.3,6055.0
americus,GA,sumter,1,32.1,-84.2,13261.0
amherst,MA,hampshire,40,42.4,-72.5,25015.0
amherst,NH,hillsborough,1,42.8,-71.6,33011.0
amherst,VA,amherst,42,37.6,-79.1,
anaheim,CA,orange,49,33.8,-118.0,6059.0
anahuac,TX,chambers,8,29.6,-94.5,48071.0
anderson,IN,madison,560,40.1,-85.7,18095.0
andover,MA,essex,9,42.6,-71.1,25009.0
andover,MN,anoka,1085,45.2,-93.3,27003.0
andover,NY,allegany,1,42.2,-77.8,36003.0
andover,OH,ashtabula,90,41.5,-80.6,39007.0
ann arbor,MI,washtenaw,352,42.2,-83.7,26161.0
anna,TX,collin,4,33.4,-96.6,48085.0
annandale,MN,wright,1,45.2,-94.1,27171.0
annandale,VA,fairfax,7,38.8,-77.2,51059.0
annapolis,MD,anne arundel,940,39.0,-76.5,24003.0
anoka,MN,anoka,30,45.2,-93.4,27003.0
ansonia,CT,new haven,7,41.3,-73.1,9009.0
ansonia,OH,darke,50,40.2,-84.6,39037.0
antioch,IL,lake,375,42.5,-88.1,17097.0
apache junction,AZ,pinal,2,33.4,-111.6,4021.0
apex,NC,wake,4,35.8,-78.9,37183.0
apison,TN,hamilton,1,35.0,-85.0,47065.0
apple valley,CA,san bernardino,2,34.5,-117.2,6071.0
appleton,WI,outagamie,405,44.3,-88.4,55087.0
aquebogue,NY,suffolk,500,40.9,-72.6,36103.0
arcade,NY,wyoming,1,42.6,-78.4,36121.0
arcadia,FL,desoto,15,27.3,-81.9,12027.0
arden,NC,buncombe,24,35.4,-82.5,37021.0
ardmore,PA,montgomery,1,40.0,-75.3,42091.0
argyle,WI,lafayette,15,42.7,-89.8,55065.0
arlington,IN,rush,2,39.6,-85.6,18139.0
arlington,MA,middlesex,45,42.4,-71.2,25017.0
arlington,TX,tarrant,138,32.7,-97.2,48439.0
arlington,VA,arlington,527,38.9,-77.1,51013.0
arlington,WI,columbia,2000,43.3,-89.4,55021.0
arlington heights,IL,cook,6,42.1,-88.0,17031.0
armada,MI,macomb,2,42.8,-82.9,26099.0
armonk,NY,westchester,8,41.1,-73.7,36119.0
arnold,MO,jefferson,2,38.4,-90.4,29099.0
arroyo grande,CA,san luis obispo,4,35.1,-120.6,6079.0
arvada,CO,jefferson,4,39.8,-105.1,8059.0
ash grove,MO,greene,90,37.4,-93.6,29077.0
ashburn,VA,loudoun,24,39.0,-77.5,51107.0
asheville,NC,buncombe,459,35.6,-82.6,37021.0
ashland,KY,boyd,168,38.4,-82.6,21019.0
ashland,OR,jackson,3,42.2,-122.7,41029.0
ashland,WI,ashland,20,46.6,-90.9,55003.0
ashton,IL,lee,10,41.9,-89.2,17103.0
ashton,MD,montgomery,2,39.2,-77.0,24031.0
ashville,NY,chautauqua,1,42.1,-79.4,36013.0
aston,PA,delaware,8,39.9,-75.4,42045.0
atchison,KS,atchison,418,39.6,-95.1,20005.0
atco,NJ,camden,15,39.8,-74.9,34007.0
athens,GA,clarke,156,34.0,-83.4,13059.0
athens,NY,greene,8,42.3,-73.8,36039.0
athens,OH,athens,5,39.3,-82.0,39009.0
athens,TN,mcminn,10,35.4,-84.6,47107.0
atkinson,NE,holt,12,42.5,-99.0,31089.0
atlanta,GA,cobb,1984,33.9,-84.2,13067.0
atlanta,GA,dekalb,4216,33.9,-84.2,13089.0
atlanta,GA,fulton,7192,33.9,-84.2,13121.0
atlantic beach,FL,duval,20,30.3,-81.4,12031.0
atlantic beach,NC,carteret,7,34.7,-76.8,37031.0
atlantic highlands,NJ,monmouth,6,40.4,-74.0,34025.0
attalla,AL,etowah,5,34.1,-86.1,1055.0
attica,MI,lapeer,106,43.1,-83.2,26087.0
aubrey,TX,denton,6,33.2,-97.0,48121.0
auburn,IL,sangamon,70,39.6,-89.8,17167.0
auburn,MA,worcester,2,42.2,-71.9,25027.0
auburn hills,MI,oakland,48,42.7,-83.2,26125.0
audubon,NJ,camden,2,39.9,-75.1,34007.0
augusta,GA,columbia,14,33.5,-82.1,13073.0
augusta,GA,richmond,28,33.5,-82.1,13245.0
aurora,IL,dupage,3,41.8,-88.3,17043.0
aurora,IL,kane,4,41.8,-88.3,17089.0
aurora,IL,will,1,41.8,-88.3,17197.0
aurora,ME,hancock,2,44.9,-68.3,23009.0
austell,GA,cobb,1,33.8,-84.6,13067.0
austin,KY,barren,22,36.8,-86.0,21009.0
austin,MN,mower,136,43.7,-93.0,27099.0
austin,PA,potter,4,41.5,-78.1,42105.0
austin,TX,hays,677,30.3,-97.8,48209.0
austin,TX,travis,29111,30.3,-97.8,48453.0
austin,TX,williamson,2031,30.3,-97.8,48491.0
avon,IN,hendricks,38,39.8,-86.4,18063.0
avon,MA,norfolk,2,42.1,-71.0,25021.0
avon,NC,dare,120,35.4,-75.5,37055.0
avon,OH,lorain,1,41.4,-82.0,39093.0
avon lake,OH,lorain,22,41.5,-82.0,39093.0
avondale estates,GA,dekalb,2,33.8,-84.2,13089.0
awendaw,SC,charleston,13,33.0,-79.6,45019.0
aydlett,NC,currituck,3,36.3,-75.9,37053.0
babylon,NY,suffolk,2040,40.6,-73.2,36103.0
bagley,IA,guthrie,3,41.9,-94.4,19077.0
bagley,WI,grant,2,43.0,-91.1,55043.0
bailey,NC,nash,2,35.8,-78.1,37127.0
bala cynwyd,PA,montgomery,32,40.0,-75.2,42091.0
baldwinsville,NY,onondaga,24,43.2,-76.4,36067.0
ball ground,GA,cherokee,1,34.4,-84.3,13057.0
ballard,WV,monroe,1,37.5,-80.8,54063.0
ballwin,MO,st. louis,861,38.6,-90.5,29189.0
bally,PA,berks,100,40.4,-75.6,42011.0
baltimore,MD,anne arundel,80,39.4,-76.6,24003.0
baltimore,MD,baltimore,120,39.4,-76.6,24005.0
baltimore,MD,baltimore city,1520,39.4,-76.6,24510.0
baltimore,OH,fairfield,12,39.8,-82.6,39045.0
bandera,TX,bandera,6,29.7,-99.1,48019.0
bar harbor,ME,hancock,8,44.3,-68.2,23009.0
baraboo,WI,sauk,12,43.4,-89.7,55111.0
barberton,OH,summit,9,41.0,-81.6,39153.0
barboursville,WV,cabell,3,38.4,-82.3,54011.0
barco,NC,currituck,12,36.4,-76.0,37053.0
barnardsville,NC,buncombe,4,35.8,-82.4,37021.0
barnegat light,NJ,ocean,72,39.8,-74.1,34029.0
barnesville,MN,clay,632,46.7,-96.4,27027.0
barnesville,PA,schuylkill,2,40.8,-76.1,42107.0
barnsdall,OK,osage,24,36.5,-96.0,40113.0
barre,MA,worcester,3,42.4,-72.1,25027.0
barrington,IL,lake,80,42.2,-88.1,17097.0
barrytown,NY,dutchess,6,42.0,-73.9,36027.0
bartlesville,OK,washington,32,36.7,-95.9,40147.0
bartlett,NH,carroll,3,44.1,-71.2,33003.0
basking ridge,NJ,somerset,4,40.7,-74.5,34035.0
bass harbor,ME,hancock,11,44.2,-68.3,23009.0
bastrop,TX,bastrop,8,30.1,-97.3,48021.0
batavia,OH,clermont,2,39.2,-84.1,39025.0
baton rouge,LA,east. baton rouge,425,30.4,-91.2,
battleboro,NC,edgecombe,40,36.0,-77.7,37065.0
bay city,MI,bay,3,43.6,-83.9,26017.0
bay city,TX,matagorda,10,29.0,-96.0,48321.0
bay minette,AL,baldwin,6,30.9,-87.8,1003.0
bay shore,NY,suffolk,940,40.6,-73.2,36103.0
bay village,OH,cuyahoga,2,41.5,-81.9,39035.0
bayard,WV,grant,2,39.3,-79.4,54023.0
bayside,NY,queens,120,40.8,-73.8,36081.0
baytown,TX,chambers,174,29.8,-94.8,48071.0
baytown,TX,harris,377,29.8,-94.8,48201.0
bayville,NY,nassau,28,40.9,-73.5,36059.0
beach haven,NJ,ocean,546,39.7,-74.1,34029.0
beacon,NY,dutchess,3,41.5,-73.9,36027.0
bealeton,VA,fauquier,2,38.6,-77.8,51061.0
beaman,IA,grundy,100,42.2,-92.8,19075.0
beaufort,NC,carteret,16,34.7,-76.7,37031.0
beaufort,SC,beaufort,10,32.4,-80.7,45013.0
beaumont,TX,jefferson,7,30.1,-94.1,48245.0
beaver dam,WI,dodge,8,43.4,-88.9,55027.0
beaver island,MI,charlevoix,2,45.7,-85.5,26029.0
beaverdam,VA,hanover,1,38.0,-77.6,51085.0
