City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Pismo Beach,CA,sanluisobispo,2016-01-01,35.2,-120.7,2016,1,1,Winter,56146,77.0,41.39583342857143
Houston,TX,fortbend,2016-01-01,29.8,-95.4,2016,1,1,Winter,2,,
Santa Cruz,CA,santacruz,2016-01-01,37.1,-122.2,2016,1,1,Winter,48000,59.0,31.1458335
Lake placid,FL,highlands,2016-01-01,27.3,-81.4,2016,1,1,Winter,3,23.0,
Huntington Beach,CA,orange,2016-01-01,33.7,-118.0,2016,1,1,Winter,800,41.0,56.08472233333333
San Leandro,CA,alameda,2016-01-01,37.7,-122.2,2016,1,1,Winter,12864,52.0,
Morro Bay,CA,sanluisobispo,2016-01-01,35.4,-120.8,2016,1,1,Winter,13492,77.0,41.39583342857143
Winter Springs,FL,seminole,2016-01-01,28.7,-81.3,2016,1,1,Winter,9,61.0,
Houston,TX,harris,2016-01-01,29.8,-95.4,2016,1,1,Winter,86,49.0,47.701389
Pacific Grove,CA,monterey,2016-01-01,36.6,-121.9,2016,1,1,Winter,22944,73.0,43.75
PORT RICHEY,FL,pasco,2016-01-01,28.4,-82.7,2016,1,1,Winter,10,25.0,
Bolinas,CA,marin,2016-01-01,37.9,-122.7,2016,1,1,Winter,10200,55.0,
Corolla,NC,currituck,2016-01-02,36.3,-75.8,2016,1,2,Winter,1,,
Mesa,AZ,maricopa,2016-01-02,33.4,-111.8,2016,1,2,Winter,1,64.0,54.625
Charleston,SC,charleston,2016-01-03,32.8,-79.9,2016,1,3,Winter,22,57.0,
Windermere,FL,orange,2016-01-03,28.5,-81.6,2016,1,3,Winter,2,32.0,
Wickenburg,AZ,maricopa,2016-01-03,33.9,-112.7,2016,1,3,Winter,1,54.0,59.166667
Charleston,SC,berkeley,2016-01-03,32.8,-79.9,2016,1,3,Winter,8,,
VICTORIA,TX,victoria,2016-01-04,28.9,-97.0,2016,1,4,Winter,6,37.0,48.375
Satellite Beach,FL,brevard,2016-01-06,28.2,-80.6,2016,1,6,Winter,6,40.0,
Savannah,GA,chatham,2016-01-06,32.1,-81.1,2016,1,6,Winter,40,31.0,
HARLINGEN,TX,cameron,2016-01-06,26.2,-97.7,2016,1,6,Winter,18,41.0,64.472222
Crystal River,FL,citrus,2016-01-07,29.0,-82.6,2016,1,7,Winter,1,52.0,
Spring,TX,montgomery,2016-01-07,30.1,-95.4,2016,1,7,Winter,30,27.0,59.083333
Spring,TX,harris,2016-01-07,30.1,-95.4,2016,1,7,Winter,20,51.0,60.87731472222222
cape coral,FL,lee,2016-01-08,26.6,-81.9,2016,1,8,Winter,21,49.0,
Jordan,NY,onondaga,2016-01-08,43.1,-76.5,2016,1,8,Winter,2,31.0,29.5
Matagorda,TX,matagorda,2016-01-09,28.8,-95.9,2016,1,9,Winter,1,,
New Orleans,LA,jefferson,2016-01-09,30.0,-90.1,2016,1,9,Winter,36,38.0,
New Orleans,LA,orleans,2016-01-09,30.0,-90.1,2016,1,9,Winter,144,37.0,
Houston,TX,fortbend,2016-01-10,29.8,-95.4,2016,1,10,Winter,2,,
Houston,TX,harris,2016-01-10,29.8,-95.4,2016,1,10,Winter,86,44.0,43.909313705882354
Lehigh Acres,FL,lee,2016-01-12,26.6,-81.6,2016,1,12,Winter,4,47.0,
Tallahassee,FL,leon,2016-01-12,30.4,-84.3,2016,1,12,Winter,12,60.0,
Austin,TX,hays,2016-01-12,30.2,-97.7,2016,1,12,Winter,2,,
Austin,TX,travis,2016-01-12,30.2,-97.7,2016,1,12,Winter,86,56.0,49.5
Austin,TX,williamson,2016-01-12,30.2,-97.7,2016,1,12,Winter,6,,
Austin,TX,travis,2016-01-13,30.2,-97.7,2016,1,13,Winter,43,58.0,52.5
Gulf Shores,AL,baldwin,2016-01-13,30.2,-88.0,2016,1,13,Winter,1,48.0,
Austin,TX,williamson,2016-01-13,30.2,-97.7,2016,1,13,Winter,3,,
Austin,TX,hays,2016-01-13,30.2,-97.7,2016,1,13,Winter,1,,
Galveston,TX,galveston,2016-01-13,29.3,-94.8,2016,1,13,Winter,7,44.0,55.541667
Boerne,TX,kendall,2016-01-13,29.8,-98.8,2016,1,13,Winter,3,,
Cypress,TX,harris,2016-01-13,30.0,-95.7,2016,1,13,Winter,1,60.0,52.43163417647059
San Diego,CA,sandiego,2016-01-14,32.7,-117.2,2016,1,14,Winter,20,79.0,53.515625
Gretna,LA,jefferson,2016-01-15,29.9,-90.1,2016,1,15,Winter,2,44.0,
Nipomo,CA,sanluisobispo,2016-01-15,35.0,-120.5,2016,1,15,Winter,3,39.0,51.03809514285714
Houston,TX,fortbend,2016-01-15,29.8,-95.4,2016,1,15,Winter,2,,
Houston,TX,harris,2016-01-15,29.8,-95.4,2016,1,15,Winter,86,58.0,61.095588235294116
Mount Dora,FL,lake,2016-01-16,28.8,-81.6,2016,1,16,Winter,3,41.0,
Saint Petersburg,FL,pinellas,2016-01-16,27.8,-82.6,2016,1,16,Winter,78,40.0,65.5
Palatka,FL,putnam,2016-01-16,29.7,-81.7,2016,1,16,Winter,1,7.0,
New Orleans,LA,orleans,2016-01-16,30.0,-90.1,2016,1,16,Winter,48,45.0,
New Orleans,LA,jefferson,2016-01-16,30.0,-90.1,2016,1,16,Winter,12,41.0,
Saint Petersburg,FL,pinellas,2016-01-17,27.8,-82.6,2016,1,17,Winter,78,41.0,59.583333
Rosenberg,TX,fortbend,2016-01-17,29.5,-95.9,2016,1,17,Winter,1,,
Portland,TX,sanpatricio,2016-01-18,27.9,-97.3,2016,1,18,Winter,1,,
Seguin,TX,guadalupe,2016-01-18,29.5,-97.9,2016,1,18,Winter,2,,
Zavalla,TX,angelina,2016-01-19,31.1,-94.4,2016,1,19,Winter,2,,
Sanibel,FL,lee,2016-01-20,26.5,-82.1,2016,1,20,Winter,1,43.0,
Houston,TX,fortbend,2016-01-24,29.7,-95.5,2016,1,24,Winter,1,,
Houston,TX,harris,2016-01-24,29.7,-95.5,2016,1,24,Winter,43,49.0,54.363425888888884
Phoenix,AZ,maricopa,2016-01-25,33.4,-112.1,2016,1,25,Winter,25,61.0,55.0
jupiter,FL,palmbeach,2016-01-25,26.9,-80.1,2016,1,25,Winter,8,45.0,
Los Angeles,CA,losangeles,2016-01-28,34.0,-118.2,2016,1,28,Winter,95,75.0,57.8883332
Westminster,CA,orange,2016-01-29,33.8,-118.0,2016,1,29,Winter,2,74.0,59.35694433333333
Phoenix,AZ,maricopa,2016-01-30,33.4,-112.1,2016,1,30,Winter,25,77.0,58.041667
Seguin,TX,guadalupe,2016-01-31,29.5,-97.9,2016,1,31,Winter,2,,
New Port Richey,FL,pasco,2016-01-31,28.2,-82.7,2016,1,31,Winter,6,41.0,
Bluffton,SC,beaufort,2016-02-01,32.2,-80.9,2016,2,1,Winter,3,,
Bluffton,SC,beaufort,2016-02-01,32.3,-81.0,2016,2,1,Winter,3,,
Mary Esther,FL,okaloosa,2016-02-01,30.4,-86.8,2016,2,1,Winter,9,33.0,
Marathon,FL,monroe,2016-02-02,24.7,-81.1,2016,2,2,Winter,36,,
HARLINGEN,TX,cameron,2016-02-02,26.2,-97.7,2016,2,2,Winter,9,69.0,67.62499966666667
New Orleans,LA,orleans,2016-02-03,30.0,-90.1,2016,2,3,Winter,240,33.0,
New Orleans,LA,jefferson,2016-02-03,30.0,-90.1,2016,2,3,Winter,60,41.0,
New Port Richey,FL,pasco,2016-02-03,28.2,-82.7,2016,2,3,Winter,6,27.0,
North Port,FL,sarasota,2016-02-03,27.1,-82.2,2016,2,3,Winter,30,41.0,
Vallejo,CA,solano,2016-02-04,38.2,-122.2,2016,2,4,Winter,1600,56.0,
Satellite Beach,FL,brevard,2016-02-04,28.2,-80.6,2016,2,4,Winter,18,45.0,
Tallahassee,FL,leon,2016-02-04,30.5,-84.3,2016,2,4,Winter,72,31.0,
Houston,TX,fortbend,2016-02-05,29.8,-95.4,2016,2,5,Winter,2,,
Fort Walton Beach,FL,okaloosa,2016-02-05,30.4,-86.6,2016,2,5,Winter,90,34.0,
Houston,TX,harris,2016-02-05,29.8,-95.4,2016,2,5,Winter,86,56.0,49.30201533333334
Middleburg,FL,clay,2016-02-05,30.1,-81.9,2016,2,5,Winter,3,,
Homosassa,FL,citrus,2016-02-05,28.7,-82.5,2016,2,5,Winter,3,,
Humble,TX,harris,2016-02-06,30.0,-95.2,2016,2,6,Winter,4,47.0,51.40509261111111
Tucson,AZ,pima,2016-02-06,32.2,-110.9,2016,2,6,Winter,19,56.0,54.38257572727273
Nipomo,CA,sanluisobispo,2016-02-07,35.0,-120.5,2016,2,7,Winter,31,63.0,56.455357142857146
Nipomo,CA,sanluisobispo,2016-02-08,35.0,-120.5,2016,2,8,Winter,52,57.0,58.636904571428566
Glendale,AZ,maricopa,2016-02-08,33.5,-112.2,2016,2,8,Winter,2,67.0,63.458333
