Town,State/Province,County,Count,Latitude,Longitude,FIPS
abbeville,LA,vermilion,84,30.0,-92.1,
aberdeen,MD,harford,2,39.5,-76.2,24025.0
abilene,TX,taylor,133,32.4,-99.7,48441.0
abingdon,MD,harford,4,39.4,-76.3,24025.0
abingdon,VA,washington,2,36.7,-82.0,51191.0
abiquiu,NM,rio arriba,18,36.4,-106.7,35039.0
acton,MA,middlesex,3,42.5,-71.4,25017.0
acton,ME,york,5,43.5,-70.9,23031.0
acushnet,MA,bristol,4,41.7,-70.9,25005.0
acworth,GA,cherokee,16,34.1,-84.6,13057.0
acworth,GA,cobb,32,34.1,-84.6,13067.0
ada,MI,kent,12,43.0,-85.5,26081.0
addison,TX,dallas,1,33.0,-96.8,48113.0
adell,WI,sheboygan,18,43.6,-88.0,55117.0
advance,NC,davie,6,36.0,-80.5,37059.0
afton,IA,union,8,41.0,-94.2,19175.0
afton,MN,washington,4,44.9,-92.8,27163.0
afton,VA,nelson,7,38.0,-78.8,51125.0
aiken,SC,aiken,30,33.6,-81.7,45003.0
aitkin,MN,aitkin,1,46.5,-93.7,27001.0
akron,CO,washington,5,39.9,-103.3,8121.0
akron,NY,erie,14,43.0,-78.5,36029.0
akron,OH,summit,231,41.0,-81.4,39153.0
alamogordo,NM,otero,2,32.9,-106.0,35035.0
albany,CA,alameda,27,37.9,-122.3,6001.0
albany,MO,gentry,6,40.2,-94.3,29075.0
albert lea,MN,freeborn,3,43.7,-93.1,27047.0
albertville,AL,marshall,2,34.3,-86.2,1095.0
albion,MI,calhoun,1,42.2,-84.8,26025.0
albuquerque,NM,bernalillo,1560,35.1,-106.5,35001.0
alden,IA,hardin,8,42.5,-93.4,19083.0
alderson,WV,monroe,36,37.7,-80.7,54063.0
aldie,VA,loudoun,8,39.0,-77.6,51107.0
aledo,TX,parker,5,32.7,-97.6,48367.0
alexandria,MN,douglas,8,45.9,-95.4,27041.0
alexandria,VA,alexandria city,88,38.8,-77.1,51510.0
alexandria,VA,fairfax,80,38.8,-77.1,51059.0
algonquin,IL,mchenry,4,42.2,-88.3,17111.0
alhambra,IL,madison,4,38.9,-89.7,17119.0
alice,TX,jim wells,30,27.9,-98.1,48249.0
allen,TX,collin,360,33.1,-96.6,48085.0
allen park,MI,wayne,20,42.3,-83.2,26163.0
allenton,WI,washington,124,43.4,-88.4,55131.0
allentown,NJ,monmouth,4,40.2,-74.6,34025.0
alliance,OH,stark,4,40.9,-81.1,39151.0
allons,TN,overton,1,36.5,-85.4,47133.0
alma,MI,gratiot,4,43.5,-84.7,26057.0
alma center,WI,jackson,5,44.5,-91.0,55053.0
alpena,MI,alpena,2,45.1,-83.5,26007.0
alpharetta,GA,fulton,3,34.0,-84.2,13121.0
alpine,CA,san diego,2,32.8,-116.8,6073.0
altamont,NY,albany,2,42.7,-74.0,36001.0
altamonte springs,FL,seminole,9,28.7,-81.4,12117.0
alto pass,IL,union,5,37.6,-89.3,17181.0
alton,IL,madison,1,38.9,-90.2,17119.0
altoona,IA,polk,21,41.7,-93.5,19153.0
alva,OK,woods,9,36.8,-98.7,40151.0
alvin,TX,brazoria,2,29.4,-95.2,48039.0
amarillo,TX,potter,40,35.2,-101.8,48375.0
amarillo,TX,randall,20,35.2,-101.8,48381.0
ambler,PA,montgomery,30,40.2,-75.2,42091.0
amboy,MN,blue earth,11,43.9,-94.2,27013.0
amenia,ND,cass,4,47.0,-97.3,38017.0
amery,WI,polk,42,45.3,-92.4,55095.0
ames,IA,story,114,42.1,-93.7,19169.0
amherst,VA,amherst,18,37.6,-79.0,
amherst,WI,portage,2,44.4,-89.3,55097.0
anaheim,CA,orange,21,33.8,-117.9,6059.0
anderson,IN,madison,56,40.1,-85.7,18095.0
anderson,SC,anderson,6,34.5,-82.7,45007.0
andover,IL,henry,1,41.3,-90.3,17073.0
andover,MA,essex,3,42.6,-71.2,25009.0
andover,MN,anoka,100,45.2,-93.3,27003.0
andover,NH,merrimack,2,43.5,-71.7,33013.0
andover,NJ,sussex,5,41.0,-74.7,34037.0
ann arbor,MI,washtenaw,143,42.3,-83.8,26161.0
annandale,VA,fairfax,30,38.8,-77.2,51059.0
annapolis,CA,sonoma,2,38.7,-123.4,6097.0
annapolis,MD,anne arundel,260,39.0,-76.5,24003.0
annapolis,MO,iron,2,37.4,-90.7,29093.0
anoka,MN,anoka,5,45.2,-93.4,27003.0
antioch,IL,lake,84,42.5,-88.1,17097.0
apalachicola,FL,franklin,12,29.7,-85.0,12037.0
apex,NC,wake,2,35.7,-78.8,37183.0
arapahoe,NC,pamlico,9,35.0,-76.8,37137.0
ararat,VA,patrick,7,36.6,-80.5,51141.0
arcade,NY,wyoming,3,42.6,-78.4,36121.0
arcanum,OH,darke,4,40.0,-84.6,39037.0
arcata,CA,humboldt,4,40.8,-124.0,6023.0
archer city,TX,archer,15,33.6,-98.6,48009.0
arcola,IL,douglas,1,39.7,-88.3,17041.0
arden,NC,buncombe,32,35.5,-82.5,37021.0
ardmore,OK,carter,9,34.2,-97.1,40019.0
argyle,NY,washington,3,43.3,-73.5,36115.0
arkdale,WI,adams,3,44.0,-89.9,55001.0
arlington,MN,sibley,1,44.6,-94.1,27143.0
arlington,TX,tarrant,840,32.6,-97.2,48439.0
arlington,VA,arlington,323,38.9,-77.0,51013.0
arlington heights,IL,cook,4,42.1,-88.0,17031.0
arnold,MD,anne arundel,6,39.1,-76.5,24003.0
arnold,MO,jefferson,1,38.4,-90.4,29099.0
arvada,CO,jefferson,2,39.8,-105.2,8059.0
ashburn,VA,loudoun,24,39.0,-77.5,51107.0
asheboro,NC,randolph,1,35.7,-79.8,37151.0
asheville,NC,buncombe,531,35.5,-82.6,37021.0
ashford,CT,windham,14,41.9,-72.2,9015.0
ashland,KY,boyd,60,38.5,-82.6,21019.0
ashland,MO,boone,5,38.8,-92.3,29019.0
ashland,OH,ashland,48,40.8,-82.3,39005.0
ashland,OR,jackson,8,42.2,-122.7,41029.0
ashtabula,OH,ashtabula,5,41.9,-80.8,39007.0
ashton,IL,lee,2,41.8,-89.2,17103.0
ashville,NY,chautauqua,5,42.2,-79.4,36013.0
ashville,OH,pickaway,3,39.8,-82.8,39129.0
astoria,NY,queens,4,40.8,-73.9,36081.0
atascosa,TX,bexar,17,29.3,-98.8,48029.0
atchison,KS,atchison,224,39.6,-95.1,20005.0
atco,NJ,camden,57,39.8,-74.9,34007.0
athens,GA,clarke,15,33.9,-83.4,13059.0
athens,MI,calhoun,2,42.1,-85.2,26025.0
athens,OH,athens,5,39.4,-82.1,39009.0
athens,TN,mcminn,1,35.4,-84.6,47107.0
atlanta,GA,cobb,176,33.8,-84.3,13067.0
atlanta,GA,dekalb,374,33.8,-84.3,13089.0
atlanta,GA,fulton,638,33.8,-84.3,13121.0
atlantic beach,FL,duval,20,30.3,-81.4,12031.0
atlantic beach,NC,carteret,175,34.7,-76.7,37031.0
atlantic city,NJ,atlantic,18,39.4,-74.4,34001.0
attica,NY,wyoming,4,42.8,-78.4,36121.0
auburn,AL,lee,1,32.6,-85.5,1081.0
auburn,WA,king,6,47.3,-122.2,53033.0
auburn hills,MI,oakland,4,40.5,-82.9,26125.0
augusta,GA,columbia,54,33.5,-82.0,13073.0
augusta,GA,richmond,108,33.5,-82.0,13245.0
aurora,CO,adams,15,39.6,-104.7,8001.0
aurora,CO,arapahoe,12,39.6,-104.7,8005.0
aurora,IL,dupage,12,41.8,-88.3,17043.0
aurora,IL,kane,16,41.8,-88.3,17089.0
aurora,IL,will,4,41.8,-88.3,17197.0
aurora,MO,lawrence,14,36.9,-93.6,29109.0
aurora,NY,cayuga,10,42.7,-76.7,36011.0
austin,MN,mower,104,43.7,-93.0,27099.0
austin,PA,potter,3,41.7,-77.9,42105.0
austin,TX,hays,487,30.3,-97.8,48209.0
austin,TX,travis,20941,30.3,-97.8,48453.0
austin,TX,williamson,1461,30.3,-97.8,48491.0
avalon,CA,los angeles,6,33.5,-118.3,6037.0
avilla,IN,noble,1,41.3,-85.2,18113.0
aviston,IL,clinton,1,38.6,-89.6,17027.0
avoca,NE,cass,2,40.8,-96.1,31025.0
avon,IN,hendricks,1,39.7,-86.4,18063.0
avon,NC,dare,52,35.4,-75.5,37055.0
avon,NY,livingston,1,42.9,-77.7,36051.0
avon lake,OH,lorain,11,41.5,-82.0,39093.0
babylon,NY,suffolk,776,40.6,-73.2,36103.0
bahama,NC,durham,3,36.2,-78.9,37063.0
baileys harbor,WI,door,4,45.1,-87.1,55029.0
baker,FL,okaloosa,1,30.8,-86.7,12091.0
bakersville,NC,mitchell,1,36.0,-82.2,37121.0
baldwin,MD,baltimore,13,39.5,-76.5,24005.0
baldwin park,CA,los angeles,2,34.1,-118.0,6037.0
baldwinsville,NY,onondaga,36,43.2,-76.3,36067.0
ball ground,GA,cherokee,1,34.3,-84.4,13057.0
ballston lake,NY,saratoga,10,42.9,-73.9,36091.0
ballwin,MO,st. louis,119,38.6,-90.5,29189.0
bally,PA,berks,24,40.4,-75.6,42011.0
balmorhea,TX,reeves,2,31.0,-103.7,48389.0
baltimore,MD,anne arundel,42,39.3,-76.6,24003.0
baltimore,MD,baltimore,63,39.3,-76.6,24005.0
baltimore,MD,baltimore city,798,39.3,-76.6,24510.0
baltimore,OH,fairfield,2,39.9,-82.7,39045.0
bandera,TX,bandera,9,29.7,-99.1,48019.0
bangor,ME,penobscot,4,44.8,-68.8,23019.0
bangor,PA,northampton,6,40.8,-75.2,42095.0
baraboo,WI,sauk,10,43.5,-89.7,55111.0
barco,NC,currituck,4,36.4,-76.0,37053.0
barling,AR,sebastian,2,35.3,-94.3,5131.0
