City,State/Province,County,Count,Latitude,Longitude
abbeville,LA,VERMILION,84,30.0,-92.1
aberdeen,MD,HARFORD,2,39.5,-76.2
abilene,TX,TAYLOR,133,32.4,-99.7
abingdon,MD,HARFORD,4,39.4,-76.3
abingdon,VA,WASHINGTON,2,36.7,-82.0
abiquiu,NM,RIO ARRIBA,18,36.4,-106.7
acton,MA,MIDDLESEX,3,42.5,-71.4
acton,ME,YORK,5,43.5,-70.9
acushnet,MA,BRISTOL,4,41.7,-70.9
acworth,GA,CHEROKEE,16,34.1,-84.6
acworth,GA,COBB,32,34.1,-84.6
ada,MI,KENT,12,43.0,-85.5
addison,TX,DALLAS,1,33.0,-96.8
adell,WI,SHEBOYGAN,18,43.6,-88.0
advance,NC,DAVIE,6,36.0,-80.5
afton,IA,UNION,8,41.0,-94.2
afton,MN,WASHINGTON,4,44.9,-92.8
afton,VA,NELSON,7,38.0,-78.8
aiken,SC,AIKEN,30,33.6,-81.7
aitkin,MN,AITKIN,1,46.5,-93.7
akron,CO,WASHINGTON,5,39.9,-103.3
akron,NY,ERIE,14,43.0,-78.5
akron,OH,SUMMIT,231,41.0,-81.4
alamogordo,NM,OTERO,2,32.9,-106.0
albany,CA,ALAMEDA,27,37.9,-122.3
albany,MO,GENTRY,6,40.2,-94.3
albert lea,MN,FREEBORN,3,43.7,-93.1
albertville,AL,MARSHALL,2,34.3,-86.2
albion,MI,CALHOUN,1,42.2,-84.8
albuquerque,NM,BERNALILLO,1560,35.1,-106.5
alden,IA,HARDIN,8,42.5,-93.4
alderson,WV,MONROE,36,37.7,-80.7
aldie,VA,LOUDOUN,8,39.0,-77.6
aledo,TX,PARKER,5,32.7,-97.6
alexandria,MN,DOUGLAS,8,45.9,-95.4
alexandria,VA,ALEXANDRIA CITY,88,38.8,-77.1
alexandria,VA,FAIRFAX,80,38.8,-77.1
algonquin,IL,MCHENRY,4,42.2,-88.3
alhambra,IL,MADISON,4,38.9,-89.7
alice,TX,JIM WELLS,30,27.9,-98.1
allen,TX,COLLIN,360,33.1,-96.6
allen park,MI,WAYNE,20,42.3,-83.2
allenton,WI,WASHINGTON,124,43.4,-88.4
allentown,NJ,MONMOUTH,4,40.2,-74.6
alliance,OH,STARK,4,40.9,-81.1
allons,TN,OVERTON,1,36.5,-85.4
alma,MI,GRATIOT,4,43.5,-84.7
alma center,WI,JACKSON,5,44.5,-91.0
alpena,MI,ALPENA,2,45.1,-83.5
alpharetta,GA,FULTON,3,34.0,-84.2
alpine,CA,SAN DIEGO,2,32.8,-116.8
altamont,NY,ALBANY,2,42.7,-74.0
altamonte springs,FL,SEMINOLE,9,28.7,-81.4
alto pass,IL,UNION,5,37.6,-89.3
alton,IL,MADISON,1,38.9,-90.2
altoona,IA,POLK,21,41.7,-93.5
alva,OK,WOODS,9,36.8,-98.7
alvin,TX,BRAZORIA,2,29.4,-95.2
amarillo,TX,POTTER,40,35.2,-101.8
amarillo,TX,RANDALL,20,35.2,-101.8
ambler,PA,MONTGOMERY,30,40.2,-75.2
amboy,MN,BLUE EARTH,11,43.9,-94.2
amenia,ND,CASS,4,47.0,-97.3
amery,WI,POLK,42,45.3,-92.4
ames,IA,STORY,114,42.1,-93.7
amherst,VA,AMHERST,18,37.6,-79.0
amherst,WI,PORTAGE,2,44.4,-89.3
anaheim,CA,ORANGE,21,33.8,-117.9
anderson,IN,MADISON,56,40.1,-85.7
anderson,SC,ANDERSON,6,34.5,-82.7
andover,IL,HENRY,1,41.3,-90.3
andover,MA,ESSEX,3,42.6,-71.2
andover,MN,ANOKA,100,45.2,-93.3
andover,NH,MERRIMACK,2,43.5,-71.7
andover,NJ,SUSSEX,5,41.0,-74.7
ann arbor,MI,WASHTENAW,143,42.3,-83.8
annandale,VA,FAIRFAX,30,38.8,-77.2
annapolis,CA,SONOMA,2,38.7,-123.4
annapolis,MD,ANNE ARUNDEL,260,39.0,-76.5
annapolis,MO,IRON,2,37.4,-90.7
anoka,MN,ANOKA,5,45.2,-93.4
antioch,IL,LAKE,84,42.5,-88.1
apalachicola,FL,FRANKLIN,12,29.7,-85.0
apex,NC,WAKE,2,35.7,-78.8
arapahoe,NC,PAMLICO,9,35.0,-76.8
ararat,VA,PATRICK,7,36.6,-80.5
arcade,NY,WYOMING,3,42.6,-78.4
arcanum,OH,DARKE,4,40.0,-84.6
arcata,CA,HUMBOLDT,4,40.8,-124.0
archer city,TX,ARCHER,15,33.6,-98.6
arcola,IL,DOUGLAS,1,39.7,-88.3
arden,NC,BUNCOMBE,32,35.5,-82.5
ardmore,OK,CARTER,9,34.2,-97.1
argyle,NY,WASHINGTON,3,43.3,-73.5
arkdale,WI,ADAMS,3,44.0,-89.9
arlington,MN,SIBLEY,1,44.6,-94.1
arlington,TX,TARRANT,840,32.6,-97.2
arlington,VA,ARLINGTON,323,38.9,-77.0
arlington heights,IL,COOK,4,42.1,-88.0
arnold,MD,ANNE ARUNDEL,6,39.1,-76.5
arnold,MO,JEFFERSON,1,38.4,-90.4
arvada,CO,JEFFERSON,2,39.8,-105.2
ashburn,VA,LOUDOUN,24,39.0,-77.5
asheboro,NC,RANDOLPH,1,35.7,-79.8
asheville,NC,BUNCOMBE,531,35.5,-82.6
ashford,CT,WINDHAM,14,41.9,-72.2
ashland,KY,BOYD,60,38.5,-82.6
ashland,MO,BOONE,5,38.8,-92.3
ashland,OH,ASHLAND,48,40.8,-82.3
ashland,OR,JACKSON,8,42.2,-122.7
ashtabula,OH,ASHTABULA,5,41.9,-80.8
ashton,IL,LEE,2,41.8,-89.2
ashville,NY,CHAUTAUQUA,5,42.2,-79.4
ashville,OH,PICKAWAY,3,39.8,-82.8
astoria,NY,QUEENS,4,40.8,-73.9
atascosa,TX,BEXAR,17,29.3,-98.8
atchison,KS,ATCHISON,224,39.6,-95.1
atco,NJ,CAMDEN,57,39.8,-74.9
athens,GA,CLARKE,15,33.9,-83.4
athens,MI,CALHOUN,2,42.1,-85.2
athens,OH,ATHENS,5,39.4,-82.1
athens,TN,MCMINN,1,35.4,-84.6
atlanta,GA,COBB,176,33.8,-84.3
atlanta,GA,DEKALB,374,33.8,-84.3
atlanta,GA,FULTON,638,33.8,-84.3
atlantic beach,FL,DUVAL,20,30.3,-81.4
atlantic beach,NC,CARTERET,175,34.7,-76.7
atlantic city,NJ,ATLANTIC,18,39.4,-74.4
