Town,State/Province,County,Count,Latitude,Longitude,FIPS
abilene,TX,taylor,133,32.5,-99.7,48441.0
ada,MI,kent,2,43.0,-85.5,26081.0
ada,OK,pontotoc,64,34.8,-96.8,40123.0
akron,OH,summit,105,41.0,-81.5,39153.0
alamogordo,NM,otero,8,32.8,-106.1,35035.0
albany,IN,delaware,1,40.3,-85.3,18035.0
albany,NY,albany,46,42.7,-73.7,36001.0
albany,VT,orleans,1,44.7,-72.3,50019.0
albertville,MN,wright,8,45.3,-93.6,27171.0
albion,NE,boone,20,41.7,-98.0,31011.0
albuquerque,NM,bernalillo,450,35.1,-106.6,35001.0
aledo,TX,parker,5,32.7,-97.6,48367.0
alexandria,AL,calhoun,16,33.8,-85.9,1015.0
alexandria,VA,alexandria city,44,38.8,-77.1,51510.0
alexandria,VA,fairfax,40,38.8,-77.1,51059.0
alexandria bay,NY,jefferson,72,44.4,-75.9,36045.0
allen,TX,collin,141,33.1,-96.6,48085.0
allendale,NJ,bergen,1,41.0,-74.1,34003.0
allenton,WI,washington,40,43.5,-88.4,55131.0
allentown,NJ,monmouth,2,40.1,-74.6,34025.0
alpena,MI,alpena,5,45.1,-83.5,26007.0
alsip,IL,cook,4,41.7,-87.7,17031.0
alton,NH,belknap,1,43.5,-71.3,33001.0
altoona,IA,polk,54,41.6,-93.7,19153.0
altoona,PA,blair,12,40.5,-78.4,42013.0
alvin,TX,brazoria,1,29.4,-95.3,48039.0
amery,WI,polk,30,45.4,-92.4,55095.0
amherst,NH,hillsborough,1,42.9,-71.6,33011.0
anaheim,CA,orange,7,33.8,-118.0,6059.0
anderson,IN,madison,14,40.1,-85.8,18095.0
andover,MN,anoka,30,45.4,-93.5,27003.0
ann arbor,MI,washtenaw,44,42.3,-83.8,26161.0
anna,TX,collin,6,33.3,-96.6,48085.0
annapolis,MD,anne arundel,70,39.0,-76.6,24003.0
anoka,MN,anoka,10,45.3,-93.4,27003.0
antioch,IL,lake,6,42.5,-88.1,17097.0
apalachicola,FL,franklin,4,29.7,-85.1,12037.0
apex,NC,wake,2,35.7,-78.9,37183.0
appleton,WI,outagamie,10,44.3,-88.4,55087.0
arcade,NY,wyoming,12,42.6,-78.4,36121.0
ardmore,OK,carter,60,34.2,-97.2,40019.0
ardmore,PA,montgomery,3,40.0,-75.3,42091.0
argyle,TX,denton,15,33.1,-97.2,48121.0
arkansas city,KS,cowley,3,37.1,-97.0,20035.0
arlington,TX,tarrant,72,32.6,-97.2,48439.0
arlington,VA,arlington,170,38.9,-77.1,51013.0
arlington heights,IL,cook,10,42.1,-88.0,17031.0
armada,MI,macomb,4,42.8,-82.9,26099.0
arnold,MD,anne arundel,4,39.0,-76.5,24003.0
asbury park,NJ,monmouth,18,40.2,-74.0,34025.0
ashaway,RI,washington,2,41.4,-71.8,44009.0
ashburn,VA,loudoun,18,39.0,-77.5,51107.0
asheboro,NC,randolph,25,35.6,-79.8,37151.0
asheville,NC,buncombe,225,35.5,-82.6,37021.0
astoria,NY,queens,4,40.8,-73.9,36081.0
astoria,SD,deuel,3,44.6,-96.5,46039.0
atchison,KS,atchison,6,39.5,-95.1,20005.0
atco,NJ,camden,3,39.8,-74.9,34007.0
athens,AL,limestone,1,34.8,-87.0,1083.0
athens,GA,clarke,75,34.0,-83.4,13059.0
athens,OH,athens,10,39.3,-82.1,39009.0
atkinson,NH,rockingham,2,42.8,-71.2,33015.0
atlanta,GA,cobb,64,33.8,-84.4,13067.0
atlanta,GA,dekalb,136,33.8,-84.4,13089.0
atlanta,GA,fulton,232,33.8,-84.4,13121.0
atlanta,MI,montmorency,1,45.0,-84.1,26119.0
atlantic beach,NC,carteret,84,34.7,-76.8,37031.0
atlantic city,NJ,atlantic,6,39.4,-74.4,34001.0
atwater,MN,kandiyohi,1,45.1,-94.8,27067.0
