Town,State/Province,County,Count,Latitude,Longitude,FIPS
aberdeen,MD,harford,1,39.5,-76.2,24025.0
abilene,KS,dickinson,3,39.0,-97.2,20041.0
abilene,TX,taylor,119,32.5,-99.7,48441.0
acworth,GA,cherokee,8,34.0,-84.7,13057.0
acworth,GA,cobb,16,34.0,-84.7,13067.0
ada,OK,pontotoc,4,34.8,-96.8,40123.0
afton,MI,cheboygan,4,45.3,-84.4,26031.0
afton,NY,chenango,4,42.2,-75.5,36017.0
aiken,SC,aiken,3,33.6,-81.7,45003.0
akron,OH,summit,126,41.0,-81.5,39153.0
alamogordo,NM,otero,4,32.8,-106.1,35035.0
alba,TX,wood,6,32.8,-95.6,48499.0
albany,NY,albany,46,42.7,-73.7,36001.0
albion,MI,calhoun,1,42.3,-84.8,26025.0
albuquerque,NM,bernalillo,210,35.1,-106.6,35001.0
alcoa,TN,blount,2,35.8,-84.0,47009.0
alexandria,VA,alexandria city,22,38.8,-77.1,51510.0
alexandria,VA,fairfax,20,38.8,-77.1,51059.0
alexandria bay,NY,jefferson,27,44.3,-75.9,36045.0
algonac,MI,st. clair,7,42.6,-82.6,26147.0
algonquin,IL,mchenry,4,42.2,-88.3,17111.0
alice,TX,jim wells,15,27.7,-98.1,48249.0
allen,TX,collin,123,33.1,-96.6,48085.0
allendale,NJ,bergen,1,41.0,-74.1,34003.0
allenton,WI,washington,13,43.5,-88.4,55131.0
alsip,IL,cook,4,41.7,-87.7,17031.0
alstead,NH,cheshire,4,43.1,-72.3,33005.0
altamont,NY,albany,2,42.7,-74.0,36001.0
alton,IL,madison,1,38.9,-90.1,17119.0
altoona,IA,polk,15,41.6,-93.7,19153.0
amarillo,TX,potter,48,35.2,-101.8,48375.0
amarillo,TX,randall,24,35.2,-101.8,48381.0
ambler,PA,montgomery,5,40.2,-75.2,42091.0
amelia,OH,clermont,3,39.0,-84.2,39025.0
ames,IA,story,2,42.1,-93.6,19169.0
ann arbor,MI,washtenaw,187,42.3,-83.8,26161.0
annandale,VA,fairfax,1,38.8,-77.2,51059.0
annapolis,MD,anne arundel,60,39.0,-76.6,24003.0
annapolis,MO,iron,4,37.4,-90.7,29093.0
antwerp,OH,paulding,3,41.2,-84.7,39125.0
apalachicola,FL,franklin,14,29.7,-85.1,12037.0
apex,NC,wake,1,35.7,-78.9,37183.0
ardmore,OK,carter,3,34.2,-97.2,40019.0
arivaca,AZ,pima,3,32.0,-110.8,4019.0
arlington,TX,tarrant,384,32.6,-97.2,48439.0
arlington,VA,arlington,102,38.9,-77.1,51013.0
artesia,NM,eddy,2,32.8,-104.3,35015.0
asbury park,NJ,monmouth,18,40.2,-74.0,34025.0
ashburn,VA,loudoun,42,39.0,-77.5,51107.0
asheboro,NC,randolph,1,35.6,-79.8,37151.0
asheville,NC,buncombe,63,35.6,-82.6,37021.0
ashland,KY,boyd,12,38.5,-82.7,21019.0
ashland,OR,jackson,1,42.2,-122.6,41029.0
ashland,WI,ashland,10,46.5,-90.9,55003.0
atchison,KS,atchison,208,39.5,-95.1,20005.0
atco,NJ,camden,3,39.8,-74.9,34007.0
athens,GA,clarke,18,34.0,-83.6,13059.0
atlanta,GA,cobb,24,33.8,-84.4,13067.0
atlanta,GA,dekalb,51,33.8,-84.4,13089.0
atlanta,GA,fulton,87,33.8,-84.4,13121.0
atlantic city,NJ,atlantic,8,39.4,-74.4,34001.0
auburn hills,MI,oakland,6,42.7,-83.2,26125.0
aurora,IL,dupage,15,41.8,-88.2,17043.0
aurora,IL,kane,20,41.8,-88.2,17089.0
aurora,IL,will,5,41.8,-88.2,17197.0
aurora,OH,portage,2,41.3,-81.3,39133.0
austin,TX,hays,135,30.2,-97.7,48209.0
austin,TX,travis,5805,30.2,-97.7,48453.0
austin,TX,williamson,405,30.2,-97.7,48491.0
avon,IN,hendricks,1,39.8,-86.4,18063.0
babylon,NY,suffolk,120,40.6,-73.2,36103.0
bakersville,NC,mitchell,1,36.1,-82.2,37121.0
baldwin,NY,nassau,32,40.7,-73.6,36059.0
ballston spa,NY,saratoga,48,43.0,-73.9,36091.0
ballwin,MO,st. louis,168,38.6,-90.6,29189.0
baltimore,MD,anne arundel,20,39.3,-76.6,24003.0
baltimore,MD,baltimore,30,39.3,-76.6,24005.0
baltimore,MD,baltimore city,380,39.3,-76.6,24510.0
bandera,TX,bandera,38,29.7,-99.1,48019.0
barkhamsted,CT,litchfield,16,41.9,-73.0,9005.0
barrington,NH,strafford,1,43.2,-71.0,33017.0
bartlesville,OK,washington,56,36.7,-96.1,40147.0
batavia,IL,kane,1,41.8,-88.3,17089.0
batavia,NY,genesee,2,43.0,-78.2,36037.0
bath,MI,clinton,1,42.8,-84.5,26037.0
baton rouge,LA,east. baton rouge,51,30.4,-91.2,
bay village,OH,cuyahoga,16,41.5,-81.9,39035.0
bayville,NJ,ocean,3,39.9,-74.2,34029.0
beach haven,NJ,ocean,14,39.6,-74.2,34029.0
bearsville,NY,ulster,2,42.0,-74.2,36111.0
beaver falls,PA,beaver,4,40.8,-80.4,42007.0
bedford,NY,westchester,15,41.2,-73.7,36119.0
bedford,TX,tarrant,5,32.9,-97.1,48439.0
bedford,VA,bedford,7,37.3,-79.5,51019.0
belen,NM,valencia,56,34.6,-106.7,35061.0
belle chasse,LA,plaquemines,1,29.8,-90.0,
belleville,IL,st. clair,5,38.5,-90.0,17163.0
bellevue,NE,sarpy,4,41.1,-95.9,31153.0
beloit,WI,rock,3,42.5,-89.1,55105.0
bemidji,MN,beltrami,10,47.5,-94.7,27007.0
bennington,VT,bennington,4,42.9,-73.1,50003.0
benton,AR,saline,132,34.6,-92.7,5125.0
benton,KY,marshall,5,36.9,-88.3,21157.0
bergheim,TX,kendall,3,29.8,-98.6,48259.0
bergman,AR,boone,8,36.3,-93.0,5009.0
berkley,MI,oakland,1,42.5,-83.2,26125.0
berlin,MD,worcester,15,38.3,-75.2,24047.0
bertram,TX,burnet,155,30.7,-98.0,48053.0
bethel,PA,berks,2,40.5,-76.3,42011.0
bethlehem,PA,lehigh,4,40.6,-75.4,42077.0
bethlehem,PA,northampton,8,40.6,-75.4,42095.0
big bend national park,TX,brewster,10,29.3,-103.3,48043.0
big flats,NY,chemung,1,42.1,-77.0,36015.0
big rock,IL,kane,3,41.8,-88.5,17089.0
big sur,CA,monterey,4,36.2,-121.6,6053.0
billingsley,AL,autauga,1,32.6,-86.7,1001.0
birmingham,AL,jefferson,260,33.5,-86.8,1073.0
birmingham,AL,shelby,35,33.5,-86.8,1117.0
bishop,CA,inyo,54,37.4,-118.4,6027.0
bismarck,ND,burleigh,4,46.8,-100.7,38015.0
bixby,OK,tulsa,2,35.9,-95.8,40143.0
black river falls,WI,jackson,24,44.3,-90.8,55053.0
blacklick,OH,franklin,1,40.0,-82.8,39049.0
blairstown,NJ,warren,15,41.0,-75.0,34041.0
blairsville,GA,union,1,34.9,-84.0,13291.0
bloomfield,NM,san juan,3,36.9,-107.8,35045.0
bloomingburg,NY,sullivan,1,41.4,-74.3,36105.0
bloomingdale,NJ,passaic,4,41.0,-74.3,34031.0
bloomington,IL,mclean,16,40.5,-89.0,17113.0
bloomington,IN,monroe,6,39.2,-86.5,18105.0
blountville,TN,sullivan,1,36.5,-82.4,47163.0
blowing rock,NC,watauga,4,36.0,-81.8,37189.0
blue grass,IA,scott,1,41.5,-90.7,19163.0
bluffton,SC,beaufort,33,32.2,-80.9,45013.0
boerne,TX,kendall,96,29.8,-98.8,48259.0
boise,ID,ada,45,43.7,-116.2,16001.0
bolinas,CA,marin,43,37.9,-122.7,6041.0
boonsboro,MD,washington,7,39.6,-77.6,24043.0
boothbay,ME,lincoln,4,43.9,-69.6,23015.0
boothbay harbor,ME,lincoln,4,43.9,-69.6,23015.0
borrego springs,CA,san diego,4,33.3,-116.4,6073.0
bosque,NM,valencia,55,34.5,-106.8,35061.0
boston,MA,suffolk,20,42.4,-71.1,25025.0
boulder junction,WI,vilas,2,46.1,-89.6,55125.0
bountiful,UT,davis,5,40.9,-111.8,49011.0
bow,NH,merrimack,1,43.1,-71.5,33013.0
boyertown,PA,berks,26,40.3,-75.7,42011.0
bradenton,FL,manatee,96,27.4,-82.5,12081.0
braidwood,IL,will,3,41.2,-88.2,17197.0
brandon,MS,rankin,4,32.3,-89.9,28121.0
branson,MO,taney,6,36.6,-93.2,29213.0
brenham,TX,washington,3,30.2,-96.4,48477.0
brentwood,TN,williamson,2,36.0,-86.8,47187.0
brevard,NC,transylvania,6,35.2,-82.8,37175.0
bridgeview,IL,cook,33,41.8,-87.8,17031.0
bridport,VT,addison,1,43.9,-73.4,50001.0
brigantine,NJ,atlantic,2,39.4,-74.4,34001.0
bristol,VT,addison,14,44.1,-73.0,50001.0
broken arrow,OK,tulsa,16,36.0,-95.8,40143.0
broken arrow,OK,wagoner,16,36.0,-95.8,40145.0
bronte,TX,coke,15,31.9,-100.3,48081.0
bronx,NY,bronx,216,40.8,-73.9,36005.0
brookeville,MD,montgomery,3,39.2,-77.1,24031.0
brookfield,CT,fairfield,3,41.5,-73.4,9001.0
brookfield,WI,waukesha,9,43.1,-88.1,55133.0
brooklyn,NY,kings,24,40.7,-74.0,36047.0
broomfield,CO,broomfield,3,39.9,-105.1,8014.0
broomfield,CO,jefferson,2,39.9,-105.1,8059.0
browns mills,NJ,burlington,1,40.0,-74.6,34005.0
brownsburg,IN,hendricks,3,39.9,-86.4,18063.0
brunswick,ME,cumberland,5,43.9,-70.0,23005.0
bryan,TX,brazos,16,30.6,-96.4,48041.0
buchanan,VA,botetourt,4,37.5,-79.7,51023.0
buckland,OH,auglaize,2,40.6,-84.1,39011.0
bucyrus,OH,crawford,2,40.8,-83.0,39033.0
budd lake,NJ,morris,8,40.9,-74.8,34027.0
buffalo,NY,erie,39,42.9,-78.9,36029.0
bulverde,TX,comal,9,29.8,-98.5,48091.0
buncombe,IL,johnson,30,37.5,-89.0,17087.0
burbank,WA,walla walla,1,46.1,-118.9,53071.0
burkburnett,TX,wichita,2,34.1,-98.6,48485.0
burleson,TX,johnson,15,32.5,-97.3,48251.0
burlington,CT,hartford,8,41.8,-73.0,9003.0
burnet,TX,burnet,1,30.8,-98.3,48053.0
burton,OH,geauga,3,41.4,-81.2,39055.0
butler,MD,baltimore,1,39.6,-76.7,24005.0
