Town,State/Province,County,Count,Latitude,Longitude,FIPS
abbeville,LA,vermilion,33,30.0,-92.1,
aberdeen,NC,moore,1,35.1,-79.4,37125.0
abilene,TX,taylor,924,32.4,-99.7,48441.0
abingdon,VA,washington,18,36.7,-81.9,51191.0
absecon,NJ,atlantic,24,39.5,-74.5,34001.0
accord,NY,ulster,20,41.8,-74.2,36111.0
acton,ME,york,2,43.5,-70.9,23031.0
acushnet,MA,bristol,6,41.7,-70.9,25005.0
acworth,GA,cherokee,6,34.0,-84.7,13057.0
acworth,GA,cobb,12,34.0,-84.7,13067.0
acworth,NH,sullivan,10,43.2,-72.3,33019.0
ada,MI,kent,12,43.0,-85.5,26081.0
ada,OK,pontotoc,4,34.8,-96.7,40123.0
adams,TN,robertson,1,36.6,-87.1,47147.0
advance,NC,davie,6,35.9,-80.4,37059.0
afton,MN,washington,3,44.9,-92.8,27163.0
afton,NY,chenango,4,42.2,-75.5,36017.0
afton,VA,nelson,11,37.9,-78.8,51125.0
aiken,SC,aiken,9,33.6,-81.7,45003.0
akron,CO,washington,9,39.9,-103.3,8121.0
akron,OH,summit,63,41.1,-81.5,39153.0
alamogordo,NM,otero,4,32.8,-106.1,35035.0
albany,LA,livingston,6,30.5,-90.6,
albany,NY,albany,92,42.7,-73.9,36001.0
albert lea,MN,freeborn,6,43.6,-93.3,27047.0
albertville,AL,marshall,1,34.3,-86.2,1095.0
albertville,MN,wright,4,45.2,-93.7,27171.0
albuquerque,NM,bernalillo,360,35.1,-106.5,35001.0
alcalde,NM,rio arriba,6,36.1,-106.0,35039.0
alderson,WV,monroe,8,37.7,-80.7,54063.0
aldrich,MO,polk,8,37.5,-93.6,29167.0
aledo,TX,parker,15,32.7,-97.6,48367.0
alexander,AR,saline,3,34.7,-92.5,5125.0
alexandria,LA,rapides,34,31.3,-92.5,
alexandria,VA,alexandria city,528,38.7,-77.1,51510.0
alexandria,VA,fairfax,480,38.7,-77.1,51059.0
allen,TX,collin,81,33.1,-96.7,48085.0
allenton,MI,st. clair,160,42.9,-82.9,26147.0
allenton,WI,washington,113,43.4,-88.4,55131.0
alma,MI,gratiot,1,43.5,-84.7,26057.0
almont,MI,lapeer,4,42.9,-83.1,26087.0
alpena,MI,alpena,1,45.1,-83.4,26007.0
alpine,TX,brewster,2,30.4,-103.6,48043.0
alstead,NH,cheshire,24,43.1,-72.3,33005.0
alto,GA,habersham,1,34.4,-83.6,13137.0
altoona,IA,polk,36,41.6,-93.5,19153.0
altura,MN,winona,72,44.2,-91.9,27169.0
alva,OK,woods,51,36.8,-98.7,40151.0
amagansett,NY,suffolk,3,41.0,-72.1,36103.0
amarillo,TX,potter,272,35.2,-101.8,48375.0
amarillo,TX,randall,136,35.2,-101.8,48381.0
amazonia,MO,andrew,12,39.9,-94.9,29003.0
ambler,PA,montgomery,20,40.2,-75.2,42091.0
ames,IA,story,52,42.0,-93.6,19169.0
amesville,OH,athens,3,39.4,-82.0,39009.0
amherst,NH,hillsborough,4,42.8,-71.6,33011.0
amherst,VA,amherst,30,37.6,-79.0,
amherst,WI,portage,3,44.5,-89.3,55097.0
anahuac,TX,chambers,40,29.5,-94.7,48071.0
ancram,NY,columbia,1,42.1,-73.7,36021.0
anderson,IN,madison,140,40.1,-85.7,18095.0
andersonville,TN,anderson,11,36.2,-84.0,47001.0
andover,MN,anoka,670,45.2,-93.4,27003.0
andover,NH,merrimack,6,43.5,-71.7,33013.0
aniwa,WI,marathon,2,45.0,-89.4,55073.0
ann arbor,MI,washtenaw,363,42.3,-83.7,26161.0
anna,TX,collin,37,33.3,-96.5,48085.0
annandale,MN,wright,3,45.2,-94.2,27171.0
annandale,VA,fairfax,7,38.8,-77.2,51059.0
annapolis,MD,anne arundel,590,39.0,-76.5,24003.0
anoka,MN,anoka,525,45.2,-93.4,27003.0
ansonia,OH,darke,37,40.2,-84.6,39037.0
antelope,OR,wasco,2,44.9,-120.5,41065.0
antigo,WI,langlade,4,45.1,-89.1,55067.0
antioch,IL,lake,3,42.5,-88.1,17097.0
apalachicola,FL,franklin,10,29.7,-85.0,12037.0
apex,NC,wake,108,35.7,-78.9,37183.0
apollo beach,FL,hillsborough,2,27.8,-82.4,12057.0
apopka,FL,orange,1,28.7,-81.6,12095.0
apple valley,CA,san bernardino,4,34.5,-117.2,6071.0
applegate,MI,sanilac,12,43.4,-82.6,26151.0
appleton,WI,outagamie,40,44.3,-88.4,55087.0
arabi,LA,st. bernard,13,30.0,-90.0,
arcade,NY,wyoming,12,42.6,-78.4,36121.0
arcadia,FL,desoto,21,27.3,-81.9,12027.0
arcadia,KS,crawford,45,37.6,-94.8,20037.0
arcadia,MI,manistee,12,44.5,-86.2,26101.0
ardmore,PA,montgomery,1,40.0,-75.3,42091.0
argyle,TX,denton,5,33.1,-97.1,48121.0
arkadelphia,AR,clark,224,34.1,-93.2,5019.0
arkansas city,KS,cowley,3,37.1,-97.0,20035.0
arlington,IN,rush,1,39.7,-85.6,18139.0
arlington,TX,tarrant,276,32.7,-97.2,48439.0
arlington,VA,arlington,578,38.9,-77.1,51013.0
arlington,WI,columbia,25,43.3,-89.4,55021.0
arlington heights,IL,cook,12,42.1,-88.0,17031.0
armuchee,GA,floyd,7,34.4,-85.2,13115.0
arnold,MO,jefferson,1,38.4,-90.4,29099.0
art,TX,mason,6,30.7,-99.0,48319.0
arvada,CO,jefferson,2,39.8,-105.1,8059.0
ash grove,MO,greene,2,37.3,-93.6,29077.0
ashburn,VA,loudoun,12,39.0,-77.5,51107.0
asheboro,NC,randolph,22,35.7,-79.8,37151.0
asheville,NC,buncombe,1260,35.6,-82.5,37021.0
ashland,KY,boyd,96,38.5,-82.6,21019.0
ashland,MO,boone,1,38.8,-92.3,29019.0
ashland,NH,grafton,2,43.7,-71.6,33009.0
ashland,OH,ashland,8,40.9,-82.3,39005.0
ashmore,IL,coles,1,39.5,-88.0,17029.0
ashtabula,OH,ashtabula,5,41.9,-80.8,39007.0
ashton,IL,lee,17,41.9,-89.2,17103.0
ashville,NY,chautauqua,2,42.1,-79.4,36013.0
aston,PA,delaware,16,39.9,-75.4,42045.0
atchison,KS,atchison,30,39.6,-95.1,20005.0
atco,NJ,camden,3,39.8,-74.9,34007.0
athens,GA,clarke,132,34.0,-83.4,13059.0
athens,OH,athens,12,39.3,-82.1,39009.0
athens,PA,bradford,6,41.9,-76.5,42015.0
atlanta,GA,cobb,928,33.9,-84.2,13067.0
atlanta,GA,dekalb,1972,33.9,-84.2,13089.0
atlanta,GA,fulton,3364,33.9,-84.2,13121.0
atlantic beach,NC,carteret,210,34.7,-76.7,37031.0
atlantic beach,NY,nassau,8,40.6,-73.7,36059.0
atlantic city,NJ,atlantic,2,39.4,-74.4,34001.0
atoka,TN,tipton,4,35.4,-89.8,47167.0
attalla,AL,etowah,5,34.1,-86.1,1055.0
aubrey,TX,denton,66,33.2,-96.9,48121.0
auburn,AL,lee,2,32.6,-85.5,1081.0
auburn,IN,dekalb,6,41.4,-85.0,18033.0
audubon,PA,montgomery,12,40.1,-75.4,42091.0
augusta,GA,columbia,26,33.5,-82.1,13073.0
augusta,GA,richmond,52,33.5,-82.1,13245.0
augusta,MI,kalamazoo,2,42.3,-85.4,26077.0
augusta,MO,st. charles,15,38.6,-90.8,29183.0
aurora,CO,adams,5,39.6,-104.8,8001.0
aurora,CO,arapahoe,4,39.6,-104.8,8005.0
aurora,IL,dupage,3,41.7,-88.3,17043.0
aurora,IL,kane,4,41.7,-88.3,17089.0
aurora,IL,will,1,41.7,-88.3,17197.0
aurora,IN,dearborn,25,39.1,-84.9,18029.0
aurora,NY,cayuga,16,42.7,-76.7,36011.0
austin,MN,mower,116,43.7,-93.0,27099.0
austin,TX,hays,397,30.3,-97.8,48209.0
austin,TX,travis,17071,30.3,-97.8,48453.0
austin,TX,williamson,1191,30.3,-97.8,48491.0
austwell,TX,refugio,3,28.2,-96.9,48391.0
avalon,NJ,cape may,12,39.1,-74.7,34009.0
avon,IN,hendricks,12,39.8,-86.4,18063.0
avon,NC,dare,98,35.4,-75.5,37055.0
avon,NY,livingston,1,42.9,-77.7,36051.0
avon,SD,bon homme,10,43.0,-98.1,46009.0
avon lake,OH,lorain,21,41.5,-82.0,39093.0
avondale,PA,chester,1,39.9,-75.8,42029.0
azle,TX,parker,2,32.9,-97.5,48367.0
azle,TX,tarrant,6,32.9,-97.5,48439.0
babylon,NY,suffolk,728,40.6,-73.2,36103.0
baileys harbor,WI,door,12,45.1,-87.1,55029.0
bainbridge,IN,putnam,2,39.8,-86.8,18133.0
bainbridge,NY,chenango,5,42.3,-75.4,36017.0
bakersville,NC,mitchell,23,36.1,-82.1,37121.0
bala cynwyd,PA,montgomery,20,40.0,-75.2,42091.0
baldwin,WI,st. croix,9,45.0,-92.4,55109.0
baldwinsville,NY,onondaga,6,43.2,-76.3,36067.0
ball ground,GA,cherokee,9,34.4,-84.3,13057.0
ballwin,MO,st. louis,903,38.6,-90.5,29189.0
bally,PA,berks,88,40.4,-75.6,42011.0
balsam grove,NC,transylvania,46,35.3,-82.8,37175.0
baltic,OH,tuscarawas,12,40.4,-81.7,39157.0
baltimore,MD,anne arundel,14,39.3,-76.5,24003.0
baltimore,MD,baltimore,21,39.3,-76.5,24005.0
baltimore,MD,baltimore city,266,39.3,-76.5,24510.0
bandera,TX,bandera,8,29.7,-99.0,48019.0
bangor,MI,van buren,2,42.3,-86.1,26159.0
bangor,PA,northampton,3,40.8,-75.2,42095.0
bar harbor,ME,hancock,27,44.4,-68.2,23009.0
baraboo,WI,sauk,4,43.5,-89.8,55111.0
barboursville,VA,orange,21,38.2,-78.3,51137.0
barco,NC,currituck,13,36.4,-76.0,37053.0
bark river,MI,delta,54,45.6,-87.2,26041.0
barling,AR,sebastian,4,35.3,-94.3,5131.0
barnegat light,NJ,ocean,6,39.8,-74.1,34029.0
barnesville,MN,clay,188,46.7,-96.4,27027.0
barnstable,MA,barnstable,4,41.6,-70.4,25001.0
barre,VT,washington,144,44.2,-72.5,50023.0
barrington,IL,lake,60,42.2,-88.1,17097.0
bartlesville,OK,washington,24,36.7,-95.9,40147.0
bartlett,IL,dupage,12,42.0,-88.2,17043.0
bartlett,NH,carroll,12,44.1,-71.2,33003.0
barton city,MI,alcona,1,44.7,-83.6,26001.0
bastrop,TX,bastrop,8,30.1,-97.3,48021.0
batavia,OH,clermont,56,39.2,-84.1,39025.0
bath,IN,franklin,6,39.5,-84.8,18047.0
baton rouge,LA,east. baton rouge,646,30.4,-91.0,
battle creek,MI,calhoun,34,42.3,-85.2,26025.0
battle ground,IN,tippecanoe,1,40.5,-86.8,18157.0
bay city,TX,matagorda,30,28.6,-96.0,48321.0
bay city,WI,pierce,8,44.6,-92.5,55093.0
bay shore,NY,suffolk,430,40.6,-73.2,36103.0
bay village,OH,cuyahoga,134,41.5,-81.9,39035.0
