Town,State/Province,County,Count,Latitude,Longitude,FIPS
Abilene,TX,taylor,9,32.4,-99.7,48441.0
Ada,OK,pontotoc,36,34.8,-96.7,40123.0
Akron,OH,summit,42,41.1,-81.5,39153.0
Alamo,NV,lincoln,12,37.2,-115.1,32017.0
Albany,NY,albany,46,42.6,-73.8,36001.0
Albert Lea,MN,freeborn,3,43.7,-93.2,27047.0
Albuquerque,NM,bernalillo,15,35.1,-106.6,35001.0
Alexander,NC,buncombe,5,35.7,-82.6,37021.0
Allen,TX,collin,24,33.1,-96.6,48085.0
Allenton,MI,st. clair,10,42.9,-82.9,26147.0
Alpharetta,GA,fulton,18,34.1,-84.3,13121.0
Alto,MI,kent,1,42.8,-85.4,26081.0
Alvin,TX,brazoria,3,29.4,-95.2,48039.0
Amherst,VA,amherst,16,37.6,-79.1,
Amherst,WI,portage,1,44.4,-89.3,55097.0
Anderson,SC,anderson,6,34.5,-82.8,45007.0
Andover,MN,anoka,5,45.2,-93.3,27003.0
Angier,NC,harnett,1,35.5,-78.7,37085.0
Angleton,TX,brazoria,7,29.2,-95.4,48039.0
Ann Arbor,MI,washtenaw,11,42.3,-83.8,26161.0
Annapolis,MD,anne arundel,60,38.9,-76.5,24003.0
Ansonia,CT,new haven,1,41.3,-73.1,9009.0
Apalachicola,FL,franklin,3,29.7,-85.0,12037.0
Apex,NC,wake,4,35.8,-78.9,37183.0
Arcade,NY,wyoming,6,42.5,-78.4,36121.0
Archbald,PA,lackawanna,2,41.5,-75.6,42069.0
Arden,NC,buncombe,100,35.5,-82.5,37021.0
Ardmore,OK,carter,3,34.1,-97.1,40019.0
Arlington,KS,reno,2,37.9,-98.2,20155.0
Arlington,TX,tarrant,54,32.6,-97.1,48439.0
Arlington,VA,arlington,51,38.9,-77.1,51013.0
Arlington Heights,IL,cook,4,42.1,-88.0,17031.0
Arnold,MD,anne arundel,1,39.1,-76.5,24003.0
Arvada,CO,jefferson,2,39.8,-105.2,8059.0
Ash Grove,MO,greene,4,37.4,-93.6,29077.0
Asheville,NC,buncombe,252,35.6,-82.6,37021.0
Ashland,KY,boyd,228,38.4,-82.6,21019.0
Athens,GA,clarke,3,33.9,-83.4,13059.0
Atkinson,NE,holt,1,42.5,-99.0,31089.0
Atlanta,GA,cobb,240,33.8,-84.4,13067.0
Atlanta,GA,dekalb,510,33.8,-84.4,13089.0
Atlanta,GA,fulton,870,33.8,-84.4,13121.0
Auburn,AL,lee,2,32.6,-85.5,1081.0
Auburn,MA,worcester,1,42.2,-71.8,25027.0
Auburn,NH,rockingham,1,43.0,-71.3,33015.0
Augusta,GA,columbia,2,33.5,-82.0,13073.0
Augusta,GA,richmond,4,33.5,-82.0,13245.0
Aulander,NC,bertie,2,36.3,-77.3,37015.0
Aurora,CO,adams,5,39.7,-104.8,8001.0
Aurora,CO,arapahoe,4,39.7,-104.8,8005.0
Aurora,MO,lawrence,4,37.0,-93.7,29109.0
Austin,MN,mower,8,43.7,-93.0,27099.0
Austin,TX,hays,98,30.4,-97.7,48209.0
Austin,TX,travis,4214,30.4,-97.7,48453.0
Austin,TX,williamson,294,30.4,-97.7,48491.0
Austwell,TX,refugio,3,28.3,-96.8,48391.0
Avalon,NJ,cape may,3,39.1,-74.7,34009.0
Avoca,NY,steuben,2,42.4,-77.4,36101.0
Avondale,AZ,maricopa,4,33.3,-112.3,4013.0
Avondale Estates,GA,dekalb,4,33.8,-84.3,13089.0
Bagdad,KY,shelby,1,38.2,-85.1,21211.0
Bainbridge,PA,lancaster,4,40.1,-76.7,42071.0
Bakersfield,CA,kern,3,35.4,-119.0,6029.0
Ball Ground,GA,cherokee,185,34.4,-84.3,13057.0
Ballwin,MO,st. louis,140,38.6,-90.5,29189.0
Bandera,TX,bandera,1,29.7,-99.1,48019.0
Banner Elk,NC,avery,30,36.2,-81.8,37011.0
Barco,NC,currituck,1,36.4,-76.0,37053.0
Barnard,VT,windsor,2,43.7,-72.6,50027.0
Barnardsville,NC,buncombe,3,35.8,-82.5,37021.0
Barnesville,MN,clay,2,46.7,-96.4,27027.0
Baroda,MI,berrien,5,42.0,-86.5,26021.0
Barre,VT,washington,9,44.2,-72.4,50023.0
Bartlesville,OK,washington,96,36.9,-96.0,40147.0
Bartlett,IL,dupage,3,42.0,-88.2,17043.0
Basehor,KS,leavenworth,16,39.1,-94.9,20103.0
Bath,IN,franklin,2,39.5,-84.8,18047.0
Baton Rouge,LA,east. baton rouge,136,30.4,-91.0,
Bay City,MI,bay,1,43.6,-83.9,26017.0
Baytown,TX,chambers,24,29.8,-94.9,48071.0
Baytown,TX,harris,52,29.8,-94.9,48201.0
Beachwood,OH,cuyahoga,112,41.5,-81.5,39035.0
Beaufort,SC,beaufort,30,32.4,-80.7,45013.0
Beaver,WV,raleigh,3,37.8,-81.1,54081.0
Bedford,VA,bedford,1,37.4,-79.6,51019.0
Beeville,TX,bee,12,28.4,-97.7,48025.0
Bel Air,MD,harford,1,39.5,-76.3,24025.0
Bellefonte,PA,centre,8,40.9,-77.8,42027.0
Belleville,KS,republic,4,39.8,-97.6,20157.0
Belleville,NJ,essex,1,40.8,-74.2,34013.0
Belleville,WI,dane,1,42.9,-89.5,55025.0
Bellevue,IA,jackson,1,42.3,-90.4,19097.0
Bellevue,NE,sarpy,4,41.2,-95.9,31153.0
Bellville,OH,richland,6,40.6,-82.5,39139.0
Belton,TX,bell,3,31.1,-97.5,48027.0
Benicia,CA,solano,6,38.1,-122.2,6095.0
Berkeley,CA,alameda,20,37.9,-122.3,6001.0
Berkeley Springs,WV,morgan,76,39.6,-78.2,54065.0
Bernardsville,NJ,somerset,1,40.7,-74.6,34035.0
Berrien Center,MI,berrien,2,41.9,-86.3,26021.0
Bessemer City,NC,gaston,1,35.3,-81.3,37071.0
Bethesda,MD,montgomery,80,39.0,-77.1,24031.0
Bettendorf,IA,scott,15,41.5,-90.5,19163.0
Big Lake,TX,reagan,3,31.2,-101.5,48383.0
Big Spring,TX,howard,6,32.2,-101.5,48227.0
Billings,MO,christian,3,37.1,-93.5,29043.0
Billingsley,AL,autauga,1,32.7,-86.7,1001.0
Biloxi,MS,harrison,63,30.4,-88.9,28047.0
Binghamton,NY,broome,119,42.1,-75.9,36007.0
Birmingham,AL,jefferson,208,33.4,-86.9,1073.0
Birmingham,AL,shelby,28,33.4,-86.9,1117.0
Bishop,CA,inyo,9,37.5,-118.6,6027.0
Bishopville,MD,worcester,2,38.5,-75.1,24047.0
Bixby,OK,tulsa,6,35.9,-95.9,40143.0
Black Creek,WI,outagamie,2,44.5,-88.4,55087.0
Black Mountain,NC,buncombe,12,35.6,-82.3,37021.0
Blackfoot,ID,bingham,45,43.2,-112.3,16011.0
Blairsville,GA,union,15,34.9,-84.1,13291.0
Blanchard,OK,mcclain,22,35.2,-97.7,40087.0
Blanco,TX,blanco,2,30.1,-98.4,48031.0
Bliss,NY,wyoming,4,42.6,-78.3,36121.0
Bloomburg,TX,cass,1,33.1,-94.0,48067.0
Bloomfield,NJ,essex,48,40.8,-74.2,34013.0
Bloomingdale,NJ,passaic,3,41.0,-74.3,34031.0
Bloomington,IN,monroe,9,39.1,-86.5,18105.0
Bloomington Springs,TN,putnam,20,36.2,-85.6,47141.0
Blue Bell,PA,montgomery,4,40.2,-75.3,42091.0
Blue Hill,ME,hancock,3,44.4,-68.6,23009.0
Blue Hill,NE,webster,9,40.3,-98.5,31181.0
Blue Mound,IL,macon,6,39.7,-89.1,17115.0
Bluffton,SC,beaufort,12,32.2,-80.9,45013.0
Boca Raton,FL,palm beach,5,26.3,-80.1,12099.0
Boerne,TX,kendall,198,29.8,-98.7,48259.0
Bohemia,NY,suffolk,1,40.8,-73.1,36103.0
Boone,NC,watauga,78,36.2,-81.7,37189.0
Boonville,MO,cooper,24,39.0,-92.7,29053.0
Boonville,NC,yadkin,4,36.2,-80.7,37197.0
Boston,MA,suffolk,20,42.4,-71.1,25025.0
Boulder,UT,garfield,4,37.9,-111.4,49017.0
Bowling Green,KY,warren,15,37.0,-86.4,21227.0
Boyce,VA,clarke,1,39.1,-78.1,51043.0
Boyertown,PA,berks,39,40.4,-75.6,42011.0
Bradenton,FL,manatee,16,27.4,-82.6,12081.0
Bradley Beach,NJ,monmouth,1,40.2,-74.0,34025.0
Braham,MN,isanti,3,45.7,-93.2,27059.0
Braidwood,IL,will,3,41.3,-88.2,17197.0
Brandon,SD,minnehaha,3,43.5,-96.6,46099.0
Breaux Bridge,LA,st. martin,6,30.3,-91.9,
Brecksville,OH,cuyahoga,2,41.3,-81.6,39035.0
Brevard,NC,transylvania,14,35.2,-82.7,37175.0
Briarcliff Manor,NY,westchester,4,41.1,-73.9,36119.0
