City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Pismo Beach,CA,san luis obispo,2012-01-01,35.1,-120.6,2012,1,1,Winter,2,78.0
Big Sur,CA,monterey,2012-01-01,36.1,-121.6,2012,1,1,Winter,4,59.0
Cambria,CA,san luis obispo,2012-01-01,35.6,-121.1,2012,1,1,Winter,1,78.0
Fremont,CA,alameda,2012-01-01,37.5,-122.0,2012,1,1,Winter,1,69.0
Fremont,CA,alameda,2012-01-01,37.6,-122.0,2012,1,1,Winter,1,69.0
Houston,TX,fort bend,2012-01-01,29.8,-95.4,2012,1,1,Winter,1,
Santa Barbara,CA,santa barbara,2012-01-01,34.4,-119.7,2012,1,1,Winter,14,76.0
Pacific Grove,CA,monterey,2012-01-01,36.6,-121.9,2012,1,1,Winter,2,59.0
Houston,TX,harris,2012-01-01,29.8,-95.4,2012,1,1,Winter,43,64.0
Oceano,CA,san luis obispo,2012-01-01,35.1,-120.6,2012,1,1,Winter,2,78.0
Ventura,CA,ventura,2012-01-01,34.3,-119.3,2012,1,1,Winter,6,55.0
Ventura,CA,ventura,2012-01-01,34.3,-119.2,2012,1,1,Winter,6,55.0
Richmond,CA,contra costa,2012-01-01,38.0,-122.4,2012,1,1,Winter,6,69.0
Goleta,CA,santa barbara,2012-01-01,34.4,-119.9,2012,1,1,Winter,10,76.0
Palmetto,FL,manatee,2012-01-01,27.5,-82.6,2012,1,1,Winter,2,36.0
Big Sur,CA,monterey,2012-01-01,36.3,-121.8,2012,1,1,Winter,4,59.0
Kenner,LA,jefferson,2012-01-01,30.0,-90.3,2012,1,1,Winter,3,53.0
Southport,NC,brunswick,2012-01-01,34.1,-78.0,2012,1,1,Winter,9,
Richmond,TX,fort bend,2012-01-01,29.6,-95.7,2012,1,1,Winter,6,
Texas City,TX,galveston,2012-01-03,29.4,-94.9,2012,1,3,Winter,12,45.0
Richmond,TX,fort bend,2012-01-03,29.6,-95.7,2012,1,3,Winter,6,
Galveston,TX,galveston,2012-01-03,29.3,-94.8,2012,1,3,Winter,35,45.0
Katy,TX,fort bend,2012-01-03,29.8,-95.7,2012,1,3,Winter,2,
Katy,TX,harris,2012-01-03,29.8,-95.7,2012,1,3,Winter,2,66.0
houston,TX,harris,2012-01-04,29.8,-95.4,2012,1,4,Winter,43,62.0
houston,TX,fort bend,2012-01-04,29.8,-95.4,2012,1,4,Winter,1,
Ventura,CA,ventura,2012-01-04,34.3,-119.3,2012,1,4,Winter,12000,41.0
Chandler,AZ,maricopa,2012-01-04,33.3,-111.9,2012,1,4,Winter,2,71.0
Houston,TX,harris,2012-01-05,29.7,-95.6,2012,1,5,Winter,86,62.0
Eastpoint,FL,franklin,2012-01-05,29.9,-84.9,2012,1,5,Winter,96,
Houston,TX,fort bend,2012-01-05,29.7,-95.6,2012,1,5,Winter,2,
Theodore,AL,mobile,2012-01-06,30.5,-88.2,2012,1,6,Winter,20,
malibu,CA,los angeles,2012-01-06,34.1,-118.8,2012,1,6,Winter,1,86.0
