Town,State/Province,County,Count,Latitude,Longitude,FIPS
abilene,TX,taylor,140,32.5,-99.7,48441.0
accord,NY,ulster,5,41.8,-74.2,36111.0
acworth,GA,cherokee,6,34.0,-84.7,13057.0
acworth,GA,cobb,12,34.0,-84.7,13067.0
adel,GA,cook,1,31.1,-83.4,13075.0
akron,MI,tuscola,11,43.6,-83.5,26157.0
albuquerque,NM,bernalillo,45,35.1,-106.6,35001.0
alburgh,VT,grand isle,6,45.0,-73.3,50013.0
alexander city,AL,tallapoosa,20,32.9,-86.0,1123.0
alexandria,VA,alexandria city,33,38.8,-77.1,51510.0
alexandria,VA,fairfax,30,38.8,-77.1,51059.0
algoma,WI,kewaunee,10,44.6,-87.5,55061.0
allen,TX,collin,9,33.1,-96.6,48085.0
allentown,PA,lehigh,6,40.6,-75.5,42077.0
alton,IL,madison,8,38.9,-90.2,17119.0
altoona,IA,polk,9,41.6,-93.7,19153.0
alva,OK,woods,6,36.8,-98.8,40151.0
alvarado,TX,johnson,2,32.4,-97.2,48251.0
amarillo,TX,potter,8,35.2,-101.8,48375.0
amarillo,TX,randall,4,35.2,-101.8,48381.0
ambler,PA,montgomery,10,40.2,-75.2,42091.0
amelia,OH,clermont,6,39.0,-84.2,39025.0
amherst,NH,hillsborough,1,42.9,-71.6,33011.0
anderson,CA,shasta,2,40.5,-122.3,6089.0
ann arbor,MI,washtenaw,11,42.3,-83.8,26161.0
annapolis,MD,anne arundel,30,39.0,-76.6,24003.0
apex,NC,wake,2,35.7,-78.9,37183.0
apopka,FL,orange,4,28.7,-81.5,12095.0
arbuckle,CA,colusa,2,39.0,-122.0,6011.0
ardmore,PA,montgomery,1,40.0,-75.3,42091.0
arlington,MA,middlesex,84,42.4,-71.2,25017.0
arlington,TX,tarrant,48,32.6,-97.2,48439.0
arlington,VA,arlington,17,38.9,-77.1,51013.0
armada,MI,macomb,2,42.8,-82.9,26099.0
asheboro,NC,randolph,1,35.6,-79.8,37151.0
asheville,NC,buncombe,18,35.6,-82.6,37021.0
astoria,NY,queens,16,40.8,-73.9,36081.0
atco,NJ,camden,3,39.8,-74.9,34007.0
athens,GA,clarke,54,34.0,-83.4,13059.0
atlanta,GA,cobb,72,33.8,-84.4,13067.0
atlanta,GA,dekalb,153,33.8,-84.4,13089.0
atlanta,GA,fulton,261,33.8,-84.4,13121.0
atlantic beach,FL,duval,15,30.4,-81.4,12031.0
attleboro,MA,bristol,9,41.9,-71.3,25005.0
auburn,MI,bay,3,43.6,-84.1,26017.0
auburndale,FL,polk,1,28.1,-81.8,12105.0
augusta,KY,bracken,12,38.7,-84.0,21023.0
aurora,CO,adams,5,39.7,-104.9,8001.0
aurora,CO,arapahoe,4,39.7,-104.9,8005.0
aurora,IL,dupage,9,41.8,-88.2,17043.0
aurora,IL,kane,12,41.8,-88.2,17089.0
aurora,IL,will,3,41.8,-88.2,17197.0
austin,TX,hays,131,30.2,-97.7,48209.0
austin,TX,travis,5633,30.2,-97.7,48453.0
austin,TX,williamson,393,30.2,-97.7,48491.0
avinger,TX,cass,2,32.9,-94.6,48067.0
avon,IN,hendricks,5,39.8,-86.4,18063.0
baltimore,MD,anne arundel,82,39.3,-76.6,24003.0
baltimore,MD,baltimore,123,39.3,-76.6,24005.0
baltimore,MD,baltimore city,1558,39.3,-76.6,24510.0
barnegat light,NJ,ocean,135,39.8,-74.1,34029.0
bartlesville,OK,washington,88,36.7,-96.1,40147.0
bastrop,LA,morehouse,8,32.9,-91.9,
bastrop,TX,bastrop,4,30.2,-97.3,48021.0
baton rouge,LA,east. baton rouge,1819,30.4,-91.2,
bay city,MI,bay,1,43.6,-84.0,26017.0
bay city,TX,matagorda,50,29.0,-95.9,48321.0
bay village,OH,cuyahoga,154,41.5,-81.9,39035.0
bayside,NY,queens,10,40.8,-73.8,36081.0
bayville,NJ,ocean,453,39.9,-74.2,34029.0
beach haven,NJ,ocean,364,39.6,-74.2,34029.0
bearsville,NY,ulster,38,42.0,-74.2,36111.0
beaufort,NC,carteret,2,34.9,-76.6,37031.0
beaver falls,PA,beaver,4,40.8,-80.4,42007.0
bedford,VA,bedford,7,37.3,-79.5,51019.0
bel air,MD,harford,1,39.5,-76.4,24025.0
bella vista,AR,benton,4,36.5,-94.2,5007.0
bemidji,MN,beltrami,20,47.5,-94.7,27007.0
bensalem,PA,bucks,65,40.1,-74.9,42017.0
benson,NC,johnston,1,35.4,-78.5,37101.0
benton,AR,saline,8,34.6,-92.7,5125.0
benton city,WA,benton,8,46.3,-119.5,53005.0
bentonville,AR,benton,4,36.3,-94.3,5007.0
bergheim,TX,kendall,11,29.8,-98.6,48259.0
berlin,MA,worcester,12,42.4,-71.6,25027.0
berryville,VA,clarke,6,39.2,-78.0,51043.0
bethel,OH,clermont,20,38.9,-84.1,39025.0
bethlehem,NH,grafton,1,44.3,-71.7,33009.0
beverly,MA,essex,10,42.6,-70.9,25009.0
big bend national park,TX,brewster,18,29.3,-103.3,48043.0
big pine,CA,inyo,21,37.2,-118.0,6027.0
big rock,IL,kane,3,41.8,-88.5,17089.0
big sur,CA,monterey,8,36.3,-121.8,6053.0
billingsley,AL,autauga,2,32.6,-86.7,1001.0
birmingham,AL,jefferson,208,33.5,-86.8,1073.0
birmingham,AL,shelby,28,33.5,-86.8,1117.0
bishop,CA,inyo,135,37.5,-118.4,6027.0
black canyon city,AZ,yavapai,3,34.1,-111.9,4025.0
black mountain,NC,buncombe,16,35.6,-82.3,37021.0
black river falls,WI,jackson,3,44.3,-90.8,55053.0
blanchard,OK,mcclain,14,35.1,-97.6,40087.0
block island,RI,washington,2,41.2,-71.6,44009.0
bloomfield,NJ,essex,28,40.8,-74.2,34013.0
blooming grove,NY,orange,6,41.4,-74.2,36071.0
