City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
San Antonio,TX,bexar,2022-01-01,29.5,-98.6,2022,1,1,Winter,192,93.0,71.00694433333332
Jacksonville,FL,saintjohns,2022-01-01,30.2,-81.6,2022,1,1,Winter,12,,
The Villages,FL,sumter,2022-01-01,28.9,-82.0,2022,1,1,Winter,4,,
Helotes,TX,bexar,2022-01-01,29.6,-98.7,2022,1,1,Winter,6,93.0,71.00694433333332
Cypress,TX,harris,2022-01-01,30.0,-95.7,2022,1,1,Winter,3,64.0,76.57624815789474
Rockport,TX,aransas,2022-01-01,28.0,-97.0,2022,1,1,Winter,4,,
Rockport,TX,aransas,2022-01-01,28.0,-97.1,2022,1,1,Winter,8,,
San Antonio,TX,bexar,2022-01-01,29.6,-98.5,2022,1,1,Winter,32,93.0,71.00694433333332
San Antonio,TX,bexar,2022-01-01,29.7,-98.4,2022,1,1,Winter,160,93.0,71.00694433333332
Jacksonville,FL,duval,2022-01-01,30.3,-81.7,2022,1,1,Winter,22,62.0,73.133333
Jacksonville,FL,duval,2022-01-01,30.2,-81.6,2022,1,1,Winter,66,62.0,73.133333
Jacksonville,FL,saintjohns,2022-01-01,30.3,-81.7,2022,1,1,Winter,4,,
Miramar Beach,FL,walton,2022-01-01,30.4,-86.3,2022,1,1,Winter,6,,
Orlando,FL,orange,2022-01-01,28.6,-81.4,2022,1,1,Winter,23,26.0,
Orlando,FL,orange,2022-01-01,28.5,-81.2,2022,1,1,Winter,46,26.0,
New Iberia,LA,iberia,2022-01-01,30.0,-91.8,2022,1,1,Winter,3,,
Gulf Breeze,FL,santarosa,2022-01-01,30.4,-87.2,2022,1,1,Winter,3,52.0,
Houston,TX,fortbend,2022-01-01,29.7,-95.5,2022,1,1,Winter,1,,
Houston,TX,fortbend,2022-01-01,29.8,-95.5,2022,1,1,Winter,1,,
Houston,TX,fortbend,2022-01-01,30.0,-95.6,2022,1,1,Winter,1,,
Avon Park,FL,highlands,2022-01-01,27.5,-81.4,2022,1,1,Winter,1,27.0,
Albany,GA,dougherty,2022-01-01,31.5,-84.4,2022,1,1,Winter,120,38.0,73.958333
Callahan,FL,nassau,2022-01-01,30.6,-81.9,2022,1,1,Winter,2,,
Bridge City,TX,orange,2022-01-01,30.0,-93.8,2022,1,1,Winter,1,62.0,74.854167
Callahan,FL,nassau,2022-01-01,30.6,-81.8,2022,1,1,Winter,1,,
Jacksonville,FL,saintjohns,2022-01-01,30.3,-81.6,2022,1,1,Winter,4,,
League City,TX,galveston,2022-01-01,29.5,-95.0,2022,1,1,Winter,4,70.0,72.791667
Dallas,TX,dallas,2022-01-01,32.7,-96.8,2022,1,1,Winter,46,34.0,53.2916666
Dallas,TX,dallas,2022-01-01,32.8,-96.7,2022,1,1,Winter,23,34.0,53.2916666
Lafayette,LA,lafayette,2022-01-01,30.2,-92.0,2022,1,1,Winter,12,40.0,
Pasadena,TX,harris,2022-01-01,29.7,-95.2,2022,1,1,Winter,20,64.0,76.57624815789474
Lafayette,LA,lafayette,2022-01-01,30.2,-92.1,2022,1,1,Winter,9,40.0,
Spring,TX,montgomery,2022-01-01,30.1,-95.5,2022,1,1,Winter,18,59.0,74.625
Bay Minette,AL,baldwin,2022-01-01,30.9,-87.8,2022,1,1,Winter,6,,
Micanopy,FL,alachua,2022-01-01,29.6,-82.3,2022,1,1,Winter,1,32.0,71.125
Middleburg,FL,clay,2022-01-01,30.1,-81.9,2022,1,1,Winter,1,,
Spring,TX,harris,2022-01-01,30.1,-95.5,2022,1,1,Winter,12,64.0,76.57624815789474
Angleton,TX,brazoria,2022-01-01,29.3,-95.7,2022,1,1,Winter,7,24.0,74.895833
Dallas,TX,collin,2022-01-01,32.8,-96.7,2022,1,1,Winter,2,22.0,49.979167
San Antonio,TX,bexar,2022-01-01,29.5,-98.5,2022,1,1,Winter,64,93.0,71.00694433333332
Katy,TX,harris,2022-01-01,29.8,-95.7,2022,1,1,Winter,8,64.0,76.57624815789474
Katy,TX,harris,2022-01-01,29.8,-95.8,2022,1,1,Winter,2,64.0,76.57624815789474
Melbourne,FL,brevard,2022-01-01,28.1,-80.6,2022,1,1,Winter,11,51.0,74.458333
Bush,LA,sainttammany,2022-01-01,30.6,-90.0,2022,1,1,Winter,1,,
Katy,TX,fortbend,2022-01-01,29.8,-95.7,2022,1,1,Winter,8,,
Katy,TX,fortbend,2022-01-01,29.8,-95.8,2022,1,1,Winter,2,,
Pensacola,FL,escambia,2022-01-01,30.5,-87.2,2022,1,1,Winter,9,50.0,73.958333
Jensen Beach,FL,martin,2022-01-01,27.2,-80.2,2022,1,1,Winter,3,59.0,
Slidell,LA,sainttammany,2022-01-01,30.3,-89.8,2022,1,1,Winter,2,,
Dallas,TX,collin,2022-01-01,32.7,-96.8,2022,1,1,Winter,4,22.0,49.979167
Tampa,FL,hillsborough,2022-01-01,28.0,-82.6,2022,1,1,Winter,56,61.0,72.60416649999999
Jacksonville,FL,duval,2022-01-01,30.3,-81.6,2022,1,1,Winter,22,62.0,73.133333
Wellington,FL,palmbeach,2022-01-01,26.7,-80.3,2022,1,1,Winter,14,89.0,74.8645835
San Antonio,TX,comal,2022-01-01,29.5,-98.5,2022,1,1,Winter,6,,
San Antonio,TX,comal,2022-01-01,29.5,-98.6,2022,1,1,Winter,18,,
San Antonio,TX,comal,2022-01-01,29.6,-98.5,2022,1,1,Winter,3,,
Dickinson,TX,galveston,2022-01-01,29.5,-95.1,2022,1,1,Winter,4,70.0,72.791667
Fort Worth,TX,tarrant,2022-01-01,32.8,-97.2,2022,1,1,Winter,105,58.0,50.5416665
San Antonio,TX,comal,2022-01-01,29.7,-98.4,2022,1,1,Winter,15,,
Natchez,MS,adams,2022-01-01,31.6,-91.4,2022,1,1,Winter,2,,
El Segundo,CA,losangeles,2022-01-01,33.9,-118.4,2022,1,1,Winter,6,106.0,50.64679492307692
Bellaire,TX,harris,2022-01-01,29.7,-95.5,2022,1,1,Winter,2,64.0,76.57624815789474
Plano,TX,collin,2022-01-01,33.0,-96.7,2022,1,1,Winter,6,22.0,49.979167
Naples,FL,collier,2022-01-01,26.1,-81.8,2022,1,1,Winter,24,56.0,
Dripping Springs,TX,hays,2022-01-01,30.3,-98.1,2022,1,1,Winter,80,,
Orlando,FL,brevard,2022-01-01,28.5,-81.2,2022,1,1,Winter,6,51.0,74.458333
Orange Park,FL,clay,2022-01-01,30.1,-81.8,2022,1,1,Winter,2,,
Houston,TX,harris,2022-01-01,29.8,-95.5,2022,1,1,Winter,43,64.0,76.57624815789474
Houston,TX,harris,2022-01-01,29.7,-95.5,2022,1,1,Winter,43,64.0,76.57624815789474
Orlando,FL,brevard,2022-01-01,28.6,-81.4,2022,1,1,Winter,3,51.0,74.458333
Valrico,FL,hillsborough,2022-01-01,27.9,-82.3,2022,1,1,Winter,2,61.0,72.60416649999999
Brownsville,TX,cameron,2022-01-01,26.0,-97.5,2022,1,1,Winter,48,77.0,78.70833333333333
Houston,TX,harris,2022-01-01,30.0,-95.6,2022,1,1,Winter,43,64.0,76.57624815789474
Savannah,GA,chatham,2022-01-01,32.0,-81.1,2022,1,1,Winter,20,38.0,72.03958349999999
Converse,TX,bexar,2022-01-01,29.5,-98.3,2022,1,1,Winter,1,93.0,71.00694433333332
Sapelo Island,GA,mcintosh,2022-01-01,31.4,-81.3,2022,1,1,Winter,6,,
Magnolia,TX,montgomery,2022-01-01,30.2,-95.8,2022,1,1,Winter,5,59.0,74.625
Charleston,SC,charleston,2022-01-02,32.8,-80.0,2022,1,2,Winter,11,51.0,69.3375
Wellington,FL,palmbeach,2022-01-02,26.7,-80.2,2022,1,2,Winter,7,35.0,76.04583299999999
Charleston,SC,berkeley,2022-01-02,32.9,-79.8,2022,1,2,Winter,4,,
Bradenton,FL,manatee,2022-01-02,27.4,-82.5,2022,1,2,Winter,16,26.0,
Jacksonville,FL,saintjohns,2022-01-02,30.3,-81.7,2022,1,2,Winter,4,,
San Antonio,TX,comal,2022-01-02,29.5,-98.5,2022,1,2,Winter,3,,
Austin,TX,hays,2022-01-02,30.3,-97.7,2022,1,2,Winter,1,,
Johns Island,SC,charleston,2022-01-02,32.7,-80.1,2022,1,2,Winter,4,51.0,69.3375
Dunedin,FL,pinellas,2022-01-02,28.0,-82.8,2022,1,2,Winter,1,49.0,75.125
Charleston,SC,berkeley,2022-01-02,32.8,-80.0,2022,1,2,Winter,4,,
Charleston,SC,charleston,2022-01-02,32.9,-79.8,2022,1,2,Winter,11,51.0,69.3375
Melbourne,FL,brevard,2022-01-02,28.1,-80.6,2022,1,2,Winter,11,45.0,74.583333
Ponte Vedra Beach,FL,saintjohns,2022-01-02,30.2,-81.4,2022,1,2,Winter,3,,
Naples,FL,collier,2022-01-02,26.1,-81.8,2022,1,2,Winter,4,32.0,
Austin,TX,williamson,2022-01-02,30.3,-97.7,2022,1,2,Winter,3,,
Luling,LA,saintcharles,2022-01-02,29.8,-90.3,2022,1,2,Winter,1,,
Fernandina Beach,FL,nassau,2022-01-02,30.6,-81.4,2022,1,2,Winter,6,,
Beaufort,SC,beaufort,2022-01-02,32.4,-80.7,2022,1,2,Winter,15,,
Hitchcock,TX,galveston,2022-01-02,29.3,-94.9,2022,1,2,Winter,4,33.0,45.833333
Austin,TX,travis,2022-01-02,30.3,-97.7,2022,1,2,Winter,43,35.0,34.58333325
Panama City Beach,FL,bay,2022-01-02,30.2,-85.9,2022,1,2,Winter,10,57.0,
Merritt Island,FL,brevard,2022-01-02,28.4,-80.7,2022,1,2,Winter,6,45.0,74.583333
Pensacola,FL,escambia,2022-01-02,30.5,-87.2,2022,1,2,Winter,18,39.0,66.458333
Hastings,FL,saintjohns,2022-01-02,29.7,-81.5,2022,1,2,Winter,2,,
San Juan,TX,hidalgo,2022-01-02,26.2,-98.1,2022,1,2,Winter,2,49.0,55.5
Tallahassee,FL,leon,2022-01-02,30.4,-84.1,2022,1,2,Winter,12,51.0,
Homestead,FL,miami-dade,2022-01-02,25.5,-80.5,2022,1,2,Winter,36,36.0,72.97708349999999
Palmetto,FL,manatee,2022-01-02,27.5,-82.6,2022,1,2,Winter,2,26.0,
Groveland,FL,lake,2022-01-02,28.6,-81.9,2022,1,2,Winter,1,24.0,
San Antonio,TX,bexar,2022-01-02,29.5,-98.5,2022,1,2,Winter,32,36.0,38.16666683333333
Wellington,FL,palmbeach,2022-01-02,26.7,-80.3,2022,1,2,Winter,14,35.0,76.04583299999999
Jacksonville,FL,duval,2022-01-02,30.3,-81.7,2022,1,2,Winter,22,47.0,74.970833
Charleston,SC,charleston,2022-01-03,32.8,-80.1,2022,1,3,Winter,11,31.0,56.120833
Ponte Vedra Beach,FL,saintjohns,2022-01-03,30.2,-81.4,2022,1,3,Winter,3,,
Corpus Christi,TX,nueces,2022-01-03,27.8,-97.4,2022,1,3,Winter,5,36.0,44.69791675
San Antonio,TX,bexar,2022-01-03,29.5,-98.6,2022,1,3,Winter,32,40.0,40.34027783333333
Springfield,LA,livingston,2022-01-03,30.4,-90.6,2022,1,3,Winter,3,34.0,
Melbourne,FL,brevard,2022-01-03,28.1,-80.6,2022,1,3,Winter,11,40.0,66.541667
Middleburg,FL,clay,2022-01-03,30.1,-81.8,2022,1,3,Winter,2,,
New Iberia,LA,iberia,2022-01-03,30.0,-91.8,2022,1,3,Winter,2,,
San Antonio,TX,comal,2022-01-03,29.5,-98.6,2022,1,3,Winter,3,,
Clearwater,FL,pinellas,2022-01-03,28.0,-82.8,2022,1,3,Winter,3,41.0,61.541667
Wellington,FL,palmbeach,2022-01-03,26.7,-80.3,2022,1,3,Winter,14,59.0,68.7125
Charleston,SC,berkeley,2022-01-03,32.8,-80.1,2022,1,3,Winter,4,,
Temple,TX,bell,2022-01-03,31.1,-97.3,2022,1,3,Winter,16,33.0,39.083333
Fairhope,AL,baldwin,2022-01-04,30.6,-87.9,2022,1,4,Winter,4,,
Leesburg,FL,lake,2022-01-04,28.8,-81.9,2022,1,4,Winter,2,39.0,
Houston,TX,fortbend,2022-01-04,29.8,-95.4,2022,1,4,Winter,1,,
Houston,TX,harris,2022-01-04,29.8,-95.4,2022,1,4,Winter,43,65.0,52.06791310526316
Ponte Vedra Beach,FL,saintjohns,2022-01-04,30.2,-81.4,2022,1,4,Winter,9,,
