City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
San Antonio,TX,BEXAR,2022-01-01,29.5,-98.6,2022,1,1,Winter,192
Jacksonville,FL,SAINT JOHNS,2022-01-01,30.2,-81.6,2022,1,1,Winter,12
The Villages,FL,SUMTER,2022-01-01,28.9,-82.0,2022,1,1,Winter,4
Helotes,TX,BEXAR,2022-01-01,29.6,-98.7,2022,1,1,Winter,6
Cypress,TX,HARRIS,2022-01-01,30.0,-95.7,2022,1,1,Winter,3
Rockport,TX,ARANSAS,2022-01-01,28.0,-97.0,2022,1,1,Winter,4
Rockport,TX,ARANSAS,2022-01-01,28.0,-97.1,2022,1,1,Winter,8
San Antonio,TX,BEXAR,2022-01-01,29.6,-98.5,2022,1,1,Winter,32
San Antonio,TX,BEXAR,2022-01-01,29.7,-98.4,2022,1,1,Winter,160
Jacksonville,FL,DUVAL,2022-01-01,30.3,-81.7,2022,1,1,Winter,22
Jacksonville,FL,DUVAL,2022-01-01,30.2,-81.6,2022,1,1,Winter,66
Jacksonville,FL,SAINT JOHNS,2022-01-01,30.3,-81.7,2022,1,1,Winter,4
Miramar Beach,FL,WALTON,2022-01-01,30.4,-86.3,2022,1,1,Winter,6
Orlando,FL,ORANGE,2022-01-01,28.6,-81.4,2022,1,1,Winter,23
Orlando,FL,ORANGE,2022-01-01,28.5,-81.2,2022,1,1,Winter,46
New Iberia,LA,IBERIA,2022-01-01,30.0,-91.8,2022,1,1,Winter,3
Gulf Breeze,FL,SANTA ROSA,2022-01-01,30.4,-87.2,2022,1,1,Winter,3
Houston,TX,FORT BEND,2022-01-01,29.7,-95.5,2022,1,1,Winter,1
Houston,TX,FORT BEND,2022-01-01,29.8,-95.5,2022,1,1,Winter,1
Houston,TX,FORT BEND,2022-01-01,30.0,-95.6,2022,1,1,Winter,1
Avon Park,FL,HIGHLANDS,2022-01-01,27.5,-81.4,2022,1,1,Winter,1
Albany,GA,DOUGHERTY,2022-01-01,31.5,-84.4,2022,1,1,Winter,120
Callahan,FL,NASSAU,2022-01-01,30.6,-81.9,2022,1,1,Winter,2
Bridge City,TX,ORANGE,2022-01-01,30.0,-93.8,2022,1,1,Winter,1
Callahan,FL,NASSAU,2022-01-01,30.6,-81.8,2022,1,1,Winter,1
Jacksonville,FL,SAINT JOHNS,2022-01-01,30.3,-81.6,2022,1,1,Winter,4
League City,TX,GALVESTON,2022-01-01,29.5,-95.0,2022,1,1,Winter,4
Dallas,TX,DALLAS,2022-01-01,32.7,-96.8,2022,1,1,Winter,46
Dallas,TX,DALLAS,2022-01-01,32.8,-96.7,2022,1,1,Winter,23
Lafayette,LA,LAFAYETTE,2022-01-01,30.2,-92.0,2022,1,1,Winter,12
Pasadena,TX,HARRIS,2022-01-01,29.7,-95.2,2022,1,1,Winter,20
Lafayette,LA,LAFAYETTE,2022-01-01,30.2,-92.1,2022,1,1,Winter,9
Spring,TX,MONTGOMERY,2022-01-01,30.1,-95.5,2022,1,1,Winter,18
Bay Minette,AL,BALDWIN,2022-01-01,30.9,-87.8,2022,1,1,Winter,6
Micanopy,FL,ALACHUA,2022-01-01,29.6,-82.3,2022,1,1,Winter,1
Middleburg,FL,CLAY,2022-01-01,30.1,-81.9,2022,1,1,Winter,1
Spring,TX,HARRIS,2022-01-01,30.1,-95.5,2022,1,1,Winter,12
Angleton,TX,BRAZORIA,2022-01-01,29.3,-95.7,2022,1,1,Winter,7
Dallas,TX,COLLIN,2022-01-01,32.8,-96.7,2022,1,1,Winter,2
San Antonio,TX,BEXAR,2022-01-01,29.5,-98.5,2022,1,1,Winter,64
Katy,TX,HARRIS,2022-01-01,29.8,-95.7,2022,1,1,Winter,8
Katy,TX,HARRIS,2022-01-01,29.8,-95.8,2022,1,1,Winter,2
Melbourne,FL,BREVARD,2022-01-01,28.1,-80.6,2022,1,1,Winter,11
Bush,LA,SAINT TAMMANY,2022-01-01,30.6,-90.0,2022,1,1,Winter,1
Katy,TX,FORT BEND,2022-01-01,29.8,-95.7,2022,1,1,Winter,8
Katy,TX,FORT BEND,2022-01-01,29.8,-95.8,2022,1,1,Winter,2
Pensacola,FL,ESCAMBIA,2022-01-01,30.5,-87.2,2022,1,1,Winter,9
Jensen Beach,FL,MARTIN,2022-01-01,27.2,-80.2,2022,1,1,Winter,3
Slidell,LA,SAINT TAMMANY,2022-01-01,30.3,-89.8,2022,1,1,Winter,2
Dallas,TX,COLLIN,2022-01-01,32.7,-96.8,2022,1,1,Winter,4
Tampa,FL,HILLSBOROUGH,2022-01-01,28.0,-82.6,2022,1,1,Winter,56
Jacksonville,FL,DUVAL,2022-01-01,30.3,-81.6,2022,1,1,Winter,22
Wellington,FL,PALM BEACH,2022-01-01,26.7,-80.3,2022,1,1,Winter,14
San Antonio,TX,COMAL,2022-01-01,29.5,-98.5,2022,1,1,Winter,6
San Antonio,TX,COMAL,2022-01-01,29.5,-98.6,2022,1,1,Winter,18
San Antonio,TX,COMAL,2022-01-01,29.6,-98.5,2022,1,1,Winter,3
Dickinson,TX,GALVESTON,2022-01-01,29.5,-95.1,2022,1,1,Winter,4
Fort Worth,TX,TARRANT,2022-01-01,32.8,-97.2,2022,1,1,Winter,105
San Antonio,TX,COMAL,2022-01-01,29.7,-98.4,2022,1,1,Winter,15
Natchez,MS,ADAMS,2022-01-01,31.6,-91.4,2022,1,1,Winter,2
El Segundo,CA,LOS ANGELES,2022-01-01,33.9,-118.4,2022,1,1,Winter,6
Bellaire,TX,HARRIS,2022-01-01,29.7,-95.5,2022,1,1,Winter,2
Plano,TX,COLLIN,2022-01-01,33.0,-96.7,2022,1,1,Winter,6
Naples,FL,COLLIER,2022-01-01,26.1,-81.8,2022,1,1,Winter,24
Dripping Springs,TX,HAYS,2022-01-01,30.3,-98.1,2022,1,1,Winter,80
Orlando,FL,BREVARD,2022-01-01,28.5,-81.2,2022,1,1,Winter,6
Orange Park,FL,CLAY,2022-01-01,30.1,-81.8,2022,1,1,Winter,2
Houston,TX,HARRIS,2022-01-01,29.8,-95.5,2022,1,1,Winter,43
Houston,TX,HARRIS,2022-01-01,29.7,-95.5,2022,1,1,Winter,43
Orlando,FL,BREVARD,2022-01-01,28.6,-81.4,2022,1,1,Winter,3
Valrico,FL,HILLSBOROUGH,2022-01-01,27.9,-82.3,2022,1,1,Winter,2
Brownsville,TX,CAMERON,2022-01-01,26.0,-97.5,2022,1,1,Winter,48
Houston,TX,HARRIS,2022-01-01,30.0,-95.6,2022,1,1,Winter,43
Savannah,GA,CHATHAM,2022-01-01,32.0,-81.1,2022,1,1,Winter,20
Converse,TX,BEXAR,2022-01-01,29.5,-98.3,2022,1,1,Winter,1
