City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
San Antonio,TX,bexar,2022-01-01,29.5,-98.6,2022,1,1,Winter,192,93.0
Jacksonville,FL,saint johns,2022-01-01,30.2,-81.6,2022,1,1,Winter,12,
The Villages,FL,sumter,2022-01-01,28.9,-82.0,2022,1,1,Winter,4,
Helotes,TX,bexar,2022-01-01,29.6,-98.7,2022,1,1,Winter,6,93.0
Cypress,TX,harris,2022-01-01,30.0,-95.7,2022,1,1,Winter,3,64.0
Rockport,TX,aransas,2022-01-01,28.0,-97.0,2022,1,1,Winter,4,
Rockport,TX,aransas,2022-01-01,28.0,-97.1,2022,1,1,Winter,8,
San Antonio,TX,bexar,2022-01-01,29.6,-98.5,2022,1,1,Winter,32,93.0
San Antonio,TX,bexar,2022-01-01,29.7,-98.4,2022,1,1,Winter,160,93.0
Jacksonville,FL,duval,2022-01-01,30.3,-81.7,2022,1,1,Winter,22,62.0
Jacksonville,FL,duval,2022-01-01,30.2,-81.6,2022,1,1,Winter,66,62.0
Jacksonville,FL,saint johns,2022-01-01,30.3,-81.7,2022,1,1,Winter,4,
Miramar Beach,FL,walton,2022-01-01,30.4,-86.3,2022,1,1,Winter,6,
Orlando,FL,orange,2022-01-01,28.6,-81.4,2022,1,1,Winter,23,26.0
Orlando,FL,orange,2022-01-01,28.5,-81.2,2022,1,1,Winter,46,26.0
New Iberia,LA,iberia,2022-01-01,30.0,-91.8,2022,1,1,Winter,3,
Gulf Breeze,FL,santa rosa,2022-01-01,30.4,-87.2,2022,1,1,Winter,3,52.0
Houston,TX,fort bend,2022-01-01,29.7,-95.5,2022,1,1,Winter,1,
Houston,TX,fort bend,2022-01-01,29.8,-95.5,2022,1,1,Winter,1,
Houston,TX,fort bend,2022-01-01,30.0,-95.6,2022,1,1,Winter,1,
Avon Park,FL,highlands,2022-01-01,27.5,-81.4,2022,1,1,Winter,1,27.0
Albany,GA,dougherty,2022-01-01,31.5,-84.4,2022,1,1,Winter,120,38.0
Callahan,FL,nassau,2022-01-01,30.6,-81.9,2022,1,1,Winter,2,
Bridge City,TX,orange,2022-01-01,30.0,-93.8,2022,1,1,Winter,1,62.0
Callahan,FL,nassau,2022-01-01,30.6,-81.8,2022,1,1,Winter,1,
Jacksonville,FL,saint johns,2022-01-01,30.3,-81.6,2022,1,1,Winter,4,
