Town,State/Province,County,Count,Latitude,Longitude,FIPS,Count_Normalized
abbeville,SC,abbeville,1,34.2,-82.4,45001.0,0.0
aberdeen proving ground,MD,harford,2,39.5,-76.1,24025.0,6.303580433686334e-05
abilene,TX,taylor,266,32.6,-99.7,48441.0,0.016704488149268785
abingdon,VA,washington,14,36.7,-82.0,51191.0,0.0008194654563792234
abington,PA,montgomery,15,40.1,-75.1,42091.0,0.0008825012607160867
acworth,GA,cherokee,2,34.0,-84.7,13057.0,6.303580433686334e-05
acworth,GA,cobb,4,34.0,-84.7,13067.0,0.00018910741301059002
ada,MI,kent,8,43.0,-85.5,26081.0,0.00044125063035804334
adairsville,GA,bartow,1,34.4,-84.9,13015.0,0.0
adams,MA,berkshire,1,42.6,-73.1,25003.0,0.0
adams,MN,mower,20,43.6,-92.7,27099.0,0.0011976802824004034
adams,NY,jefferson,6,43.8,-76.0,36045.0,0.0003151790216843167
afton,NY,chenango,8,42.2,-75.5,36017.0,0.00044125063035804334
afton,OK,ottawa,6,36.6,-94.9,40115.0,0.0003151790216843167
afton,VA,nelson,7,38.0,-78.8,51125.0,0.00037821482602118004
aiken,SC,aiken,15,33.5,-81.7,45003.0,0.0008825012607160867
akeley,MN,hubbard,12,47.0,-94.7,27057.0,0.0006933938477054968
akron,CO,washington,2,39.9,-103.3,8121.0,6.303580433686334e-05
akron,OH,summit,126,41.2,-81.6,39153.0,0.007879475542107918
alabaster,AL,shelby,6,33.2,-86.8,1117.0,0.0003151790216843167
alachua,FL,alachua,2,29.7,-82.5,12001.0,6.303580433686334e-05
alameda,CA,alameda,4,37.8,-122.3,6001.0,0.00018910741301059002
alamogordo,NM,otero,4,32.9,-106.0,35035.0,0.00018910741301059002
albany,CA,alameda,3,37.9,-122.3,6001.0,0.0001260716086737267
albany,GA,dougherty,1720,31.5,-84.4,13095.0,0.10835854765506808
albany,NY,albany,276,42.7,-73.8,36001.0,0.017334846192637417
albany,VT,orleans,3,44.7,-72.3,50019.0,0.0001260716086737267
albany,WI,green,3,42.7,-89.5,55045.0,0.0001260716086737267
albertson,NY,nassau,2,40.8,-73.6,36059.0,6.303580433686334e-05
albion,IN,noble,36,41.3,-85.4,18113.0,0.0022062531517902167
albuquerque,NM,bernalillo,135,35.1,-106.6,35001.0,0.008446797781139687
alcoa,TN,blount,1,35.8,-84.0,47009.0,0.0
alden,MI,antrim,3,44.9,-85.3,26009.0,0.0001260716086737267
alexander,NC,buncombe,16,35.7,-82.6,37021.0,0.0009455370650529501
alexandria,MO,clark,2,40.4,-91.5,29045.0,6.303580433686334e-05
alexandria,VA,alexandria city,341,38.8,-77.1,51510.0,0.021432173474533536
alexandria,VA,fairfax,310,38.8,-77.1,51059.0,0.01947806354009077
algoma,WI,kewaunee,12,44.7,-87.4,55061.0,0.0006933938477054968
alleman,IA,polk,10,41.8,-93.6,19153.0,0.0005673222390317701
allen,TX,collin,51,33.1,-96.7,48085.0,0.003151790216843167
allen park,MI,wayne,6,42.2,-83.2,26163.0,0.0003151790216843167
allenton,MI,st. clair,20,42.9,-82.9,26147.0,0.0011976802824004034
alma,MI,gratiot,1,43.4,-84.7,26057.0,0.0
alma,WI,buffalo,8,44.3,-91.9,55011.0,0.00044125063035804334
alma center,WI,jackson,2,44.4,-90.9,55053.0,6.303580433686334e-05
almond,NC,swain,6,35.4,-83.5,37173.0,0.0003151790216843167
almond,WI,portage,1,44.3,-89.3,55097.0,0.0
alpena,MI,alpena,1,45.2,-83.5,26007.0,0.0
alpha,IL,henry,1,41.2,-90.4,17073.0,0.0
alpharetta,GA,fulton,3,34.1,-84.3,13121.0,0.0001260716086737267
alpine,AL,talladega,1,33.5,-86.3,1121.0,0.0
alpine,UT,utah,6,40.5,-111.8,49049.0,0.0003151790216843167
alto,MI,kent,1,42.9,-85.4,26081.0,0.0
alton,IL,madison,4,38.9,-90.2,17119.0,0.00018910741301059002
altoona,PA,blair,1,40.5,-78.4,42013.0,0.0
alturas,CA,modoc,4,41.5,-120.5,6049.0,0.00018910741301059002
alvarado,TX,johnson,5,32.4,-97.2,48251.0,0.0002521432173474534
alvin,TX,brazoria,3,29.4,-95.2,48039.0,0.0001260716086737267
amarillo,TX,potter,232,35.2,-101.8,48375.0,0.014561270801815431
amarillo,TX,randall,116,35.2,-101.8,48381.0,0.007249117498739284
american fork,UT,utah,504,40.4,-111.8,49049.0,0.03170700958144226
ames,IA,story,28,42.0,-93.6,19169.0,0.00170196671709531
ames,OK,major,1,36.2,-98.2,40093.0,0.0
amherst,MA,hampshire,40,42.3,-72.5,25015.0,0.0024583963691376704
amherst,NH,hillsborough,1,42.9,-71.6,33011.0,0.0
amherst,OH,lorain,7,41.4,-82.2,39093.0,0.00037821482602118004
amherst,VA,amherst,8,37.6,-79.0,,0.00044125063035804334
amherst,WI,portage,7,44.4,-89.3,55097.0,0.00037821482602118004
amherst junction,WI,portage,3,44.5,-89.3,55097.0,0.0001260716086737267
amityville,NY,suffolk,4,40.7,-73.4,36103.0,0.00018910741301059002
anderson,MO,mcdonald,3,36.6,-94.4,29119.0,0.0001260716086737267
anderson,SC,anderson,38,34.6,-82.6,45007.0,0.0023323247604639433
andes,NY,delaware,6,42.1,-74.8,36025.0,0.0003151790216843167
andover,KS,butler,1,37.7,-97.1,20015.0,0.0
andover,MA,essex,21,42.6,-71.1,25009.0,0.0012607160867372667
andover,MN,anoka,110,45.2,-93.3,27003.0,0.006870902672718104
angel fire,NM,colfax,4,36.3,-105.1,35007.0,0.00018910741301059002
angier,NC,harnett,2,35.5,-78.7,37085.0,6.303580433686334e-05
angleton,TX,brazoria,14,29.3,-95.7,48039.0,0.0008194654563792234
angola,NY,erie,2,42.6,-79.1,36029.0,6.303580433686334e-05
anguilla,MS,sharkey,12,33.0,-90.8,28125.0,0.0006933938477054968
anmoore,WV,harrison,1,39.3,-80.3,54033.0,0.0
ann arbor,MI,washtenaw,319,42.3,-83.8,26161.0,0.020045385779122543
anna,TX,collin,14,33.4,-96.5,48085.0,0.0008194654563792234
anna maria,FL,manatee,1,27.5,-82.7,12081.0,0.0
annandale,MN,wright,1,45.2,-94.1,27171.0,0.0
annandale,VA,fairfax,3,38.8,-77.2,51059.0,0.0001260716086737267
annapolis,MD,anne arundel,110,38.9,-76.5,24003.0,0.006870902672718104
anniston,AL,calhoun,20,33.7,-85.8,1015.0,0.0011976802824004034
anson,TX,jones,14,32.7,-99.8,48253.0,0.0008194654563792234
ansonia,CT,new haven,5,41.3,-73.1,9009.0,0.0002521432173474534
antelope,OR,wasco,2,44.9,-120.5,41065.0,6.303580433686334e-05
antioch,IL,lake,45,42.5,-88.1,17097.0,0.002773575390821987
antrim,NH,hillsborough,1,43.1,-72.0,33011.0,0.0
apache junction,AZ,pinal,6,33.4,-111.5,4021.0,0.0003151790216843167
apex,NC,wake,3,35.7,-78.8,37183.0,0.0001260716086737267
apollo beach,FL,hillsborough,6,27.8,-82.4,12057.0,0.0003151790216843167
apopka,FL,orange,2,28.7,-81.5,12095.0,6.303580433686334e-05
appleton,WI,outagamie,50,44.2,-88.4,55087.0,0.0030887544125063034
appomattox,VA,appomattox,1,37.4,-78.8,51011.0,0.0
aptos,CA,santa cruz,12,37.0,-121.9,6087.0,0.0006933938477054968
arapahoe,NC,pamlico,6,35.0,-76.8,37137.0,0.0003151790216843167
arcadia,FL,desoto,24,27.2,-81.9,12027.0,0.0014498234997478569
arden,NC,buncombe,4,35.5,-82.5,37021.0,0.00018910741301059002
ardmore,OK,carter,3,34.2,-97.2,40019.0,0.0001260716086737267
ardmore,PA,montgomery,2,40.0,-75.3,42091.0,6.303580433686334e-05
ardsley,NY,westchester,3,41.0,-73.8,36119.0,0.0001260716086737267
arenas valley,NM,grant,2,32.8,-108.2,35017.0,6.303580433686334e-05
ark,VA,gloucester,2,37.5,-76.5,51073.0,6.303580433686334e-05
arkadelphia,AR,clark,84,34.1,-93.1,5019.0,0.005231971759959657
arlington,TX,tarrant,192,32.7,-97.1,48439.0,0.012039838628340897
arlington,VA,arlington,68,38.9,-77.1,51013.0,0.004223398890569843
arlington,WI,columbia,2,43.3,-89.4,55021.0,6.303580433686334e-05
arlington heights,IL,cook,4,42.1,-88.0,17031.0,0.00018910741301059002
armuchee,GA,floyd,2,34.4,-85.2,13115.0,6.303580433686334e-05
arnold,MD,anne arundel,1,39.0,-76.5,24003.0,0.0
arroyo grande,CA,san luis obispo,28,35.0,-120.6,6079.0,0.00170196671709531
arvada,CO,jefferson,22,39.8,-105.1,8059.0,0.00132375189107413
asbury park,NJ,monmouth,6,40.2,-74.0,34025.0,0.0003151790216843167
ash grove,MO,greene,1,37.3,-93.6,29077.0,0.0
ashburn,VA,loudoun,18,39.1,-77.5,51107.0,0.0010716086737266768
ashburnham,MA,worcester,2,42.6,-71.9,25027.0,6.303580433686334e-05
ashby,MN,grant,12,46.0,-95.9,27051.0,0.0006933938477054968
asheboro,NC,randolph,1,35.6,-79.8,37151.0,0.0
asheville,NC,buncombe,261,35.6,-82.6,37021.0,0.01638930912758447
ashland,KY,boyd,24,38.4,-82.6,21019.0,0.0014498234997478569
ashland,NH,grafton,20,43.7,-71.6,33009.0,0.0011976802824004034
ashland,NY,greene,1,42.0,-76.7,36039.0,0.0
ashland,OR,jackson,4,42.2,-122.5,41029.0,0.00018910741301059002
ashland,WI,ashland,10,46.6,-90.9,55003.0,0.0005673222390317701
ashtabula,OH,ashtabula,10,41.9,-80.8,39007.0,0.0005673222390317701
atascadero,CA,san luis obispo,1,35.4,-120.6,6079.0,0.0
atchison,KS,atchison,58,39.6,-95.1,20005.0,0.0035930408472012103
athens,GA,clarke,27,34.0,-83.4,13059.0,0.0016389309127584468
athens,OH,athens,5,39.3,-82.1,39009.0,0.0002521432173474534
atkinson,NH,rockingham,1,42.8,-71.1,33015.0,0.0
atlanta,GA,cobb,216,33.8,-84.3,13067.0,0.013552697932425618
atlanta,GA,dekalb,459,33.8,-84.3,13089.0,0.02887039838628341
atlanta,GA,fulton,783,33.8,-84.3,13121.0,0.04929399899142713
atlanta,MI,montmorency,1,45.0,-84.1,26119.0,0.0
atlanta,TX,cass,8,33.1,-94.2,48067.0,0.00044125063035804334
atmore,AL,escambia,8,31.2,-87.5,1053.0,0.00044125063035804334
au sable forks,NY,clinton,6,44.4,-73.7,36019.0,0.0003151790216843167
auberry,CA,fresno,2,37.1,-119.5,6019.0,6.303580433686334e-05
aubrey,TX,denton,6,33.3,-97.0,48121.0,0.0003151790216843167
auburn,IN,dekalb,3,41.4,-85.1,18033.0,0.0001260716086737267
auburn,NY,cayuga,56,42.9,-76.6,36011.0,0.0034669692385274837
auburn,WA,king,3,47.3,-122.2,53033.0,0.0001260716086737267
auburndale,FL,polk,1,28.1,-81.8,12105.0,0.0
augusta,GA,columbia,14,33.5,-82.1,13073.0,0.0008194654563792234
augusta,GA,richmond,28,33.5,-82.1,13245.0,0.00170196671709531
augusta,IL,hancock,1,40.2,-90.9,17067.0,0.0
augusta,MI,kalamazoo,2,42.3,-85.4,26077.0,6.303580433686334e-05
aurora,CO,adams,75,39.7,-104.8,8001.0,0.004664649520927887
aurora,CO,arapahoe,60,39.7,-104.8,8005.0,0.003719112455874937
aurora,IL,dupage,60,41.7,-88.3,17043.0,0.003719112455874937
aurora,IL,kane,80,41.7,-88.3,17089.0,0.004979828542612204
aurora,IL,will,20,41.7,-88.3,17197.0,0.0011976802824004034
aurora,MN,st. louis,4,47.4,-92.2,27137.0,0.00018910741301059002
austin,MN,mower,8,43.7,-93.0,27099.0,0.00044125063035804334
austin,TX,hays,90,30.3,-97.7,48209.0,0.005610186585980837
austin,TX,travis,3870,30.3,-97.7,48453.0,0.24388552697932425
austin,TX,williamson,270,30.3,-97.7,48491.0,0.016956631366616237
austwell,TX,refugio,29,28.4,-96.8,48391.0,0.0017650025214321734
averill park,NY,rensselaer,324,42.7,-73.6,36083.0,0.02036056480080686
avon,NC,dare,2,35.4,-75.5,37055.0,6.303580433686334e-05
avon lake,OH,lorain,40,41.5,-82.0,39093.0,0.0024583963691376704
avon park,FL,highlands,2,27.6,-81.5,12055.0,6.303580433686334e-05
avondale,CO,pueblo,4,37.9,-104.9,8101.0,0.00018910741301059002
avondale estates,GA,dekalb,2,33.8,-84.3,13089.0,6.303580433686334e-05
azalea,OR,douglas,3,42.8,-123.1,41019.0,0.0001260716086737267
azusa,CA,los angeles,12,34.1,-117.9,6037.0,0.0006933938477054968
babylon,NY,suffolk,232,40.6,-73.4,36103.0,0.014561270801815431
baileys harbor,WI,door,6,45.0,-87.1,55029.0,0.0003151790216843167
bainbridge,NY,chenango,20,42.3,-75.5,36017.0,0.0011976802824004034
bainbridge,OH,ross,1,39.2,-83.3,39141.0,0.0
bakersfield,CA,kern,9,35.4,-119.0,6029.0,0.0005042864346949068
bakersville,NC,mitchell,1,36.0,-82.1,37121.0,0.0
baldwinsville,NY,onondaga,54,43.1,-76.3,36067.0,0.003340897629853757
ball ground,GA,cherokee,9,34.4,-84.3,13057.0,0.0005042864346949068
ballston lake,NY,saratoga,10,42.9,-73.8,36091.0,0.0005673222390317701
ballwin,MO,st. louis,77,38.6,-90.5,29189.0,0.004790721129601614
balsam grove,NC,transylvania,1,35.2,-82.9,37175.0,0.0
baltimore,MD,anne arundel,22,39.3,-76.6,24003.0,0.00132375189107413
baltimore,MD,baltimore,33,39.3,-76.6,24005.0,0.002017145738779627
baltimore,MD,baltimore city,418,39.3,-76.6,24510.0,0.026285930408472012
bangor,ME,penobscot,8,44.8,-68.8,23019.0,0.00044125063035804334
bangor,MI,van buren,1,42.3,-86.1,26159.0,0.0
bar harbor,ME,hancock,21,44.3,-68.2,23009.0,0.0012607160867372667
baraboo,WI,sauk,28,43.5,-89.7,55111.0,0.00170196671709531
bark river,MI,delta,6,45.8,-87.4,26041.0,0.0003151790216843167
barnegat light,NJ,ocean,6,39.7,-74.1,34029.0,0.0003151790216843167
barnesville,MN,clay,336,46.7,-96.4,27027.0,0.02111699445284922
barnet,VT,caledonia,25,44.4,-72.1,50005.0,0.0015128593040847202
barnstable,MA,barnstable,12,41.7,-70.4,25001.0,0.0006933938477054968
barranquitas,PR,barranquitas,4,18.2,-66.3,,0.00018910741301059002
barre,VT,washington,162,44.2,-72.4,50023.0,0.010148764498234998
barrington,IL,lake,20,42.2,-88.1,17097.0,0.0011976802824004034
barrington,NH,strafford,17,43.2,-71.1,33017.0,0.0010085728693898135
barrington,RI,bristol,31,41.8,-71.3,44001.0,0.0018910741301059002
bartlesville,OK,washington,40,36.9,-96.0,40147.0,0.0024583963691376704
bartlett,IL,dupage,21,42.0,-88.3,17043.0,0.0012607160867372667
bartlett,NH,carroll,3,44.1,-71.2,33003.0,0.0001260716086737267
bartlett,TX,bell,1,30.8,-97.3,48027.0,0.0
basalt,CO,eagle,4,39.4,-107.1,8037.0,0.00018910741301059002
bassett,VA,henry,20,36.8,-80.0,51089.0,0.0011976802824004034
batavia,IL,kane,10,41.8,-88.3,17089.0,0.0005673222390317701
batavia,NY,genesee,50,42.9,-78.2,36037.0,0.0030887544125063034
batavia,OH,clermont,2,39.1,-84.2,39025.0,6.303580433686334e-05
batesville,IN,ripley,28,39.2,-85.3,18137.0,0.00170196671709531
bath,NY,steuben,24,42.3,-77.3,36101.0,0.0014498234997478569
baton rouge,LA,east. baton rouge,442,30.4,-91.1,,0.027798789712556733
battle lake,MN,otter tail,2,46.4,-95.7,27111.0,6.303580433686334e-05
bay city,MI,bay,1,43.7,-83.9,26017.0,0.0
bay minette,AL,baldwin,54,30.8,-87.9,1003.0,0.003340897629853757
bay pines,FL,pinellas,2,27.8,-82.8,12103.0,6.303580433686334e-05
bay village,OH,cuyahoga,6,41.5,-81.9,39035.0,0.0003151790216843167
bayfield,WI,bayfield,12,46.8,-90.8,55007.0,0.0006933938477054968
