city,state,county,count
Bunker Hill,WV,BERKELEY,1
Burbank,CA,LOS ANGELES,1
Burlington,PA,BRADFORD,1
Burlington,WI,RACINE,2
Burnsville,NC,YANCEY,1
Cabin John,MD,MONTGOMERY,1
Calera,OK,BRYAN,1
Calhoun,GA,GORDON,1
Cambridge Springs,PA,CRAWFORD,1
Cameron,LA,CAMERON,3
Camp Lejeune,NC,ONSLOW,1
Canal Winchester,OH,FRANKLIN,1
Canonsburg,PA,WASHINGTON,1
Canton,OH,STARK,2
Canton,TX,VAN ZANDT,2
Canyon Lake,TX,COMAL,1
Cape Charles,VA,NORTHAMPTON,2
Cape Coral,FL,LEE,1
Cape May,NJ,CAPE MAY,1
Carbondale,IL,JACKSON,1
Carlsbad,CA,SAN DIEGO,3
Carmel,IN,HAMILTON,1
Carol Stream,IL,DUPAGE,1
Carrollton,TX,DALLAS,2
Carson City,MI,MONTCALM,1
Cary,IL,MCHENRY,3
Cary,NC,WAKE,6
Cashiers,NC,JACKSON,2
Castle Rock,MN,DAKOTA,2
Catawba,VA,ROANOKE,1
Cathedral City,CA,RIVERSIDE,1
Cato,NY,CAYUGA,1
Catonsville,MD,BALTIMORE,4
Caulfield,MO,HOWELL,4
Cedar Falls,IA,BLACK HAWK,2
Cedar Grove,WI,SHEBOYGAN,1
Cedar Hill,TN,ROBERTSON,1
Cedar Rapids,IA,LINN,1
Centreville,MD,QUEEN ANNES,2
Chadds Ford,PA,DELAWARE,2
Chagrin Falls,OH,CUYAHOGA,5
Chapel Hill,NC,ORANGE,3
Charleston,SC,CHARLESTON,7
Charlotte,MI,EATON,2
Charlotte,NC,MECKLENBURG,5
Charlotte,VT,CHITTENDEN,1
Chatsworth,GA,MURRAY,1
Chelsea,AL,SHELBY,0
Chelsea,MI,WASHTENAW,1
Chelsea,OK,ROGERS,1
Cherryville,NC,GASTON,1
Chesapeake,VA,CHESAPEAKE CITY,11
Chester,NH,ROCKINGHAM,1
Chester,VA,CHESTERFIELD,1
Chester,WV,HANCOCK,1
Chester Springs,PA,CHESTER,1
Chicago,IL,COOK,10
Chico,TX,WISE,1
China Spring,TX,MCLENNAN,1
Choctaw,OK,OKLAHOMA,1
Chula Vista,CA,SAN DIEGO,8
Cibolo,TX,GUADALUPE,1
Cincinnati,OH,HAMILTON,3
Claremont,NH,SULLIVAN,7
Clarksville,MD,HOWARD,2
Clawson,MI,OAKLAND,1
Clayton,NC,JOHNSTON,3
Clearwater,FL,PINELLAS,3
Cleburne,TX,JOHNSON,1
Cleveland,TN,BRADLEY,1
Clinton,CT,MIDDLESEX,2
Clinton,IN,VERMILLION,1
Cochise,AZ,COCHISE,1
Colgate,WI,WASHINGTON,1
College Station,TX,BRAZOS,1
Cologne,MN,CARVER,1
Colorado Springs,CO,EL PASO,1
Columbia,IL,MONROE,1
Columbia,SC,RICHLAND,0
Columbia,TN,MAURY,3
Columbus,OH,FRANKLIN,7
Concord,NH,MERRIMACK,3
Connellsville,PA,FAYETTE,2
Conway,AR,FAULKNER,1
Cooperstown,NY,OTSEGO,1
Coopersville,MI,OTTAWA,1
Coppell,TX,DALLAS,1
Coral Gables,FL,MIAMI-DADE,1
Corona,CA,RIVERSIDE,3
Coronado,CA,SAN DIEGO,1
Corpus Christi,TX,NUECES,7
Corvallis,OR,BENTON,2
Costa Mesa,CA,ORANGE,1
Cottage Grove,MN,WASHINGTON,1
Cottage Grove,WI,DANE,1
Council Bluffs,IA,POTTAWATTAMIE,2
Covington,LA,SAINT TAMMANY,1
Creedmoor,NC,GRANVILLE,1
Creighton,NE,KNOX,2
Crestwood,KY,OLDHAM,1
Crofton,MD,ANNE ARUNDEL,1
Crosby,MN,CROW WING,2
Cross Hill,SC,LAURENS,1
Crowley,TX,TARRANT,1
Crystal Lake,IL,MCHENRY,1
Culver City,CA,LOS ANGELES,1
Cumberland,WI,BARRON,1
Cut Off,LA,LAFOURCHE,4
Daleville,IN,DELAWARE,1
Dallas,PA,LUZERNE,1
Dallas,TX,DALLAS,8
Danbury,WI,BURNETT,1
Danville,KY,BOYLE,3
Darien,CT,FAIRFIELD,2
Darrow,LA,ASCENSION,1
Dauphin Island,AL,MOBILE,1
Davenport,IA,SCOTT,2
Davidson,NC,MECKLENBURG,1
Davison,MI,GENESEE,2
Dayton,OH,MONTGOMERY,1
Decatur,GA,DEKALB,1
Decatur,IL,MACON,1
Delphos,OH,ALLEN,1
Delray Beach,FL,PALM BEACH,1
Deltona,FL,VOLUSIA,3
Dennis,MA,BARNSTABLE,1
Dennison,MN,GOODHUE,1
Derby,CT,NEW HAVEN,1
Derry,NH,ROCKINGHAM,1
Des Moines,IA,POLK,2
Des Plaines,IL,COOK,1
Detroit,MI,WAYNE,1
Dewey,OK,WASHINGTON,1
Dickerson,MD,MONTGOMERY,1
Dickinson,TX,GALVESTON,1
Discovery Bay,CA,CONTRA COSTA,1
Dodge Center,MN,DODGE,1
Douglas,MA,WORCESTER,1
Dover,DE,KENT,1
Drexel Hill,PA,DELAWARE,1
Driftwood,TX,HAYS,1
Dripping Springs,TX,HAYS,1
Drumright,OK,CREEK,1
Dublin,TX,ERATH,2
Dubuque,IA,DUBUQUE,1
Durant,OK,BRYAN,2
Durham,CT,MIDDLESEX,1
Durham,NH,STRAFFORD,1
Dutch John,UT,DAGGETT,1
Dysart,IA,TAMA,2
Eagle Point,OR,JACKSON,1
Eagle River,WI,VILAS,1
East Greenbush,NY,RENSSELAER,1
East Hartford,CT,HARTFORD,2
East Haven,CT,NEW HAVEN,1
East Jordan,MI,CHARLEVOIX,1
East Rockaway,NY,NASSAU,2
Easthampton,MA,HAMPSHIRE,1
Easton,MD,TALBOT,0
Easton,PA,NORTHAMPTON,3
Eastpointe,MI,MACOMB,1
Eaton Rapids,MI,EATON,1
Eau Claire,WI,EAU CLAIRE,3
Edgerton,WI,ROCK,1
Edinburg,TX,HIDALGO,2
Edmond,OK,OKLAHOMA,3
Edwardsburg,MI,CASS,1
Effingham,NH,CARROLL,0
Egg Harbor City,NJ,ATLANTIC,2
El Cajon,CA,SAN DIEGO,1
El Paso,TX,EL PASO,1
El Reno,OK,CANADIAN,1
Elizabethtown,PA,LANCASTER,1
Elk River,MN,SHERBURNE,1
Elmhurst,IL,DUPAGE,4
Elmira,NY,CHEMUNG,1
Elmore City,OK,GARVIN,1
Elyria,OH,LORAIN,1
Emigrant,MT,PARK,1
Empire,MI,LEELANAU,2
Englewood,NJ,BERGEN,2
Enid,OK,GARFIELD,1
Enterprise,AL,COFFEE,0
Erwin,TN,UNICOI,1
Evanston,IL,COOK,2
Eveleth,MN,SAINT LOUIS,1
Exeter,NH,ROCKINGHAM,2
Fair Lawn,NJ,BERGEN,1
Fair Oaks,CA,SACRAMENTO,1
Fairbury,IL,LIVINGSTON,1
Fairfax,VA,FAIRFAX CITY,1
Fairfax,VT,CHITTENDEN,1
Fairfield,CT,FAIRFIELD,1
Fairfield,OH,BUTLER,2
Fairhope,AL,BALDWIN,1
Fairport,NY,MONROE,2
Fairview,OK,MAJOR,1
Falls Church,VA,FALLS CHURCH CITY,2
Falmouth,MA,BARNSTABLE,3
Fargo,ND,CASS,1
Faribault,MN,RICE,0
Farmington,MI,OAKLAND,3
Farmington,MO,SAINT FRANCOIS,2
Farmington,NY,ONTARIO,1
Farwell,MI,CLARE,2
Fayetteville,AR,WASHINGTON,1
Fernandina Beach,FL,NASSAU,14
Ferndale,MI,OAKLAND,1
Fernley,NV,LYON,1
Fertile,MN,POLK,1
Fish Haven,ID,BEAR LAKE,1
Flagstaff,AZ,COCONINO,1
Flat Rock,MI,WAYNE,0
Fleetwood,PA,BERKS,2
Fletcher,NC,HENDERSON,1
Florence,KY,BOONE,1
Fontanet,IN,VIGO,1
Forney,TX,KAUFMAN,1
Fort Edward,NY,WASHINGTON,1
Fort Leavenworth,KS,LEAVENWORTH,1
Fort Sill,OK,COMANCHE,1
Fort Smith,AR,SEBASTIAN,1
Fort Wayne,IN,ALLEN,4
Fort Worth,TX,TARRANT,1
Frankenmuth,MI,SAGINAW,1
Frankfort,IN,CLINTON,1
Franklin,TN,WILLIAMSON,0
Franklin,WI,MILWAUKEE,1
Frederick,MD,FREDERICK,2
Fredericktown,OH,KNOX,1
Freeland,PA,LUZERNE,2
Freeport,ME,CUMBERLAND,1
Freeville,NY,TOMPKINS,1
Fremont,OH,SANDUSKY,1
Friendsville,TN,BLOUNT,15
Friendswood,TX,GALVESTON,1
Fullerton,CA,ORANGE,9
Fulton,MD,HOWARD,1
Gainesville,FL,ALACHUA,2
Gainesville,GA,HALL,2
Gansevoort,NY,SARATOGA,1
Gardena,CA,LOS ANGELES,1
Gardiner,MT,PARK,2
Gardner,MA,WORCESTER,1
Garland,TX,DALLAS,2
Garretson,SD,MINNEHAHA,1
Garrison,MN,CROW WING,1
Gary,IN,LAKE,2
Gause,TX,MILAM,1
Geneseo,IL,HENRY,1
Geneseo,NY,LIVINGSTON,1
Georgetown,TX,WILLIAMSON,3
Glen Rose,TX,SOMERVELL,1
Glendora,CA,LOS ANGELES,2
Glenpool,OK,TULSA,1
Glenview,IL,COOK,1
Glenwood,IA,MILLS,1
Gloucester Point,VA,GLOUCESTER,2
Gomer,OH,ALLEN,1
Gouldsboro,ME,HANCOCK,3
Grafton,MA,WORCESTER,1
Granby,MA,HAMPSHIRE,1
Grand Haven,MI,OTTAWA,1
Grand Ledge,MI,EATON,1
Grand Marais,MN,COOK,3
Grand Portage,MN,COOK,1
Grand Rapids,MI,KENT,5
Grand Terrace,CA,SAN BERNARDINO,3
Grants Pass,OR,JOSEPHINE,0
Grantsville,UT,TOOELE,2
Grayling,MI,CRAWFORD,2
Grayslake,IL,LAKE,2
Greeley,CO,WELD,1
Green Bay,WI,BROWN,2
Green Cove Springs,FL,CLAY,2
Green Lake,WI,GREEN LAKE,1
Greenfield,IN,HANCOCK,1
Greensboro,NC,GUILFORD,0
Greensburg,PA,WESTMORELAND,2
Greenville,NC,PITT,3
Greenville,OH,DARKE,1
Greenwich,NY,WASHINGTON,1
Gregory,MI,LIVINGSTON,1
Groton,CT,NEW LONDON,1
Grove,OK,DELAWARE,0
Grove City,OH,FRANKLIN,1
Groveland,MA,ESSEX,1
Grundy Center,IA,GRUNDY,1
Guilford,CT,NEW HAVEN,1
Gulliver,MI,SCHOOLCRAFT,1
Gunter,TX,GRAYSON,3
Gurnee,IL,LAKE,1
Guthrie,OK,LOGAN,1
Hackberry,LA,CAMERON,1
Hackensack,NJ,BERGEN,1
Hackettstown,NJ,WARREN,1
Hagerman,ID,GOODING,1
Hagerstown,MD,WASHINGTON,1
Halifax,PA,DAUPHIN,0
Hallowell,ME,KENNEBEC,2
Hamden,CT,NEW HAVEN,0
