City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Pismo Beach,CA,sanluisobispo,2013-01-01,35.1,-120.6,2013,1,1,Winter,2,58.0,42.825
Tampa,FL,hillsborough,2013-01-01,28.0,-82.5,2013,1,1,Winter,28,92.0,63.916667
Malibu,CA,losangeles,2013-01-01,34.0,-118.7,2013,1,1,Winter,1,142.0,48.263426
Goleta,CA,santabarbara,2013-01-01,34.4,-119.9,2013,1,1,Winter,5,65.0,47.51136363636363
Big Sur,CA,monterey,2013-01-01,36.2,-121.6,2013,1,1,Winter,4,61.0,44.125
Ventura,CA,ventura,2013-01-01,34.3,-119.3,2013,1,1,Winter,12,58.0,48.04861116666667
Ventura,CA,ventura,2013-01-01,34.3,-119.2,2013,1,1,Winter,6,58.0,48.04861116666667
Pacific Grove,CA,monterey,2013-01-01,36.6,-121.9,2013,1,1,Winter,4,61.0,44.125
Morro Bay,CA,sanluisobispo,2013-01-01,35.4,-120.8,2013,1,1,Winter,1,58.0,42.825
San Leandro,CA,alameda,2013-01-03,37.7,-122.2,2013,1,3,Winter,1,83.0,
Morro Bay,CA,sanluisobispo,2013-01-03,35.4,-120.8,2013,1,3,Winter,1,70.0,43.2833332
Pacific Grove,CA,monterey,2013-01-03,36.6,-121.9,2013,1,3,Winter,2,46.0,44.646739
San Antonio,TX,comal,2013-01-05,29.4,-98.5,2013,1,5,Winter,3,,
San Antonio,TX,bexar,2013-01-05,29.4,-98.5,2013,1,5,Winter,32,34.0,45.8194445
Friendswood,TX,galveston,2013-01-06,29.5,-95.2,2013,1,6,Winter,1,42.0,49.0
Panama City Beach,FL,bay,2013-01-10,30.2,-85.8,2013,1,10,Winter,10,51.0,
Ventura,CA,ventura,2013-01-11,34.3,-119.3,2013,1,11,Winter,6,36.0,43.020833333333336
San Antonio,TX,comal,2013-01-12,29.4,-98.5,2013,1,12,Winter,3,,
San Antonio,TX,bexar,2013-01-12,29.4,-98.5,2013,1,12,Winter,32,55.0,67.77777783333333
Oxnard,CA,ventura,2013-01-12,34.2,-119.2,2013,1,12,Winter,1,48.0,42.52777766666667
Houston,TX,harris,2013-01-12,29.8,-95.4,2013,1,12,Winter,43,69.0,71.38157878947368
Ventura,CA,ventura,2013-01-12,34.3,-119.3,2013,1,12,Winter,18,48.0,42.52777766666667
Metairie,LA,jefferson,2013-01-12,30.0,-90.2,2013,1,12,Winter,2,30.0,
Houston,TX,fortbend,2013-01-12,29.8,-95.4,2013,1,12,Winter,1,,
Savannah,GA,chatham,2013-01-13,31.9,-81.0,2013,1,13,Winter,10,28.0,
Rockport,TX,aransas,2013-01-15,28.2,-97.0,2013,1,15,Winter,4,,
Belle Chasse,LA,plaquemines,2013-01-15,29.8,-90.0,2013,1,15,Winter,1,,
Quemado,TX,maverick,2013-01-16,29.0,-100.4,2013,1,16,Winter,2,29.0,46.916667
Austin,TX,travis,2013-01-18,30.2,-97.7,2013,1,18,Winter,43,51.0,50.333333333333336
Austin,TX,hays,2013-01-18,30.2,-97.7,2013,1,18,Winter,1,,
Austin,TX,williamson,2013-01-18,30.2,-97.7,2013,1,18,Winter,3,,
San Antonio,TX,comal,2013-01-19,29.4,-98.5,2013,1,19,Winter,3,,
San Antonio,TX,bexar,2013-01-19,29.4,-98.5,2013,1,19,Winter,32,60.0,52.5694445
Apalachicola,FL,franklin,2013-01-19,29.7,-85.0,2013,1,19,Winter,1,,
Rockport,TX,aransas,2013-01-20,28.2,-97.0,2013,1,20,Winter,4,,
Webster,TX,harris,2013-01-20,29.5,-95.1,2013,1,20,Winter,2,64.0,55.30952380952381
Cypress,TX,harris,2013-01-21,30.0,-95.7,2013,1,21,Winter,1,74.0,57.24404766666666
Lomita,CA,losangeles,2013-01-22,33.8,-118.3,2013,1,22,Winter,1,76.0,60.62222222222223
Costa Mesa,CA,orange,2013-01-24,33.7,-117.9,2013,1,24,Winter,1,47.0,59.5708335
Pismo Beach,CA,sanluisobispo,2013-01-24,35.2,-120.7,2013,1,24,Winter,2,55.0,54.008333400000005
Missouri City,TX,fortbend,2013-01-25,29.5,-95.5,2013,1,25,Winter,3,,
Katy,TX,harris,2013-01-26,29.8,-95.7,2013,1,26,Winter,2,45.0,66.91856072727273
Katy,TX,fortbend,2013-01-26,29.8,-95.7,2013,1,26,Winter,2,,
Freeport,TX,brazoria,2013-01-26,29.0,-95.3,2013,1,26,Winter,6,34.0,66.25000033333333
Victoria,TX,victoria,2013-01-27,28.8,-97.0,2013,1,27,Winter,6,30.0,68.416667
Katy,TX,fortbend,2013-01-27,29.8,-95.7,2013,1,27,Winter,2,,
Baton Rouge,LA,eastbatonrouge,2013-01-27,30.4,-91.2,2013,1,27,Winter,17,57.0,63.96666666666667
Austin,TX,travis,2013-01-27,30.2,-97.7,2013,1,27,Winter,43,47.0,66.623016
Katy,TX,harris,2013-01-27,29.8,-95.7,2013,1,27,Winter,2,48.0,67.5189394090909
Austin,TX,hays,2013-01-27,30.2,-97.7,2013,1,27,Winter,1,,
Tallahassee,FL,leon,2013-01-27,30.4,-84.3,2013,1,27,Winter,12,77.0,
Austin,TX,williamson,2013-01-27,30.2,-97.7,2013,1,27,Winter,3,,
Katy,TX,fortbend,2013-01-28,29.8,-95.7,2013,1,28,Winter,2,,
Katy,TX,harris,2013-01-28,29.8,-95.7,2013,1,28,Winter,2,56.0,71.83712122727273
Savannah,GA,chatham,2013-01-28,32.1,-81.1,2013,1,28,Winter,10,73.0,
Panama City Beach,FL,bay,2013-01-28,30.2,-85.8,2013,1,28,Winter,10,54.0,
Missouri City,TX,fortbend,2013-01-29,29.5,-95.5,2013,1,29,Winter,3,,
Hawaiian Gardens,CA,losangeles,2013-01-29,33.8,-118.1,2013,1,29,Winter,3,59.0,50.13703688888889
Katy,TX,harris,2013-01-31,29.8,-95.7,2013,1,31,Winter,2,51.0,52.957702
Katy,TX,fortbend,2013-01-31,29.8,-95.7,2013,1,31,Winter,2,,
Port Charlotte,FL,charlotte,2013-01-31,27.0,-82.1,2013,1,31,Winter,3,,
Fort Myers,FL,lee,2013-01-31,26.6,-81.9,2013,1,31,Winter,8,41.0,
houston,TX,fortbend,2013-02-01,29.8,-95.4,2013,2,1,Winter,1,,
Miami,FL,miami-dade,2013-02-01,25.9,-80.2,2013,2,1,Winter,68,44.0,62.333333
