City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Abilene,KS,DICKINSON,2013-09-24,2013,9,24,Fall,3,39.0,-97.2,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-02-11,2013,2,11,Winter,7,32.4,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-08-13,2013,8,13,Summer,21,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-08-27,2013,8,27,Summer,14,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-09-11,2013,9,11,Fall,28,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-09-17,2013,9,17,Fall,35,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2013-10-17,2013,10,17,Fall,14,32.5,-99.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-08-19,2013,8,19,Summer,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-09-02,2013,9,2,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-09-04,2013,9,4,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-09-05,2013,9,5,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-09-06,2013,9,6,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-09-23,2013,9,23,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-11-05,2013,11,5,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,CHEROKEE,2013-11-08,2013,11,8,Fall,1,34.0,-84.7,,,,,,,,,,,,,,,
Acworth,GA,COBB,2013-08-19,2013,8,19,Summer,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-09-02,2013,9,2,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-09-04,2013,9,4,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-09-05,2013,9,5,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-09-06,2013,9,6,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-09-23,2013,9,23,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-11-05,2013,11,5,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Acworth,GA,COBB,2013-11-08,2013,11,8,Fall,2,34.0,-84.7,355.0,180.0,173.0,2.0,0.0,0.0,0.0,108.0,66.0,50.0,0.0,0.0,84.0,271.0,0.0
Ada,OK,PONTOTOC,2013-10-23,2013,10,23,Fall,4,34.8,-96.8,,,,,,,,,,,,,,,
Afton,MI,CHEBOYGAN,2013-06-15,2013,6,15,Summer,4,45.3,-84.4,,,,,,,,,,,,,,,
Afton,NY,CHENANGO,2013-09-24,2013,9,24,Fall,4,42.2,-75.5,,,,,,,,,,,,,,,
Aiken,SC,AIKEN,2013-11-04,2013,11,4,Fall,3,33.6,-81.7,219.0,209.0,10.0,0.0,0.0,0.0,0.0,80.0,49.0,37.0,0.0,0.0,219.0,0.0,0.0
Akron,OH,SUMMIT,2013-08-20,2013,8,20,Summer,21,41.0,-81.6,365.0,281.0,82.0,2.0,0.0,0.0,0.0,146.0,61.0,32.0,101.0,0.0,148.0,116.0,0.0
Akron,OH,SUMMIT,2013-08-21,2013,8,21,Summer,21,41.0,-81.5,365.0,281.0,82.0,2.0,0.0,0.0,0.0,146.0,61.0,32.0,101.0,0.0,148.0,116.0,0.0
Akron,OH,SUMMIT,2013-08-29,2013,8,29,Summer,63,41.0,-81.5,365.0,281.0,82.0,2.0,0.0,0.0,0.0,146.0,61.0,32.0,101.0,0.0,148.0,116.0,0.0
Alamogordo,NM,OTERO,2013-11-27,2013,11,27,Fall,4,32.8,-106.1,,,,,,,,,,,,,,,
Alba,TX,WOOD,2013-10-07,2013,10,7,Fall,6,32.8,-95.6,,,,,,,,,,,,,,,
Albany,NY,ALBANY,2013-09-20,2013,9,20,Fall,46,42.7,-73.7,365.0,260.0,105.0,0.0,0.0,0.0,0.0,97.0,61.0,42.0,0.0,0.0,212.0,153.0,0.0
Albion,MI,CALHOUN,2013-08-25,2013,8,25,Summer,1,42.3,-84.8,,,,,,,,,,,,,,,
Albuquerque,NM,BERNALILLO,2013-08-20,2013,8,20,Summer,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-08-22,2013,8,22,Summer,90,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-08-29,2013,8,29,Summer,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-09-05,2013,9,5,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-09-17,2013,9,17,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-09-21,2013,9,21,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-09-24,2013,9,24,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-09-30,2013,9,30,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Albuquerque,NM,BERNALILLO,2013-10-27,2013,10,27,Fall,15,35.1,-106.6,365.0,97.0,262.0,6.0,0.0,0.0,0.0,145.0,80.0,56.0,0.0,0.0,162.0,165.0,38.0
Alcoa,TN,BLOUNT,2013-08-23,2013,8,23,Summer,2,35.8,-84.0,365.0,282.0,82.0,1.0,0.0,0.0,0.0,105.0,58.0,42.0,0.0,0.0,300.0,65.0,0.0
Alexandria,VA,ALEXANDRIA CITY,2013-09-18,2013,9,18,Fall,11,38.8,-77.1,365.0,321.0,42.0,2.0,0.0,0.0,0.0,115.0,54.0,36.0,4.0,183.0,176.0,0.0,2.0
Alexandria,VA,ALEXANDRIA CITY,2013-09-19,2013,9,19,Fall,11,38.8,-77.1,365.0,321.0,42.0,2.0,0.0,0.0,0.0,115.0,54.0,36.0,4.0,183.0,176.0,0.0,2.0
Alexandria,VA,FAIRFAX,2013-09-18,2013,9,18,Fall,10,38.8,-77.1,365.0,220.0,144.0,1.0,0.0,0.0,0.0,119.0,62.0,46.0,0.0,0.0,108.0,257.0,0.0
