City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Pismo Beach,CA,SAN LUIS OBISPO,2013-01-01,35.1,-120.6,2013,1,1,Winter,2
Tampa,FL,HILLSBOROUGH,2013-01-01,28.0,-82.5,2013,1,1,Winter,28
Malibu,CA,LOS ANGELES,2013-01-01,34.0,-118.7,2013,1,1,Winter,1
Goleta,CA,SANTA BARBARA,2013-01-01,34.4,-119.9,2013,1,1,Winter,5
Big Sur,CA,MONTEREY,2013-01-01,36.2,-121.6,2013,1,1,Winter,4
Ventura,CA,VENTURA,2013-01-01,34.3,-119.3,2013,1,1,Winter,12
Ventura,CA,VENTURA,2013-01-01,34.3,-119.2,2013,1,1,Winter,6
Pacific Grove,CA,MONTEREY,2013-01-01,36.6,-121.9,2013,1,1,Winter,4
Morro Bay,CA,SAN LUIS OBISPO,2013-01-01,35.4,-120.8,2013,1,1,Winter,1
San Leandro,CA,ALAMEDA,2013-01-03,37.7,-122.2,2013,1,3,Winter,1
Morro Bay,CA,SAN LUIS OBISPO,2013-01-03,35.4,-120.8,2013,1,3,Winter,1
Pacific Grove,CA,MONTEREY,2013-01-03,36.6,-121.9,2013,1,3,Winter,2
San Antonio,TX,COMAL,2013-01-05,29.4,-98.5,2013,1,5,Winter,3
San Antonio,TX,BEXAR,2013-01-05,29.4,-98.5,2013,1,5,Winter,32
Friendswood,TX,GALVESTON,2013-01-06,29.5,-95.2,2013,1,6,Winter,1
Panama City Beach,FL,BAY,2013-01-10,30.2,-85.8,2013,1,10,Winter,10
Ventura,CA,VENTURA,2013-01-11,34.3,-119.3,2013,1,11,Winter,6
San Antonio,TX,COMAL,2013-01-12,29.4,-98.5,2013,1,12,Winter,3
San Antonio,TX,BEXAR,2013-01-12,29.4,-98.5,2013,1,12,Winter,32
Oxnard,CA,VENTURA,2013-01-12,34.2,-119.2,2013,1,12,Winter,1
Houston,TX,HARRIS,2013-01-12,29.8,-95.4,2013,1,12,Winter,43
Ventura,CA,VENTURA,2013-01-12,34.3,-119.3,2013,1,12,Winter,18
