City,State/Province,County,Count,Latitude,Longitude
abilene,TX,TAYLOR,133,32.5,-99.7
ada,MI,KENT,2,43.0,-85.5
ada,OK,PONTOTOC,64,34.8,-96.8
akron,OH,SUMMIT,105,41.0,-81.5
alamogordo,NM,OTERO,8,32.8,-106.1
albany,IN,DELAWARE,1,40.3,-85.3
albany,NY,ALBANY,46,42.7,-73.7
albany,VT,ORLEANS,1,44.7,-72.3
albertville,MN,WRIGHT,8,45.3,-93.6
albion,NE,BOONE,20,41.7,-98.0
albuquerque,NM,BERNALILLO,450,35.1,-106.6
aledo,TX,PARKER,5,32.7,-97.6
alexandria,AL,CALHOUN,16,33.8,-85.9
alexandria,VA,ALEXANDRIA CITY,44,38.8,-77.1
alexandria,VA,FAIRFAX,40,38.8,-77.1
alexandria bay,NY,JEFFERSON,72,44.4,-75.9
allen,TX,COLLIN,141,33.1,-96.6
allendale,NJ,BERGEN,1,41.0,-74.1
allenton,WI,WASHINGTON,40,43.5,-88.4
allentown,NJ,MONMOUTH,2,40.1,-74.6
alpena,MI,ALPENA,5,45.1,-83.5
alsip,IL,COOK,4,41.7,-87.7
alton,NH,BELKNAP,1,43.5,-71.3
altoona,IA,POLK,54,41.6,-93.7
altoona,PA,BLAIR,12,40.5,-78.4
alvin,TX,BRAZORIA,1,29.4,-95.3
amery,WI,POLK,30,45.4,-92.4
amherst,NH,HILLSBOROUGH,1,42.9,-71.6
anaheim,CA,ORANGE,7,33.8,-118.0
anderson,IN,MADISON,14,40.1,-85.8
andover,MN,ANOKA,30,45.4,-93.5
ann arbor,MI,WASHTENAW,44,42.3,-83.8
anna,TX,COLLIN,6,33.3,-96.6
annapolis,MD,ANNE ARUNDEL,70,39.0,-76.6
anoka,MN,ANOKA,10,45.3,-93.4
antioch,IL,LAKE,6,42.5,-88.1
apalachicola,FL,FRANKLIN,4,29.7,-85.1
apex,NC,WAKE,2,35.7,-78.9
appleton,WI,OUTAGAMIE,10,44.3,-88.4
arcade,NY,WYOMING,12,42.6,-78.4
ardmore,OK,CARTER,60,34.2,-97.2
ardmore,PA,MONTGOMERY,3,40.0,-75.3
argyle,TX,DENTON,15,33.1,-97.2
arkansas city,KS,COWLEY,3,37.1,-97.0
arlington,TX,TARRANT,72,32.6,-97.2
arlington,VA,ARLINGTON,170,38.9,-77.1
arlington heights,IL,COOK,10,42.1,-88.0
armada,MI,MACOMB,4,42.8,-82.9
arnold,MD,ANNE ARUNDEL,4,39.0,-76.5
asbury park,NJ,MONMOUTH,18,40.2,-74.0
ashaway,RI,WASHINGTON,2,41.4,-71.8
ashburn,VA,LOUDOUN,18,39.0,-77.5
asheboro,NC,RANDOLPH,25,35.6,-79.8
asheville,NC,BUNCOMBE,225,35.5,-82.6
astoria,NY,QUEENS,4,40.8,-73.9
astoria,SD,DEUEL,3,44.6,-96.5
atchison,KS,ATCHISON,6,39.5,-95.1
atco,NJ,CAMDEN,3,39.8,-74.9
athens,AL,LIMESTONE,1,34.8,-87.0
athens,GA,CLARKE,75,34.0,-83.4
athens,OH,ATHENS,10,39.3,-82.1
atkinson,NH,ROCKINGHAM,2,42.8,-71.2
atlanta,GA,COBB,64,33.8,-84.4
atlanta,GA,DEKALB,136,33.8,-84.4
atlanta,GA,FULTON,232,33.8,-84.4
atlanta,MI,MONTMORENCY,1,45.0,-84.1
atlantic beach,NC,CARTERET,84,34.7,-76.8
atlantic city,NJ,ATLANTIC,6,39.4,-74.4
atwater,MN,KANDIYOHI,1,45.1,-94.8
auberry,CA,FRESNO,4,37.1,-119.4
auburn,AL,LEE,2,32.6,-85.5
auburn,CA,PLACER,6,39.0,-121.1
auburn hills,MI,OAKLAND,6,42.7,-83.2
augusta,GA,COLUMBIA,4,33.5,-82.0
augusta,GA,RICHMOND,8,33.5,-82.0
aurora,IN,DEARBORN,15,39.1,-85.0
aurora,OH,PORTAGE,2,41.3,-81.3
austin,TX,HAYS,491,30.2,-97.7
austin,TX,TRAVIS,21113,30.2,-97.7
austin,TX,WILLIAMSON,1473,30.2,-97.7
aviston,IL,CLINTON,1,38.7,-89.6
avon,OH,LORAIN,1,41.4,-82.0
avon lake,OH,LORAIN,5,41.5,-82.0
aztec,NM,SAN JUAN,2,36.9,-108.0
baileys harbor,WI,DOOR,2,45.1,-87.2
bainbridge,GA,DECATUR,3,30.9,-84.6
bakersfield,CA,KERN,3,35.4,-119.0
baldwin park,CA,LOS ANGELES,2,34.1,-118.0
baldwinsville,NY,ONONDAGA,6,43.2,-76.4
ballwin,MO,SAINT LOUIS,140,38.6,-90.6
baltimore,MD,ANNE ARUNDEL,22,39.3,-76.6
baltimore,MD,BALTIMORE,33,39.3,-76.6
baltimore,MD,BALTIMORE CITY,418,39.3,-76.6
bangor,ME,PENOBSCOT,4,44.9,-68.8
barnesville,MD,MONTGOMERY,1,39.2,-77.4
barnesville,MN,CLAY,66,46.7,-96.3
barrington,IL,LAKE,120,42.2,-88.2
barrington,NH,STRAFFORD,10,43.2,-71.0
bartlesville,OK,WASHINGTON,160,36.7,-96.1
barton,VT,ORLEANS,6,44.7,-72.1
basehor,KS,LEAVENWORTH,6,39.1,-95.0
bass harbor,ME,HANCOCK,1,44.2,-68.4
bastrop,TX,BASTROP,40,30.2,-97.3
bath,ME,SAGADAHOC,6,43.9,-69.8
bath,NH,GRAFTON,1,44.2,-72.0
baton rouge,LA,EAST BATON ROUGE,102,30.4,-91.2
battle creek,MI,CALHOUN,8,42.3,-85.2
battle lake,MN,OTTER TAIL,2,46.3,-95.7
bay city,MI,BAY,5,43.6,-84.0
bay village,OH,CUYAHOGA,18,41.5,-81.9
bayfield,WI,BAYFIELD,24,46.9,-90.9
bayville,NJ,OCEAN,291,39.9,-74.2
beacon,NY,DUTCHESS,2,41.5,-74.0
beaumont,TX,JEFFERSON,42,30.1,-94.1
beaver city,NE,FURNAS,1,40.1,-99.7
beaver falls,PA,BEAVER,8,40.8,-80.4
bedford,TX,TARRANT,2,32.9,-97.1
bejou,MN,MAHNOMEN,1,47.5,-95.9
bel air,MD,HARFORD,1,39.5,-76.4
belen,NM,VALENCIA,192,34.6,-106.7
belington,WV,BARBOUR,1,39.0,-80.0
bellefontaine,OH,LOGAN,3,40.4,-83.8
bellefonte,PA,CENTRE,24,40.9,-77.7
belleview,FL,MARION,1,29.0,-82.0
bellevue,NE,SARPY,4,41.1,-95.9
bellville,OH,RICHLAND,2,40.6,-82.5
bellville,TX,AUSTIN,40,30.0,-96.2
belmar,NJ,MONMOUTH,33,40.2,-74.1
belmont,MI,KENT,10,43.1,-85.6
beloit,WI,ROCK,1,42.5,-89.1
belton,TX,BELL,48,31.1,-97.5
beltsville,MD,PRINCE GEORGES,56,39.0,-76.9
bend,TX,SAN SABA,62,31.1,-98.5
benezett,PA,ELK,4,41.3,-78.4
benson,NC,JOHNSTON,1,35.3,-78.5
benton,AR,SALINE,4,34.6,-92.7
bentonville,AR,BENTON,16,36.3,-94.3
berea,KY,MADISON,2,37.6,-84.3
bergheim,TX,KENDALL,1,29.8,-98.8
berkeley,CA,ALAMEDA,4,37.9,-122.3
berkley,MI,OAKLAND,1,42.5,-83.2
berryville,VA,CLARKE,8,39.2,-78.0
berwyn,IL,COOK,3,41.8,-87.8
bethany,CT,NEW HAVEN,2,41.4,-73.0
bethany beach,DE,SUSSEX,39,38.7,-75.1
bethesda,MD,MONTGOMERY,8,39.0,-77.1
bethlehem,PA,LEHIGH,2,40.6,-75.4
bethlehem,PA,NORTHAMPTON,4,40.6,-75.4
bettendorf,IA,SCOTT,3,41.6,-90.5
beverly hills,CA,LOS ANGELES,1,34.1,-118.4
big bend,WI,WAUKESHA,1,42.9,-88.2
big bend national park,TX,BREWSTER,28,29.3,-103.3
big pine key,FL,MONROE,4,24.7,-81.4
big sur,CA,MONTEREY,85316,36.2,-121.6
binghamton,NY,BROOME,51,42.2,-75.9
birmingham,AL,JEFFERSON,260,33.5,-86.8
birmingham,AL,SHELBY,35,33.5,-86.8
birmingham,MI,OAKLAND,2,42.5,-83.2
bisbee,AZ,COCHISE,8,31.5,-110.0
bismarck,ND,BURLEIGH,8,46.8,-100.7
black creek,WI,OUTAGAMIE,2,44.5,-88.4
black mountain,NC,BUNCOMBE,10,35.6,-82.3
black river,NY,JEFFERSON,1,44.0,-75.8
blacksburg,VA,MONTGOMERY,10,37.3,-80.4
blain,PA,PERRY,3,40.3,-77.5
blairstown,NJ,WARREN,9,41.0,-75.0
blairsville,GA,UNION,4,34.9,-84.0
blanco,TX,BLANCO,1,30.1,-98.4
bloomfield,NJ,ESSEX,20,40.8,-74.2
blooming grove,NY,ORANGE,6,41.4,-74.2
bloomingdale,NJ,PASSAIC,3,41.0,-74.3
bloomington,IN,MONROE,27,39.1,-86.5
blue grass,IA,SCOTT,3,41.5,-90.7
blue island,IL,COOK,6,41.7,-87.7
bluffton,OH,ALLEN,2,40.9,-83.9
bluffton,SC,BEAUFORT,12,32.2,-80.9
boca raton,FL,PALM BEACH,5,26.3,-80.1
boerne,TX,KENDALL,90,29.8,-98.8
bogata,TX,RED RIVER,50,33.5,-95.1
boise,ID,ADA,30,43.7,-116.2
bolinas,CA,MARIN,1,37.9,-122.7
bolton landing,NY,WARREN,20,43.6,-73.7
bonita springs,FL,LEE,5,26.4,-81.7
boonsboro,MD,WASHINGTON,4,39.5,-77.7
boothbay,ME,LINCOLN,1,43.9,-69.6
boothbay harbor,ME,LINCOLN,92,43.9,-69.6
boscobel,WI,GRANT,3,43.1,-90.7
boyce,VA,CLARKE,16,39.1,-78.0
boynton beach,FL,PALM BEACH,6,26.4,-80.2
brackettville,TX,KINNEY,3,29.4,-100.4
bradenton,FL,MANATEE,16,27.6,-82.8
