City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Morro Bay,CA,SAN LUIS OBISPO,2014-01-01,35.4,-120.8,2014,1,1,Winter,16244
Pacific Grove,CA,MONTEREY,2014-01-01,36.6,-121.9,2014,1,1,Winter,26840
Big Sur,CA,MONTEREY,2014-01-01,36.2,-121.6,2014,1,1,Winter,85316
Goodyear,AZ,MARICOPA,2014-01-01,33.4,-112.4,2014,1,1,Winter,2
new smyrna beach,FL,VOLUSIA,2014-01-01,29.0,-81.1,2014,1,1,Winter,2
Pismo Beach,CA,SAN LUIS OBISPO,2014-01-01,35.2,-120.7,2014,1,1,Winter,60586
Covina,CA,LOS ANGELES,2014-01-03,34.1,-117.9,2014,1,3,Winter,2
Houston,TX,HARRIS,2014-01-05,29.8,-95.4,2014,1,5,Winter,43
Houston,TX,FORT BEND,2014-01-05,29.8,-95.4,2014,1,5,Winter,1
Long Beach,CA,LOS ANGELES,2014-01-08,33.8,-118.2,2014,1,8,Winter,20
Ventura,CA,VENTURA,2014-01-11,34.3,-119.3,2014,1,11,Winter,6
Ventura,CA,VENTURA,2014-01-12,34.3,-119.3,2014,1,12,Winter,12
Port Lavaca,TX,CALHOUN,2014-01-12,28.5,-96.7,2014,1,12,Winter,10
Katy,TX,FORT BEND,2014-01-13,29.8,-95.7,2014,1,13,Winter,2
Katy,TX,HARRIS,2014-01-13,29.8,-95.7,2014,1,13,Winter,2
Panama City Beach,FL,BAY,2014-01-14,30.2,-85.8,2014,1,14,Winter,10
Beverly Hills,CA,LOS ANGELES,2014-01-15,34.1,-118.4,2014,1,15,Winter,1
Pasadena,CA,LOS ANGELES,2014-01-18,34.1,-118.2,2014,1,18,Winter,13
Pensacola,FL,ESCAMBIA,2014-01-19,30.4,-87.2,2014,1,19,Winter,9
Houston,TX,FORT BEND,2014-01-19,29.8,-95.4,2014,1,19,Winter,1
Houston,TX,HARRIS,2014-01-19,29.8,-95.4,2014,1,19,Winter,43
Miami,FL,MIAMI-DADE,2014-01-21,25.8,-80.2,2014,1,21,Winter,68
Fullerton,CA,ORANGE,2014-01-22,33.9,-117.9,2014,1,22,Winter,1
Summerland Key,FL,MONROE,2014-01-22,24.6,-81.5,2014,1,22,Winter,17
Santa Barbara,CA,SANTA BARBARA,2014-01-23,34.4,-119.7,2014,1,23,Winter,7
Cypress,TX,HARRIS,2014-01-23,30.0,-95.7,2014,1,23,Winter,1
Valrico,FL,HILLSBOROUGH,2014-01-23,27.9,-82.2,2014,1,23,Winter,1
Hudson,FL,PASCO,2014-01-23,28.4,-82.7,2014,1,23,Winter,3
Houston,TX,FORT BEND,2014-01-24,29.8,-95.4,2014,1,24,Winter,1
Houston,TX,HARRIS,2014-01-24,29.8,-95.4,2014,1,24,Winter,43
Long Beach,CA,LOS ANGELES,2014-01-25,33.8,-118.2,2014,1,25,Winter,20
Valrico,FL,HILLSBOROUGH,2014-01-25,27.9,-82.2,2014,1,25,Winter,1
Goleta,CA,SANTA BARBARA,2014-01-26,34.4,-119.9,2014,1,26,Winter,5
La quinta,CA,RIVERSIDE,2014-01-26,33.7,-116.3,2014,1,26,Winter,1
San Diego,CA,SAN DIEGO,2014-01-26,32.7,-117.2,2014,1,26,Winter,20
Fort Lauderdale,FL,BROWARD,2014-01-26,26.1,-80.1,2014,1,26,Winter,34
San Rafael,CA,MARIN,2014-01-27,38.0,-122.5,2014,1,27,Winter,6
delray beach,FL,PALM BEACH,2014-01-27,26.5,-80.1,2014,1,27,Winter,4
Santa Barbara,CA,SANTA BARBARA,2014-01-28,34.4,-119.7,2014,1,28,Winter,7
San Diego,CA,SAN DIEGO,2014-01-28,32.7,-117.2,2014,1,28,Winter,40
Oakland,CA,ALAMEDA,2014-01-28,37.8,-122.2,2014,1,28,Winter,9
Miami,FL,MIAMI-DADE,2014-01-28,25.9,-80.2,2014,1,28,Winter,68
Coronado,CA,SAN DIEGO,2014-01-28,32.7,-117.2,2014,1,28,Winter,2
Costa Mesa,CA,ORANGE,2014-01-28,33.7,-117.9,2014,1,28,Winter,1
Saint Petersburg,FL,PINELLAS,2014-01-29,27.8,-82.7,2014,1,29,Winter,26
oceanside,CA,SAN DIEGO,2014-01-30,33.2,-117.4,2014,1,30,Winter,3
Covina,CA,LOS ANGELES,2014-01-30,34.1,-117.9,2014,1,30,Winter,2
San Diego,CA,SAN DIEGO,2014-01-30,32.7,-117.2,2014,1,30,Winter,20
