City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
New Canaan,CT,FAIRFIELD,2014-10-14,2014,10,14,Fall,4,41.2,-73.5,365.0,151.0,200.0,12.0,2.0,0.0,0.0,164.0,84.0,53.0,0.0,4.0,113.0,248.0,0.0
New Castle,IN,HENRY,2014-08-05,2014,8,5,Summer,12,39.9,-85.3,121.0,66.0,54.0,1.0,0.0,0.0,0.0,119.0,64.0,48.0,0.0,0.0,0.0,121.0,0.0
New Freedom,PA,YORK,2014-08-07,2014,8,7,Summer,2,39.7,-76.7,365.0,155.0,209.0,1.0,0.0,0.0,0.0,108.0,71.0,52.0,0.0,4.0,114.0,247.0,0.0
New Glarus,WI,GREEN,2014-09-19,2014,9,19,Fall,4,42.8,-89.7,,,,,,,,,,,,,,,
New Hampton,NY,ORANGE,2014-08-28,2014,8,28,Summer,1,41.3,-74.5,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Hampton,NY,ORANGE,2014-09-03,2014,9,3,Fall,2,41.3,-74.5,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Harmony,UT,WASHINGTON,2014-07-12,2014,7,12,Summer,8,37.5,-113.3,365.0,284.0,80.0,1.0,0.0,0.0,0.0,101.0,61.0,44.0,0.0,0.0,344.0,21.0,0.0
New Harmony,UT,WASHINGTON,2014-08-11,2014,8,11,Summer,2,37.5,-113.3,365.0,284.0,80.0,1.0,0.0,0.0,0.0,101.0,61.0,44.0,0.0,0.0,344.0,21.0,0.0
New Hope,PA,BUCKS,2014-09-13,2014,9,13,Fall,1,40.4,-75.0,365.0,146.0,211.0,7.0,1.0,0.0,0.0,172.0,76.0,54.0,1.0,5.0,103.0,256.0,0.0
New Hudson,MI,OAKLAND,2014-09-27,2014,9,27,Fall,2,42.5,-83.6,239.0,164.0,72.0,3.0,0.0,0.0,0.0,112.0,71.0,42.0,0.0,0.0,153.0,86.0,0.0
New London,CT,NEW LONDON,2014-08-15,2014,8,15,Summer,4,41.4,-72.1,355.0,236.0,118.0,1.0,0.0,0.0,0.0,104.0,65.0,43.0,0.0,0.0,142.0,213.0,0.0
New London,MN,KANDIYOHI,2014-09-14,2014,9,14,Fall,8,45.3,-95.0,,,,,,,,,,,,,,,
New Market,TN,JEFFERSON,2014-09-04,2014,9,4,Fall,1,36.1,-83.6,245.0,190.0,55.0,0.0,0.0,0.0,0.0,93.0,64.0,44.0,0.0,0.0,245.0,0.0,0.0
New Market,TN,JEFFERSON,2014-09-25,2014,9,25,Fall,1,36.1,-83.6,245.0,190.0,55.0,0.0,0.0,0.0,0.0,93.0,64.0,44.0,0.0,0.0,245.0,0.0,0.0
New Market,TN,JEFFERSON,2014-10-25,2014,10,25,Fall,1,36.1,-83.6,245.0,190.0,55.0,0.0,0.0,0.0,0.0,93.0,64.0,44.0,0.0,0.0,245.0,0.0,0.0
New Orleans,LA,JEFFERSON,2014-02-17,2014,2,17,Winter,6,30.0,-90.1,365.0,206.0,154.0,5.0,0.0,0.0,0.0,122.0,66.0,48.0,0.0,7.0,118.0,240.0,0.0
New Orleans,LA,JEFFERSON,2014-08-19,2014,8,19,Summer,6,30.0,-90.1,365.0,206.0,154.0,5.0,0.0,0.0,0.0,122.0,66.0,48.0,0.0,7.0,118.0,240.0,0.0
New Orleans,LA,JEFFERSON,2014-08-20,2014,8,20,Summer,6,30.0,-90.1,365.0,206.0,154.0,5.0,0.0,0.0,0.0,122.0,66.0,48.0,0.0,7.0,118.0,240.0,0.0
New Orleans,LA,JEFFERSON,2014-09-24,2014,9,24,Fall,12,30.0,-90.1,365.0,206.0,154.0,5.0,0.0,0.0,0.0,122.0,66.0,48.0,0.0,7.0,118.0,240.0,0.0
New Orleans,LA,JEFFERSON,2014-10-27,2014,10,27,Fall,6,30.0,-90.1,365.0,206.0,154.0,5.0,0.0,0.0,0.0,122.0,66.0,48.0,0.0,7.0,118.0,240.0,0.0
New Orleans,LA,ORLEANS,2014-02-17,2014,2,17,Winter,24,30.0,-90.1,364.0,246.0,115.0,3.0,0.0,0.0,0.0,115.0,61.0,43.0,0.0,8.0,142.0,212.0,2.0
New Orleans,LA,ORLEANS,2014-08-19,2014,8,19,Summer,24,30.0,-90.1,364.0,246.0,115.0,3.0,0.0,0.0,0.0,115.0,61.0,43.0,0.0,8.0,142.0,212.0,2.0
New Orleans,LA,ORLEANS,2014-08-20,2014,8,20,Summer,24,30.0,-90.1,364.0,246.0,115.0,3.0,0.0,0.0,0.0,115.0,61.0,43.0,0.0,8.0,142.0,212.0,2.0
New Orleans,LA,ORLEANS,2014-09-24,2014,9,24,Fall,48,30.0,-90.1,364.0,246.0,115.0,3.0,0.0,0.0,0.0,115.0,61.0,43.0,0.0,8.0,142.0,212.0,2.0
New Orleans,LA,ORLEANS,2014-10-27,2014,10,27,Fall,24,30.0,-90.1,364.0,246.0,115.0,3.0,0.0,0.0,0.0,115.0,61.0,43.0,0.0,8.0,142.0,212.0,2.0
New Paltz,NY,ULSTER,2014-09-04,2014,9,4,Fall,5,41.8,-74.2,,,,,,,,,,,,,,,
New Providence,PA,LANCASTER,2014-10-18,2014,10,18,Fall,4,39.9,-76.2,365.0,58.0,292.0,14.0,1.0,0.0,0.0,155.0,85.0,61.0,0.0,0.0,34.0,331.0,0.0
New Richmond,OH,CLERMONT,2014-09-20,2014,9,20,Fall,12,39.1,-84.5,353.0,121.0,232.0,0.0,0.0,0.0,0.0,100.0,72.0,55.0,0.0,0.0,71.0,282.0,0.0
New Richmond,WI,SAINT CROIX,2014-09-04,2014,9,4,Fall,112,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-09,2014,9,9,Fall,96,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-17,2014,9,17,Fall,8,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-18,2014,9,18,Fall,8,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-19,2014,9,19,Fall,32,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-25,2014,9,25,Fall,8,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-26,2014,9,26,Fall,48,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-27,2014,9,27,Fall,80,45.2,-92.6,,,,,,,,,,,,,,,
New Richmond,WI,SAINT CROIX,2014-09-28,2014,9,28,Fall,56,45.2,-92.6,,,,,,,,,,,,,,,
New Windsor,NY,ORANGE,2014-08-03,2014,8,3,Summer,2,41.5,-74.1,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Windsor,NY,ORANGE,2014-08-08,2014,8,8,Summer,2,41.5,-74.1,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Windsor,NY,ORANGE,2014-09-28,2014,9,28,Fall,2,41.5,-74.1,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Windsor,NY,ORANGE,2014-09-29,2014,9,29,Fall,2,41.5,-74.1,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New Windsor,NY,ORANGE,2014-10-15,2014,10,15,Fall,4,41.5,-74.1,365.0,267.0,98.0,0.0,0.0,0.0,0.0,97.0,56.0,42.0,0.0,0.0,181.0,184.0,0.0
New York,NY,NEW YORK,2014-08-11,2014,8,11,Summer,62,40.8,-74.0,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
New York,NY,NEW YORK,2014-08-14,2014,8,14,Summer,124,40.8,-74.0,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
New York,NY,NEW YORK,2014-09-20,2014,9,20,Fall,62,40.7,-73.9,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
New York,NY,NEW YORK,2014-09-29,2014,9,29,Fall,248,40.8,-74.0,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
New York,NY,NEW YORK,2014-10-02,2014,10,2,Fall,248,40.8,-73.8,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
New York,NY,NEW YORK,2014-10-08,2014,10,8,Fall,62,40.8,-74.0,365.0,157.0,204.0,4.0,0.0,0.0,0.0,129.0,68.0,52.0,0.0,0.0,71.0,294.0,0.0
Newark,CA,ALAMEDA,2014-10-02,2014,10,2,Fall,1,37.5,-122.0,365.0,169.0,186.0,10.0,0.0,0.0,0.0,133.0,72.0,52.0,0.0,6.0,88.0,271.0,0.0
Newark,DE,NEW CASTLE,2014-09-07,2014,9,7,Fall,5,39.6,-75.7,365.0,140.0,214.0,10.0,1.0,0.0,0.0,153.0,80.0,54.0,0.0,2.0,117.0,246.0,0.0
Newark,DE,NEW CASTLE,2014-09-12,2014,9,12,Fall,20,39.6,-75.7,365.0,140.0,214.0,10.0,1.0,0.0,0.0,153.0,80.0,54.0,0.0,2.0,117.0,246.0,0.0
Newberry,FL,ALACHUA,2014-09-07,2014,9,7,Fall,9,29.6,-82.6,361.0,282.0,79.0,0.0,0.0,0.0,0.0,77.0,55.0,40.0,0.0,0.0,142.0,219.0,0.0
Newburgh,IN,WARRICK,2014-07-31,2014,7,31,Summer,4,38.0,-87.4,183.0,140.0,41.0,2.0,0.0,0.0,0.0,105.0,67.0,44.0,0.0,0.0,183.0,0.0,0.0
Newburgh,IN,WARRICK,2014-08-01,2014,8,1,Summer,8,38.0,-87.4,183.0,140.0,41.0,2.0,0.0,0.0,0.0,105.0,67.0,44.0,0.0,0.0,183.0,0.0,0.0
