City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Long Beach,CA,LOS ANGELES,2015-01-28,33.8,-118.2,2015,1,28,Winter,20
Port aransas,TX,NUECES,2015-01-29,27.9,-97.1,2015,1,29,Winter,1
Palm Bay,FL,BREVARD,2015-01-29,28.0,-80.6,2015,1,29,Winter,4
Katy,TX,HARRIS,2015-01-30,29.8,-95.7,2015,1,30,Winter,2
Katy,TX,FORT BEND,2015-01-30,29.8,-95.7,2015,1,30,Winter,2
Monticello,NY,SULLIVAN,2015-01-30,41.6,-74.7,2015,1,30,Winter,8
Port Lavaca,TX,CALHOUN,2015-01-31,28.5,-96.7,2015,1,31,Winter,10
Long Beach,CA,LOS ANGELES,2015-01-31,33.8,-118.2,2015,1,31,Winter,20
Mountain View,CA,SANTA CLARA,2015-01-31,37.4,-122.0,2015,1,31,Winter,5
Sunnyvale,CA,SANTA CLARA,2015-01-31,37.4,-122.0,2015,1,31,Winter,2
"Rockport,",TX,ARANSAS,2015-01-31,28.2,-97.0,2015,1,31,Winter,4
Bradenton,FL,MANATEE,2015-02-01,27.4,-82.5,2015,2,1,Winter,16
El Cajon,CA,SAN DIEGO,2015-02-02,32.8,-116.9,2015,2,2,Winter,3
Long Beach,CA,LOS ANGELES,2015-02-02,33.8,-118.2,2015,2,2,Winter,40
Lake Mary,FL,SEMINOLE,2015-02-02,28.8,-81.4,2015,2,2,Winter,2
Houston,TX,FORT BEND,2015-02-02,29.8,-95.4,2015,2,2,Winter,1
Houston,TX,HARRIS,2015-02-02,29.8,-95.4,2015,2,2,Winter,43
Pismo Beach,CA,SAN LUIS OBISPO,2015-02-02,35.2,-120.7,2015,2,2,Winter,2
Lakeland,FL,POLK,2015-02-03,28.0,-81.9,2015,2,3,Winter,2
Spring Hill,FL,HERNANDO,2015-02-03,28.5,-82.6,2015,2,3,Winter,5
Oakland,CA,ALAMEDA,2015-02-03,37.7,-122.2,2015,2,3,Winter,9
Spring Hill,FL,PASCO,2015-02-03,28.5,-82.6,2015,2,3,Winter,3
Long Beach,CA,LOS ANGELES,2015-02-04,33.8,-118.2,2015,2,4,Winter,20
marathon,FL,MONROE,2015-02-05,24.7,-81.1,2015,2,5,Winter,6
