City,State/Province,County,Count,Latitude,Longitude
abbeville,LA,VERMILION,6,29.8,-92.2
abilene,TX,TAYLOR,77,32.5,-99.7
abington,MA,PLYMOUTH,4,42.1,-71.0
abita springs,LA,SAINT TAMMANY,3,30.5,-89.9
accord,NY,ULSTER,10,41.8,-74.2
acushnet,MA,BRISTOL,18,41.7,-70.9
acworth,GA,CHEROKEE,6,34.0,-84.7
acworth,GA,COBB,12,34.0,-84.7
ada,MI,KENT,4,43.0,-85.5
ada,OK,PONTOTOC,4,34.8,-96.8
addison,TX,DALLAS,7,33.0,-96.8
adel,IA,DALLAS,2,41.7,-94.1
afton,MN,WASHINGTON,12,44.9,-92.8
aiken,SC,AIKEN,3,33.6,-81.7
akron,OH,SUMMIT,189,41.0,-81.5
akron,PA,LANCASTER,6,40.2,-76.2
alamogordo,NM,OTERO,2,32.2,-107.7
alanson,MI,EMMET,2,45.5,-84.8
albany,CA,ALAMEDA,3,37.9,-122.3
albany,OH,ATHENS,14,39.2,-82.2
albany,VT,ORLEANS,4,44.7,-72.3
albuquerque,NM,BERNALILLO,165,35.1,-106.6
alderson,WV,MONROE,40,37.7,-80.7
aledo,TX,PARKER,15,32.7,-97.6
alexandria,KY,CAMPBELL,9,38.9,-84.4
alexandria,MN,DOUGLAS,24,45.9,-95.4
alexandria,VA,ALEXANDRIA CITY,22,38.8,-77.1
alexandria,VA,FAIRFAX,20,38.8,-77.1
algoma,WI,KEWAUNEE,20,44.6,-87.5
aliso viejo,CA,ORANGE,4,33.6,-117.7
allen,TX,COLLIN,84,33.1,-96.6
allenton,WI,WASHINGTON,46,43.5,-88.4
alma center,WI,JACKSON,11,44.5,-91.0
alpharetta,GA,FULTON,12,34.1,-84.3
alpine,TX,BREWSTER,40,29.8,-103.6
alstead,NH,CHESHIRE,4,43.1,-72.3
altamonte springs,FL,SEMINOLE,3,28.7,-81.4
alto,GA,HABERSHAM,3,34.5,-83.6
alton,IL,MADISON,2,38.9,-90.1
altoona,PA,BLAIR,1,40.5,-78.4
amado,AZ,SANTA CRUZ,1,31.6,-111.1
amarillo,TX,POTTER,528,35.2,-101.8
amarillo,TX,RANDALL,264,35.2,-101.8
ambler,PA,MONTGOMERY,5,40.2,-75.2
amelia,OH,CLERMONT,12,39.0,-84.2
american falls,ID,POWER,210,42.8,-113.0
ames,IA,STORY,18,42.1,-93.6
amherst,VA,AMHERST,18,37.6,-79.1
amherst,WI,PORTAGE,4,44.4,-89.3
andover,KS,BUTLER,16,37.7,-97.1
ann arbor,MI,WASHTENAW,363,42.3,-83.8
annandale,NJ,HUNTERDON,3,40.6,-74.9
annandale,VA,FAIRFAX,12,38.8,-77.2
annapolis,MD,ANNE ARUNDEL,110,39.0,-76.6
anoka,MN,ANOKA,45,45.3,-93.4
ansonia,CT,NEW HAVEN,1,41.3,-73.1
antioch,IL,LAKE,24,42.5,-88.1
anton chico,NM,GUADALUPE,3,35.1,-105.1
apalachicola,FL,FRANKLIN,250,29.7,-85.0
apex,NC,WAKE,2,35.7,-78.9
appleton,WI,OUTAGAMIE,15,44.3,-88.4
appleton city,MO,SAINT CLAIR,1,38.2,-94.0
arcade,NY,WYOMING,24,42.6,-78.4
arivaca,AZ,PIMA,3,32.0,-110.8
arkdale,WI,ADAMS,3,44.1,-89.9
arlington,MN,SIBLEY,1,44.6,-94.1
arlington,TX,TARRANT,30,32.6,-97.2
arlington,VA,ARLINGTON,119,38.9,-77.1
arlington,VT,BENNINGTON,7,43.1,-73.2
arlington heights,IL,COOK,12,42.1,-88.0
armada,MI,MACOMB,4,42.8,-82.9
arnold,MD,ANNE ARUNDEL,5,39.0,-76.5
arroyo grande,CA,SAN LUIS OBISPO,96,35.1,-120.4
arvada,CO,JEFFERSON,4,39.8,-105.1
ashburn,VA,LOUDOUN,48,39.0,-77.5
asheboro,NC,RANDOLPH,26,35.6,-79.8
asheville,NC,BUNCOMBE,225,35.6,-82.6
ashford,CT,WINDHAM,12,41.9,-72.2
ashland,KY,BOYD,24,38.5,-82.7
ashland,OR,JACKSON,8,42.2,-122.7
astoria,NY,QUEENS,4,40.8,-73.9
atascosa,TX,BEXAR,3,29.3,-98.7
atchison,KS,ATCHISON,72,39.5,-95.1
atco,NJ,CAMDEN,72,39.8,-74.9
atglen,PA,CHESTER,4,39.9,-76.0
athens,GA,CLARKE,3,34.0,-83.4
athens,OH,ATHENS,15,39.3,-82.1
atlanta,GA,COBB,112,33.8,-84.4
atlanta,GA,DEKALB,238,33.8,-84.4
atlanta,GA,FULTON,406,33.8,-84.4
atlantic beach,NC,CARTERET,14,34.7,-76.8
atlantic city,NJ,ATLANTIC,2,39.4,-74.4
auburn,CA,PLACER,6,39.0,-121.1
auburn,PA,SCHUYLKILL,12,40.6,-76.1
augusta,KS,BUTLER,8,37.7,-97.0
aumsville,OR,MARION,2,44.8,-122.9
aurora,IL,DUPAGE,9,41.8,-88.2
aurora,IL,KANE,12,41.8,-88.2
aurora,IL,WILL,3,41.8,-88.2
aurora,MO,LAWRENCE,8,36.9,-93.7
aurora,NY,CAYUGA,2,42.7,-76.7
aurora,OH,PORTAGE,12,41.3,-81.3
aurora,WV,PRESTON,2,39.3,-79.6
austin,MN,MOWER,52,43.7,-93.0
austin,PA,POTTER,4,41.6,-78.0
austin,TX,HAYS,190,30.2,-97.7
austin,TX,TRAVIS,8170,30.2,-97.7
austin,TX,WILLIAMSON,570,30.2,-97.7
avon,IL,FULTON,9,40.6,-90.4
avon,NY,LIVINGSTON,10,42.9,-77.7
avon lake,OH,LORAIN,5,41.5,-82.0
avondale,PA,CHESTER,20,39.8,-75.8
babylon,NY,SUFFOLK,32,40.6,-73.3
bakersfield,CA,KERN,15,35.4,-119.0
baldwin,NY,NASSAU,8,40.7,-73.6
baldwinsville,NY,ONONDAGA,6,43.2,-76.4
ballinger,TX,RUNNELS,4,31.8,-99.9
ballston spa,NY,SARATOGA,12,43.0,-73.9
ballwin,MO,SAINT LOUIS,42,38.6,-90.6
balsam grove,NC,TRANSYLVANIA,1,35.2,-82.9
baltimore,MD,ANNE ARUNDEL,88,39.3,-76.6
baltimore,MD,BALTIMORE,132,39.3,-76.6
baltimore,MD,BALTIMORE CITY,1672,39.3,-76.6
bandera,TX,BANDERA,1,29.7,-99.1
bangor,PA,NORTHAMPTON,9,40.8,-75.2
barco,NC,CURRITUCK,1,36.4,-76.0
barrington,IL,LAKE,40,42.2,-88.2
barrington,NH,STRAFFORD,3,43.2,-71.0
barrytown,NY,DUTCHESS,4,42.0,-73.9
bartlesville,OK,WASHINGTON,112,36.7,-96.1
bastrop,LA,MOREHOUSE,8,32.9,-91.9
bastrop,TX,BASTROP,64,30.2,-97.3
batavia,IL,KANE,7,41.8,-88.3
batavia,OH,CLERMONT,36,39.1,-84.1
batesville,IN,RIPLEY,36,39.3,-85.2
bath,OH,SUMMIT,6,41.2,-81.6
baton rouge,LA,EAST BATON ROUGE,119,30.4,-91.1
bay city,MI,BAY,1,43.6,-83.9
bay village,OH,CUYAHOGA,4,41.5,-81.9
bayside,NY,QUEENS,5,40.8,-73.8
baytown,TX,CHAMBERS,6,29.8,-94.9
baytown,TX,HARRIS,13,29.8,-94.9
bayville,NJ,OCEAN,60,39.9,-74.2
beach haven,NJ,OCEAN,210,39.6,-74.2
beachwood,NJ,OCEAN,2,39.9,-74.2
beachwood,OH,CUYAHOGA,14,41.5,-81.5
beacon falls,CT,NEW HAVEN,1,41.4,-73.1
beaufort,NC,CARTERET,2,34.9,-76.6
beaumont,TX,JEFFERSON,7,30.1,-94.1
beaver,PA,BEAVER,20,40.7,-80.4
beaver dam,WI,DODGE,26,43.5,-88.9
bedford,TX,TARRANT,3,32.9,-97.1
bedford,VA,BEDFORD,3,37.3,-79.5
beech grove,IN,MARION,1,39.7,-86.1
beeville,TX,BEE,8,28.5,-97.8
bel air,MD,HARFORD,8,39.5,-76.4
belen,NM,VALENCIA,40,34.6,-106.7
belfast,ME,WALDO,6,44.4,-69.0
bella vista,AR,BENTON,6,36.5,-94.2
belle fourche,SD,BUTTE,4,44.9,-103.8
belle plaine,MN,SCOTT,21,44.6,-93.7
bellefontaine,OH,LOGAN,6,40.4,-83.8
bellefonte,PA,CENTRE,116,40.9,-77.8
belleville,KS,REPUBLIC,56,39.8,-97.6
belleville,MI,WAYNE,20,42.2,-83.5
bellevue,NE,SARPY,28,41.1,-95.9
bellville,OH,RICHLAND,6,40.6,-82.5
belmont,NY,ALLEGANY,2,42.2,-78.0
belpre,OH,WASHINGTON,2,39.3,-81.6
belton,TX,BELL,111,31.1,-97.5
belvidere,IL,BOONE,9,42.2,-88.8
belvidere,NJ,WARREN,1,40.8,-75.0
bemidji,MN,BELTRAMI,40,47.5,-94.7
benedict,ND,MCLEAN,1,47.8,-101.0
benicia,CA,SOLANO,1,38.1,-122.1
benton,AR,SALINE,4,34.6,-92.7
benton,PA,COLUMBIA,36,41.3,-76.3
bergenfield,NJ,BERGEN,3,40.9,-74.0
berger,MO,FRANKLIN,2,38.6,-91.3
bergheim,TX,KENDALL,9,29.8,-98.6
berkeley,CA,ALAMEDA,4,37.9,-122.3
berkeley heights,NJ,UNION,10,40.7,-74.4
berlin,NY,RENSSELAER,2,42.7,-73.4
berrien springs,MI,BERRIEN,4,41.9,-86.4
bethel,OH,CLERMONT,14,38.9,-84.1
bethel,PA,BERKS,8,40.5,-76.3
bethesda,MD,MONTGOMERY,8,39.0,-77.1
bethlehem,PA,LEHIGH,30,40.6,-75.4
bethlehem,PA,NORTHAMPTON,60,40.6,-75.4
beulah,MI,BENZIE,4,44.6,-86.0
beulaville,NC,DUPLIN,1,34.9,-77.8
big lake,MN,SHERBURNE,1,45.4,-93.7
big lake,TX,REAGAN,42,31.4,-101.5
big rapids,MI,MECOSTA,4,43.7,-85.5
big springs,WV,CALHOUN,3,39.0,-81.0
big sur,CA,MONTEREY,131664,36.2,-121.6
billings,MT,YELLOWSTONE,9,45.6,-108.4
binghamton,NY,BROOME,68,42.2,-75.9
birmingham,AL,JEFFERSON,52,33.5,-86.8
birmingham,AL,SHELBY,7,33.5,-86.8
birmingham,MI,OAKLAND,2,42.5,-83.2
bishopville,MD,WORCESTER,8,38.4,-75.2
bismarck,ND,BURLEIGH,4,46.8,-100.7
blachly,OR,LANE,3,44.2,-123.5
black mountain,NC,BUNCOMBE,30,35.6,-82.3
black river falls,WI,JACKSON,6,44.3,-90.8
blackstone,VA,NOTTOWAY,2,37.1,-78.0
blairstown,NJ,WARREN,6,41.0,-75.0
blairsville,PA,INDIANA,1,40.5,-79.2
blanchard,MI,ISABELLA,4,43.5,-85.1
blanco,TX,BLANCO,6,30.1,-98.4
bloomfield,CT,HARTFORD,1,41.9,-72.7
bloomfield,NE,KNOX,13,42.6,-97.7
bloomfield,NJ,ESSEX,24,40.8,-74.2
bloomfield,NM,SAN JUAN,3,36.9,-107.8
bloomfield hills,MI,OAKLAND,42,42.5,-83.3
bloomingdale,NJ,PASSAIC,19,41.0,-74.3
bloomington,IL,MCLEAN,240,40.5,-89.0
bloomington,IN,MONROE,54,39.1,-86.5
blue bell,PA,MONTGOMERY,4,40.2,-75.3
blue earth,MN,FARIBAULT,15,43.7,-94.1
blue grass,IA,SCOTT,11,41.5,-90.7
blue hill,ME,HANCOCK,1,44.4,-68.6
bluff city,TN,SULLIVAN,3,36.5,-82.2
bluffton,SC,BEAUFORT,57,32.2,-80.9
boerne,TX,KENDALL,162,29.8,-98.8
boiceville,NY,ULSTER,1,42.0,-74.3
bonifay,FL,HOLMES,4,30.9,-85.7
bonners ferry,ID,BOUNDARY,2,48.8,-116.6
boone,NC,WATAUGA,169,36.2,-81.7
boothbay,ME,LINCOLN,3,43.9,-69.6
bordentown,NJ,BURLINGTON,2,40.1,-74.7
boulder junction,WI,VILAS,2,46.1,-89.6
bountiful,UT,DAVIS,45,40.9,-111.8
boutte,LA,SAINT CHARLES,10000,29.9,-90.4
bowdoinham,ME,SAGADAHOC,1,44.0,-69.9
bowling green,KY,WARREN,10,37.1,-86.5
boyce,VA,CLARKE,16,39.1,-78.0
boyds,MD,MONTGOMERY,4,39.2,-77.3
boyne city,MI,CHARLEVOIX,3,45.2,-85.1
bradenton,FL,MANATEE,400,27.4,-82.5
bradford,PA,MCKEAN,2,42.0,-78.6
brandon,IA,BUCHANAN,5,42.3,-92.0
brandon,MS,RANKIN,3,32.3,-89.9
brandon,VT,RUTLAND,4,43.8,-73.1
brattleboro,VT,WINDHAM,11,42.9,-72.7
brazil,IN,CLAY,90,39.5,-87.1
breezy point,NY,QUEENS,5,40.6,-73.9
brentwood,TN,WILLIAMSON,2,36.0,-86.8
brevard,NC,TRANSYLVANIA,4,35.2,-82.8
brewerton,NY,ONONDAGA,1,43.2,-76.1
brewster,WA,OKANOGAN,3,48.2,-119.8
