City,State/Province,County,Date,year,month,day,season,Count,Latitude,Longitude,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
ALTAMONTE SPRINGS,FL,SEMINOLE,2015-01-10,2015,1,10,Winter,3,28.7,-81.4,361.0,334.0,27.0,0.0,0.0,0.0,0.0,80.0,48.0,35.0,0.0,0.0,318.0,33.0,10.0
AMARILLO,TX,POTTER,2015-10-23,2015,10,23,Fall,240,35.2,-101.8,361.0,315.0,45.0,1.0,0.0,0.0,0.0,128.0,52.0,29.0,0.0,0.0,0.0,361.0,0.0
AMARILLO,TX,RANDALL,2015-10-23,2015,10,23,Fall,120,35.2,-101.8,356.0,300.0,56.0,0.0,0.0,0.0,0.0,97.0,58.0,42.0,0.0,0.0,356.0,0.0,0.0
AMELIA,OH,CLERMONT,2015-09-18,2015,9,18,Fall,3,39.0,-84.2,357.0,163.0,191.0,3.0,0.0,0.0,0.0,136.0,71.0,52.0,0.0,0.0,74.0,283.0,0.0
ARLINGTON,VA,ARLINGTON,2015-10-18,2015,10,18,Fall,17,38.9,-77.1,365.0,271.0,88.0,6.0,0.0,0.0,0.0,126.0,67.0,41.0,8.0,105.0,181.0,71.0,0.0
ARROYO GRANDE,CA,SAN LUIS OBISPO,2015-09-10,2015,9,10,Fall,2,35.1,-120.4,365.0,95.0,265.0,5.0,0.0,0.0,0.0,126.0,80.0,58.0,0.0,0.0,129.0,229.0,7.0
Abbeville,LA,VERMILION,2015-09-25,2015,9,25,Fall,6,29.8,-92.2,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2015-08-27,2015,8,27,Summer,35,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2015-09-04,2015,9,4,Fall,7,32.5,-99.7,,,,,,,,,,,,,,,
Abilene,TX,TAYLOR,2015-09-18,2015,9,18,Fall,14,32.5,-99.7,,,,,,,,,,,,,,,
