city,state,county,count,FIPS,cleaned_county
Blue Grass,IA,SCOTT,1,19163,SCOTT
Blue Hill,ME,HANCOCK,0,23009,HANCOCK
Blue Mounds,WI,DANE,1,55025,DANE
Bluffton,SC,BEAUFORT,5,45013,BEAUFORT
Blythewood,SC,RICHLAND,1,45079,RICHLAND
Boerne,TX,KENDALL,1,48259,KENDALL
Boise,ID,ADA,3,16001,ADA
Bonita Springs,FL,LEE,3,12071,LEE
Boone,IA,BOONE,1,19015,BOONE
Boulder Junction,WI,VILAS,1,55125,VILAS
Bountiful,UT,DAVIS,0,49011,DAVIS
Boyne City,MI,CHARLEVOIX,1,26029,CHARLEVOIX
Boynton Beach,FL,PALM BEACH,2,12099,PALM BEACH
Bradenton,FL,MANATEE,12,12081,MANATEE
Bradford,NH,MERRIMACK,2,33013,MERRIMACK
Bradley Beach,NJ,MONMOUTH,1,34025,MONMOUTH
Braidwood,IL,WILL,1,17197,WILL
Brainerd,MN,CROW WING,3,27035,CROW WING
Brandon,SD,MINNEHAHA,1,46099,MINNEHAHA
Breaux Bridge,LA,ST. MARTIN,1,,
Brigantine,NJ,ATLANTIC,1,34001,ATLANTIC
Brigham City,UT,BOX ELDER,1,49003,BOX ELDER
Brighton,MI,LIVINGSTON,2,26093,LIVINGSTON
Bristol,CT,HARTFORD,1,9003,HARTFORD
Bristol,VT,ADDISON,1,50001,ADDISON
Broadalbin,NY,FULTON,1,36035,FULTON
Brockport,NY,MONROE,1,36055,MONROE
Brodhead,WI,GREEN,1,55045,GREEN
Broken Arrow,OK,TULSA,5,40143,TULSA
Brookfield,WI,WAUKESHA,2,55133,WAUKESHA
Brookings,SD,BROOKINGS,1,46011,BROOKINGS
Brooklyn,MI,JACKSON,3,26075,JACKSON
Broomfield,CO,BROOMFIELD,4,8014,BROOMFIELD
Bruce,WI,RUSK,1,55107,RUSK
Brunswick,ME,CUMBERLAND,2,23005,CUMBERLAND
Bucksport,ME,HANCOCK,1,23009,HANCOCK
Bucyrus,OH,CRAWFORD,1,39033,CRAWFORD
Buda,TX,HAYS,2,48209,HAYS
Buena Park,CA,ORANGE,2,6059,ORANGE
Buffalo,IA,SCOTT,1,19163,SCOTT
Buffalo,NY,ERIE,5,36029,ERIE
Buford,GA,GWINNETT,1,13135,GWINNETT
Buhler,KS,RENO,1,20155,RENO
Bunker Hill,WV,BERKELEY,1,54003,BERKELEY
Burbank,CA,LOS ANGELES,1,6037,LOS ANGELES
Burlington,PA,BRADFORD,1,42015,BRADFORD
Burlington,WI,RACINE,2,55101,RACINE
Burnsville,NC,YANCEY,1,37199,YANCEY
Cabin John,MD,MONTGOMERY,1,24031,MONTGOMERY
Calera,OK,BRYAN,1,40013,BRYAN
Calhoun,GA,GORDON,1,13129,GORDON
Cambridge Springs,PA,CRAWFORD,1,42039,CRAWFORD
Cameron,LA,CAMERON,3,,
Camp Lejeune,NC,ONSLOW,1,37133,ONSLOW
Canal Winchester,OH,FRANKLIN,1,39049,FRANKLIN
Canonsburg,PA,WASHINGTON,1,42125,WASHINGTON
