Town,State/Province,County,Count,Latitude,Longitude,FIPS,Count_Normalized
andover,MN,anoka,5,45.3,-93.3,27003.0,4.8193351727129245e-05
andover,NH,merrimack,1,43.4,-71.8,33013.0,0.0
angleton,TX,brazoria,28,29.2,-95.4,48039.0,0.0003253051241581224
angola,NY,erie,30,42.6,-79.1,36029.0,0.000349401800021687
ann arbor,MI,washtenaw,66,42.2,-83.7,26161.0,0.0007831419655658502
anna,TX,collin,17,33.3,-96.6,48085.0,0.00019277340690851698
annandale,VA,fairfax,6,38.8,-77.2,51059.0,6.024168965891155e-05
annapolis,MD,anne arundel,1440,38.9,-76.5,24003.0,0.017337558283834743
anoka,MN,anoka,10,45.3,-93.4,27003.0,0.0001084350413860408
anson,TX,jones,40,32.8,-99.9,48253.0,0.0004698851793395101
ansonia,CT,new haven,5,41.3,-73.1,9009.0,4.8193351727129245e-05
antioch,IL,lake,174,42.4,-88.1,17097.0,0.0020843624621983397
antwerp,OH,paulding,3,41.2,-84.7,39125.0,2.4096675863564622e-05
apalachicola,FL,franklin,2,29.7,-85.0,12037.0,1.2048337931782311e-05
apex,NC,wake,68,35.7,-78.8,37183.0,0.0008072386414294148
apollo beach,FL,hillsborough,18,27.8,-82.4,12057.0,0.00020482174484029927
apopka,FL,orange,3,28.7,-81.5,12095.0,2.4096675863564622e-05
appleton,WI,outagamie,20,44.3,-88.4,55087.0,0.0002289184207038639
aptos,CA,santa cruz,4,37.0,-121.9,6087.0,3.614501379534693e-05
aransas pass,TX,san patricio,32,27.9,-97.2,48409.0,0.0003734984758852516
arcade,NY,wyoming,3,42.5,-78.5,36121.0,2.4096675863564622e-05
arcadia,CA,los angeles,1,34.1,-118.1,6037.0,0.0
arcadia,FL,desoto,30,27.3,-81.9,12027.0,0.000349401800021687
archer,FL,alachua,1,29.5,-82.5,12001.0,0.0
arden,NC,buncombe,216,35.5,-82.6,37021.0,0.002590392655333197
arena,WI,iowa,3,43.2,-90.0,55049.0,2.4096675863564622e-05
argyle,TX,denton,10,33.1,-97.1,48121.0,0.0001084350413860408
arlington,MA,middlesex,15,42.4,-71.2,25017.0,0.00016867673104495234
arlington,TX,tarrant,720,32.6,-97.2,48439.0,0.008662754972951481
arlington,VA,arlington,221,38.9,-77.1,51013.0,0.0026506343449921085
arlington heights,IL,cook,32,42.1,-88.0,17031.0,0.0003734984758852516
armonk,NY,westchester,2,41.1,-73.7,36119.0,1.2048337931782311e-05
arnaudville,LA,st. landry,3,30.4,-91.9,,2.4096675863564622e-05
arnold,MD,anne arundel,2,39.1,-76.5,24003.0,1.2048337931782311e-05
arroyo grande,CA,san luis obispo,14,35.1,-120.6,6079.0,0.00015662839311317005
arroyo hondo,NM,taos,1,36.5,-105.7,35055.0,0.0
arvada,CO,jefferson,10,39.8,-105.1,8059.0,0.0001084350413860408
asbury park,NJ,monmouth,168,40.2,-74.0,34025.0,0.002012072434607646
ash grove,MO,greene,12,37.4,-93.6,29077.0,0.0001325317172496054
ashburn,VA,loudoun,78,39.0,-77.5,51107.0,0.0009277220207472379
asheboro,NC,randolph,5,35.6,-79.8,37151.0,4.8193351727129245e-05
asheville,NC,buncombe,1773,35.6,-82.6,37021.0,0.021349654815118253
ashfield,MA,franklin,2,42.5,-72.8,25011.0,1.2048337931782311e-05
ashippun,WI,dodge,2,43.2,-88.5,55027.0,1.2048337931782311e-05
ashland,KY,boyd,132,38.4,-82.6,21019.0,0.0015783322690634826
ashland,MA,middlesex,2,42.3,-71.5,25017.0,1.2048337931782311e-05
ashland,MO,boone,2,38.8,-92.3,29019.0,1.2048337931782311e-05
ashland,WI,ashland,30,46.6,-90.9,55003.0,0.000349401800021687
atchison,KS,atchison,12,39.6,-95.1,20005.0,0.0001325317172496054
atco,NJ,camden,12,39.8,-74.9,34007.0,0.0001325317172496054
athens,AL,limestone,3,34.9,-86.8,1083.0,2.4096675863564622e-05
athens,GA,clarke,156,33.9,-83.4,13059.0,0.001867492379426258
athens,OH,athens,2,39.3,-82.1,39009.0,1.2048337931782311e-05
athens,TX,henderson,14,32.2,-95.9,48213.0,0.00015662839311317005
athol,MA,worcester,6,42.6,-72.2,25027.0,6.024168965891155e-05
atkinson,NE,holt,3,42.5,-99.0,31089.0,2.4096675863564622e-05
atlanta,GA,cobb,608,33.9,-84.3,13067.0,0.007313341124591863
atlanta,GA,dekalb,1292,33.9,-84.3,13089.0,0.015554404269930964
atlanta,GA,fulton,2204,33.9,-84.3,13121.0,0.02654248846371643
atlanta,TX,cass,60,33.1,-94.2,48067.0,0.0007108519379751563
atlantic beach,FL,duval,35,30.3,-81.4,12031.0,0.00040964348968059854
atlantic beach,NC,carteret,14,34.7,-76.7,37031.0,0.00015662839311317005
atlantic city,NJ,atlantic,2,39.4,-74.4,34001.0,1.2048337931782311e-05
attleboro,MA,bristol,12,41.9,-71.3,25005.0,0.0001325317172496054
au sable forks,NY,clinton,9,44.5,-73.7,36019.0,9.638670345425849e-05
aubrey,TX,denton,12,33.3,-97.0,48121.0,0.0001325317172496054
auburn,GA,barrow,1,34.0,-83.8,13013.0,0.0
auburn,IL,sangamon,3,39.6,-89.8,17167.0,2.4096675863564622e-05
auburn,NH,rockingham,4,43.0,-71.3,33015.0,3.614501379534693e-05
auburn,NY,cayuga,147,42.9,-76.5,36011.0,0.0017590573380402174
auburndale,FL,polk,2,28.1,-81.8,12105.0,1.2048337931782311e-05
auburndale,MA,middlesex,4,42.3,-71.3,25017.0,3.614501379534693e-05
augusta,GA,columbia,20,33.5,-82.0,13073.0,0.0002289184207038639
augusta,GA,richmond,40,33.5,-82.0,13245.0,0.0004698851793395101
aurora,CO,adams,25,39.7,-104.8,8001.0,0.00028916011036277545
aurora,CO,arapahoe,20,39.7,-104.8,8005.0,0.0002289184207038639
aurora,NY,cayuga,2,42.8,-76.7,36011.0,1.2048337931782311e-05
austin,MN,mower,8,43.7,-93.0,27099.0,8.433836552247617e-05
austin,TX,hays,570,30.5,-97.8,48209.0,0.006855504283184135
austin,TX,travis,24510,30.5,-97.8,48453.0,0.29529271437005267
austin,TX,williamson,1710,30.5,-97.8,48491.0,0.02059060952541597
autaugaville,AL,autauga,1,32.4,-86.6,1001.0,0.0
avalon,NJ,cape may,21,39.1,-74.7,34009.0,0.0002409667586356462
avila beach,CA,san luis obispo,24,35.2,-120.7,6079.0,0.00027711177243099316
avoca,MN,murray,2,44.0,-95.5,27101.0,1.2048337931782311e-05
avon,CO,eagle,6,39.6,-106.5,8037.0,6.024168965891155e-05
avon,CT,hartford,1,41.8,-72.8,9003.0,0.0
avon lake,OH,lorain,1,41.5,-82.0,39093.0,0.0
avondale estates,GA,dekalb,4,33.8,-84.3,13089.0,3.614501379534693e-05
azle,TX,parker,10,32.9,-97.5,48367.0,0.0001084350413860408
azle,TX,tarrant,30,32.9,-97.5,48439.0,0.000349401800021687
azusa,CA,los angeles,4,34.1,-117.9,6037.0,3.614501379534693e-05
babylon,NY,suffolk,32,40.6,-73.3,36103.0,0.0003734984758852516
bahama,NC,durham,1,36.2,-78.8,37063.0,0.0
baileys harbor,WI,door,236,45.1,-87.1,55029.0,0.002831359413968843
bainbridge,NY,chenango,5,42.3,-75.5,36017.0,4.8193351727129245e-05
baker,NV,white pine,2,39.0,-114.1,32033.0,1.2048337931782311e-05
baldwin park,CA,los angeles,2,34.1,-118.0,6037.0,1.2048337931782311e-05
baldwinsville,NY,onondaga,12,43.1,-76.3,36067.0,0.0001325317172496054
ball ground,GA,cherokee,130,34.4,-84.3,13057.0,0.0015542355931999182
ballston lake,NY,saratoga,15,42.9,-74.0,36091.0,0.00016867673104495234
ballwin,MO,st. louis,259,38.6,-90.5,29189.0,0.0031084711863998363
balsam grove,NC,transylvania,10,35.3,-82.8,37175.0,0.0001084350413860408
baltic,OH,tuscarawas,4,40.4,-81.7,39157.0,3.614501379534693e-05
baltimore,MD,anne arundel,18,39.4,-76.7,24003.0,0.00020482174484029927
baltimore,MD,baltimore,27,39.4,-76.7,24005.0,0.0003132567862263401
baltimore,MD,baltimore city,342,39.4,-76.7,24510.0,0.004108483234737768
baltimore,OH,fairfield,2,39.8,-82.6,39045.0,1.2048337931782311e-05
bangor,ME,penobscot,8,44.8,-68.9,23019.0,8.433836552247617e-05
banner,WY,sheridan,2,44.6,-106.9,56033.0,1.2048337931782311e-05
banner elk,NC,avery,30,36.1,-81.8,37011.0,0.000349401800021687
banning,CA,riverside,1,33.9,-116.9,6065.0,0.0
bannister,MI,gratiot,1,43.1,-84.5,26057.0,0.0
bar harbor,ME,hancock,1,44.4,-68.2,23009.0,0.0
baraboo,WI,sauk,12,43.5,-89.8,55111.0,0.0001325317172496054
barboursville,VA,orange,3,38.2,-78.3,51137.0,2.4096675863564622e-05
bargersville,IN,johnson,10,39.5,-86.2,18081.0,0.0001084350413860408
bark river,MI,delta,39,45.8,-87.3,26041.0,0.0004578368414077278
barksdale afb,LA,bossier,1,32.5,-93.7,,0.0
barling,AR,sebastian,4,35.3,-94.3,5131.0,3.614501379534693e-05
barnegat light,NJ,ocean,87,39.8,-74.1,34029.0,0.0010361570621332788
barnesville,MN,clay,230,46.7,-96.4,27027.0,0.002759069386378149
barrington,IL,lake,20,42.1,-88.2,17097.0,0.0002289184207038639
barrington,NH,strafford,1,43.2,-71.1,33017.0,0.0
barrytown,NY,dutchess,2,42.0,-73.9,36027.0,1.2048337931782311e-05
bartlesville,OK,washington,168,36.7,-95.9,40147.0,0.002012072434607646
bartlett,NH,carroll,6,44.1,-71.2,33003.0,6.024168965891155e-05
bartow,FL,polk,1,27.9,-81.8,12105.0,0.0
basking ridge,NJ,somerset,4,40.7,-74.5,34035.0,3.614501379534693e-05
bassett,VA,henry,15,36.8,-80.0,51089.0,0.00016867673104495234
bastrop,TX,bastrop,12,30.1,-97.3,48021.0,0.0001325317172496054
batavia,IL,kane,53,41.8,-88.3,17089.0,0.0006265135724526802
batesville,IN,ripley,4,39.2,-85.3,18137.0,3.614501379534693e-05
bath,MI,clinton,3,42.8,-84.4,26037.0,2.4096675863564622e-05
baton rouge,LA,east. baton rouge,544,30.4,-91.0,,0.0065422474969577945
battleboro,NC,edgecombe,30,36.0,-77.7,37065.0,0.000349401800021687
baxley,GA,appling,6,31.7,-82.5,13001.0,6.024168965891155e-05
baxter,MN,crow wing,2,46.4,-94.2,27035.0,1.2048337931782311e-05
bay city,MI,bay,2,43.6,-83.9,26017.0,1.2048337931782311e-05
bay city,TX,matagorda,20,29.0,-96.0,48321.0,0.0002289184207038639
bay city,WI,pierce,1,44.6,-92.5,55093.0,0.0
bay minette,AL,baldwin,12,30.8,-87.9,1003.0,0.0001325317172496054
bay shore,NY,suffolk,120,40.6,-73.2,36103.0,0.001433752213882095
bay village,OH,cuyahoga,8,41.5,-81.9,39035.0,8.433836552247617e-05
bayfield,WI,bayfield,21,46.8,-90.8,55007.0,0.0002409667586356462
bayport,MN,washington,3,45.0,-92.8,27163.0,2.4096675863564622e-05
bayside,NY,queens,325,40.8,-73.8,36081.0,0.0039036614898974686
bayville,NY,nassau,24,40.9,-73.5,36059.0,0.00027711177243099316
