City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season,AQI,Temp_Mean
Englewood,FL,charlotte,2021-01-08,26.9,-82.3,2021,1,8,3,Winter,,
Fort Lauderdale,FL,broward,2021-01-09,26.1,-80.2,2021,1,9,102,Winter,63.0,59.4
Fort Lauderdale,FL,broward,2021-01-09,26.1,-80.1,2021,1,9,102,Winter,63.0,59.4
Austin,TX,hays,2021-01-10,30.1,-97.8,2021,1,10,1,Winter,,
Naples,FL,collier,2021-01-10,26.1,-81.8,2021,1,10,4,Winter,46.0,
Austin,TX,williamson,2021-01-10,30.1,-97.8,2021,1,10,3,Winter,,
Austin,TX,travis,2021-01-10,30.1,-97.8,2021,1,10,43,Winter,52.0,36.56295275
Key Largo,FL,monroe,2021-01-10,25.2,-80.4,2021,1,10,8,Winter,,
Deerfield Beach,FL,broward,2021-01-10,26.3,-80.2,2021,1,10,6,Winter,54.0,58.719166799999996
Merritt Island,FL,brevard,2021-01-11,28.4,-80.7,2021,1,11,2,Winter,51.0,63.333333
Hollywood,FL,broward,2021-01-11,26.0,-80.3,2021,1,11,10,Winter,50.0,69.8933334
Hollywood,FL,broward,2021-01-11,26.0,-80.2,2021,1,11,50,Winter,50.0,69.8933334
Key Largo,FL,monroe,2021-01-11,25.2,-80.4,2021,1,11,24,Winter,,
Boca Raton,FL,palmbeach,2021-01-12,26.4,-80.2,2021,1,12,10,Winter,51.0,
West Palm Beach,FL,palmbeach,2021-01-12,26.7,-80.1,2021,1,12,24,Winter,51.0,
Brownsville,TX,cameron,2021-01-13,25.9,-97.5,2021,1,13,24,Winter,50.0,50.43055566666666
Missouri City,TX,fortbend,2021-01-13,29.6,-95.6,2021,1,13,9,Winter,,
Austin,TX,williamson,2021-01-13,30.4,-97.7,2021,1,13,3,Winter,,
Fort Lauderdale,FL,broward,2021-01-13,26.1,-80.2,2021,1,13,34,Winter,69.0,65.5355952
Gainesville,FL,alachua,2021-01-13,29.7,-82.3,2021,1,13,4,Winter,39.0,48.75
Austin,TX,hays,2021-01-13,30.4,-97.7,2021,1,13,1,Winter,,
Austin,TX,travis,2021-01-13,30.4,-97.7,2021,1,13,43,Winter,53.0,46.97916675
Fort Myers,FL,lee,2021-01-14,26.5,-81.8,2021,1,14,8,Winter,43.0,59.954545
Taft,TX,sanpatricio,2021-01-14,27.9,-97.4,2021,1,14,1,Winter,,
Mcallen,TX,hidalgo,2021-01-14,26.3,-98.2,2021,1,14,10,Winter,53.0,58.357954500000005
Albany,GA,dougherty,2021-01-14,31.5,-84.4,2021,1,14,4,Winter,61.0,44.6875
Houston,TX,harris,2021-01-14,29.8,-95.4,2021,1,14,43,Winter,55.0,55.96990738888889
Rosenberg,TX,fortbend,2021-01-14,29.5,-95.8,2021,1,14,1,Winter,,
Houston,TX,fortbend,2021-01-14,29.8,-95.4,2021,1,14,1,Winter,,
Crawfordville,FL,wakulla,2021-01-14,30.2,-84.1,2021,1,14,9,Winter,43.0,48.416667
