City,State/Province,County,Count,Latitude,Longitude
arroyo hondo,NM,TAOS,1,36.5,-105.7
arvada,CO,JEFFERSON,10,39.8,-105.1
asbury park,NJ,MONMOUTH,168,40.2,-74.0
ash grove,MO,GREENE,12,37.4,-93.6
ashburn,VA,LOUDOUN,78,39.0,-77.5
asheboro,NC,RANDOLPH,5,35.6,-79.8
asheville,NC,BUNCOMBE,1773,35.6,-82.6
ashfield,MA,FRANKLIN,2,42.5,-72.8
ashippun,WI,DODGE,2,43.2,-88.5
ashland,KY,BOYD,132,38.4,-82.6
ashland,MA,MIDDLESEX,2,42.3,-71.5
ashland,MO,BOONE,2,38.8,-92.3
ashland,WI,ASHLAND,30,46.6,-90.9
atchison,KS,ATCHISON,12,39.6,-95.1
atco,NJ,CAMDEN,12,39.8,-74.9
athens,AL,LIMESTONE,3,34.9,-86.8
athens,GA,CLARKE,156,33.9,-83.4
athens,OH,ATHENS,2,39.3,-82.1
athens,TX,HENDERSON,14,32.2,-95.9
athol,MA,WORCESTER,6,42.6,-72.2
atkinson,NE,HOLT,3,42.5,-99.0
atlanta,GA,COBB,608,33.9,-84.3
atlanta,GA,DEKALB,1292,33.9,-84.3
atlanta,GA,FULTON,2204,33.9,-84.3
atlanta,TX,CASS,60,33.1,-94.2
atlantic beach,FL,DUVAL,35,30.3,-81.4
atlantic beach,NC,CARTERET,14,34.7,-76.7
atlantic city,NJ,ATLANTIC,2,39.4,-74.4
attleboro,MA,BRISTOL,12,41.9,-71.3
au sable forks,NY,CLINTON,9,44.5,-73.7
aubrey,TX,DENTON,12,33.3,-97.0
auburn,GA,BARROW,1,34.0,-83.8
auburn,IL,SANGAMON,3,39.6,-89.8
auburn,NH,ROCKINGHAM,4,43.0,-71.3
auburn,NY,CAYUGA,147,42.9,-76.5
auburndale,FL,POLK,2,28.1,-81.8
auburndale,MA,MIDDLESEX,4,42.3,-71.3
augusta,GA,COLUMBIA,20,33.5,-82.0
augusta,GA,RICHMOND,40,33.5,-82.0
aurora,CO,ADAMS,25,39.7,-104.8
aurora,CO,ARAPAHOE,20,39.7,-104.8
aurora,NY,CAYUGA,2,42.8,-76.7
austin,MN,MOWER,8,43.7,-93.0
austin,TX,HAYS,570,30.5,-97.8
austin,TX,TRAVIS,24510,30.5,-97.8
austin,TX,WILLIAMSON,1710,30.5,-97.8
autaugaville,AL,AUTAUGA,1,32.4,-86.6
avalon,NJ,CAPE MAY,21,39.1,-74.7
avila beach,CA,SAN LUIS OBISPO,24,35.2,-120.7
avoca,MN,MURRAY,2,44.0,-95.5
avon,CO,EAGLE,6,39.6,-106.5
avon,CT,HARTFORD,1,41.8,-72.8
avon lake,OH,LORAIN,1,41.5,-82.0
avondale estates,GA,DEKALB,4,33.8,-84.3
azle,TX,PARKER,10,32.9,-97.5
azle,TX,TARRANT,30,32.9,-97.5
azusa,CA,LOS ANGELES,4,34.1,-117.9
babylon,NY,SUFFOLK,32,40.6,-73.3
bahama,NC,DURHAM,1,36.2,-78.8
