City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season
Key Largo,FL,MONROE,2021-01-10,25.2,-80.4,2021,1,10,8,Winter
Deerfield Beach,FL,BROWARD,2021-01-10,26.3,-80.2,2021,1,10,6,Winter
Merritt Island,FL,BREVARD,2021-01-11,28.4,-80.7,2021,1,11,2,Winter
Hollywood,FL,BROWARD,2021-01-11,26.0,-80.3,2021,1,11,10,Winter
Hollywood,FL,BROWARD,2021-01-11,26.0,-80.2,2021,1,11,50,Winter
Key Largo,FL,MONROE,2021-01-11,25.2,-80.4,2021,1,11,24,Winter
Boca Raton,FL,PALM BEACH,2021-01-12,26.4,-80.2,2021,1,12,10,Winter
West Palm Beach,FL,PALM BEACH,2021-01-12,26.7,-80.1,2021,1,12,24,Winter
Brownsville,TX,CAMERON,2021-01-13,25.9,-97.5,2021,1,13,24,Winter
Missouri City,TX,FORT BEND,2021-01-13,29.6,-95.6,2021,1,13,9,Winter
Austin,TX,WILLIAMSON,2021-01-13,30.4,-97.7,2021,1,13,3,Winter
Fort Lauderdale,FL,BROWARD,2021-01-13,26.1,-80.2,2021,1,13,34,Winter
Gainesville,FL,ALACHUA,2021-01-13,29.7,-82.3,2021,1,13,4,Winter
Austin,TX,HAYS,2021-01-13,30.4,-97.7,2021,1,13,1,Winter
Austin,TX,TRAVIS,2021-01-13,30.4,-97.7,2021,1,13,43,Winter
Fort Myers,FL,LEE,2021-01-14,26.5,-81.8,2021,1,14,8,Winter
Taft,TX,SAN PATRICIO,2021-01-14,27.9,-97.4,2021,1,14,1,Winter
Mcallen,TX,HIDALGO,2021-01-14,26.3,-98.2,2021,1,14,10,Winter
Albany,GA,DOUGHERTY,2021-01-14,31.5,-84.4,2021,1,14,4,Winter
Houston,TX,HARRIS,2021-01-14,29.8,-95.4,2021,1,14,43,Winter
Rosenberg,TX,FORT BEND,2021-01-14,29.5,-95.8,2021,1,14,1,Winter
Houston,TX,FORT BEND,2021-01-14,29.8,-95.4,2021,1,14,1,Winter
Crawfordville,FL,WAKULLA,2021-01-14,30.2,-84.1,2021,1,14,9,Winter
San Diego,CA,SAN DIEGO,2021-01-15,32.8,-117.0,2021,1,15,20,Winter
Merritt Island,FL,BREVARD,2021-01-15,28.4,-80.7,2021,1,15,2,Winter
Boynton Beach,FL,PALM BEACH,2021-01-15,26.5,-80.1,2021,1,15,12,Winter
Tampa,FL,HILLSBOROUGH,2021-01-15,28.0,-82.5,2021,1,15,28,Winter
Coral Springs,FL,BROWARD,2021-01-16,26.3,-80.3,2021,1,16,12,Winter
Houston,TX,HARRIS,2021-01-17,29.5,-95.1,2021,1,17,86,Winter
Tucson,AZ,PIMA,2021-01-17,32.4,-111.0,2021,1,17,76,Winter
Houston,TX,FORT BEND,2021-01-17,29.5,-95.1,2021,1,17,2,Winter
League City,TX,GALVESTON,2021-01-17,29.5,-95.0,2021,1,17,1,Winter
Palm Beach Gardens,FL,PALM BEACH,2021-01-17,26.9,-80.1,2021,1,17,28,Winter
Deerfield Beach,FL,BROWARD,2021-01-17,26.3,-80.2,2021,1,17,2,Winter
Hollywood,FL,BROWARD,2021-01-18,26.0,-80.2,2021,1,18,40,Winter
Lutz,FL,HILLSBOROUGH,2021-01-18,28.1,-82.4,2021,1,18,2,Winter
Saint Petersburg,FL,PINELLAS,2021-01-18,27.7,-82.7,2021,1,18,26,Winter
Houston,TX,FORT BEND,2021-01-18,29.7,-95.4,2021,1,18,1,Winter
Laguna Niguel,CA,ORANGE,2021-01-18,33.5,-117.7,2021,1,18,2,Winter
Panacea,FL,WAKULLA,2021-01-18,29.9,-84.4,2021,1,18,10,Winter
Naples,FL,COLLIER,2021-01-18,26.1,-81.8,2021,1,18,4,Winter
Arroyo Grande,CA,SAN LUIS OBISPO,2021-01-18,35.1,-120.6,2021,1,18,2,Winter
Houston,TX,HARRIS,2021-01-18,29.7,-95.4,2021,1,18,43,Winter
Houston,TX,HARRIS,2021-01-19,29.8,-95.4,2021,1,19,129,Winter
Houston,TX,FORT BEND,2021-01-19,29.8,-95.4,2021,1,19,3,Winter
Oviedo,FL,SEMINOLE,2021-01-19,28.7,-81.2,2021,1,19,4,Winter
Palm Coast,FL,FLAGLER,2021-01-19,29.5,-81.2,2021,1,19,1,Winter
Laguna Niguel,CA,ORANGE,2021-01-19,33.5,-117.7,2021,1,19,2,Winter
Pearland,TX,BRAZORIA,2021-01-19,29.6,-95.4,2021,1,19,3,Winter
Apalachicola,FL,FRANKLIN,2021-01-19,29.7,-85.0,2021,1,19,1,Winter
Boynton Beach,FL,PALM BEACH,2021-01-19,26.5,-80.1,2021,1,19,6,Winter
Crystal River,FL,CITRUS,2021-01-20,28.9,-82.6,2021,1,20,1,Winter
West Palm Beach,FL,PALM BEACH,2021-01-20,26.7,-80.1,2021,1,20,24,Winter
Englewood,FL,CHARLOTTE,2021-01-20,27.0,-82.4,2021,1,20,3,Winter
Jupiter,FL,PALM BEACH,2021-01-20,26.9,-80.2,2021,1,20,4,Winter
Englewood,FL,SARASOTA,2021-01-20,27.0,-82.4,2021,1,20,3,Winter
Merritt Island,FL,BREVARD,2021-01-20,28.4,-80.7,2021,1,20,2,Winter
Bellaire,TX,HARRIS,2021-01-20,29.7,-95.5,2021,1,20,1,Winter
Tybee Island,GA,CHATHAM,2021-01-20,32.0,-80.8,2021,1,20,4,Winter
La Mirada,CA,LOS ANGELES,2021-01-20,33.9,-118.0,2021,1,20,4,Winter
Albany,GA,DOUGHERTY,2021-01-20,31.5,-84.4,2021,1,20,4,Winter
Hilton Head Island,SC,BEAUFORT,2021-01-20,32.2,-80.7,2021,1,20,3,Winter
Lakeland,FL,POLK,2021-01-20,28.0,-81.9,2021,1,20,4,Winter
Lakeland,FL,POLK,2021-01-21,28.0,-81.9,2021,1,21,4,Winter
Panama City,FL,BAY,2021-01-21,30.1,-85.6,2021,1,21,6,Winter
Oviedo,FL,SEMINOLE,2021-01-21,28.7,-81.2,2021,1,21,2,Winter
Houston,TX,FORT BEND,2021-01-21,29.8,-95.4,2021,1,21,1,Winter
Houston,TX,HARRIS,2021-01-21,29.8,-95.4,2021,1,21,43,Winter
Crawfordville,FL,WAKULLA,2021-01-21,30.1,-84.2,2021,1,21,6,Winter
Estero,FL,LEE,2021-01-21,26.4,-81.8,2021,1,21,1,Winter
Rockport,TX,ARANSAS,2021-01-22,28.0,-97.0,2021,1,22,8,Winter
Houston,TX,HARRIS,2021-01-22,29.6,-95.1,2021,1,22,86,Winter
Washington,TX,WASHINGTON,2021-01-22,30.3,-96.2,2021,1,22,1,Winter
Naples,FL,COLLIER,2021-01-22,26.1,-81.8,2021,1,22,8,Winter
Clearwater,FL,PINELLAS,2021-01-22,28.0,-82.7,2021,1,22,3,Winter
Houston,TX,FORT BEND,2021-01-22,29.6,-95.1,2021,1,22,2,Winter
Oviedo,FL,SEMINOLE,2021-01-22,28.7,-81.2,2021,1,22,2,Winter
Stafford,TX,FORT BEND,2021-01-22,29.7,-95.6,2021,1,22,2,Winter
Fremont,CA,ALAMEDA,2021-01-23,37.6,-122.1,2021,1,23,1,Winter
Palm Beach Gardens,FL,PALM BEACH,2021-01-23,26.9,-80.1,2021,1,23,14,Winter
Hialeah,FL,MIAMI-DADE,2021-01-23,25.9,-80.3,2021,1,23,14,Winter
Tampa,FL,HILLSBOROUGH,2021-01-23,27.9,-82.5,2021,1,23,28,Winter
Tempe,AZ,MARICOPA,2021-01-23,33.4,-111.9,2021,1,23,40,Winter
Kingsland,GA,CAMDEN,2021-01-23,30.8,-81.6,2021,1,23,1,Winter
Merritt Island,FL,BREVARD,2021-01-24,28.4,-80.7,2021,1,24,2,Winter
Pompano Beach,FL,BROWARD,2021-01-24,26.3,-80.2,2021,1,24,39,Winter
Katy,TX,FORT BEND,2021-01-24,29.8,-95.8,2021,1,24,2,Winter
Venice,FL,SARASOTA,2021-01-24,27.0,-82.3,2021,1,24,1,Winter
League City,TX,GALVESTON,2021-01-24,29.5,-95.0,2021,1,24,1,Winter
Katy,TX,HARRIS,2021-01-24,29.8,-95.8,2021,1,24,2,Winter
Clearwater,FL,PINELLAS,2021-01-24,28.0,-82.7,2021,1,24,6,Winter
Mission,TX,HIDALGO,2021-01-24,26.2,-98.3,2021,1,24,12,Winter
Fairhope,AL,BALDWIN,2021-01-24,30.5,-87.9,2021,1,24,2,Winter
Dickinson,TX,GALVESTON,2021-01-24,29.5,-95.1,2021,1,24,4,Winter
