City,State/Province,County,Date,Latitude,Longitude,year,month,day,Count,season
Questa,NM,TAOS,2021-07-28,36.9,-105.6,2021,7,28,3,Summer
Indianapolis,IN,HAMILTON,2021-07-28,39.9,-86.1,2021,7,28,6,Summer
New York,NY,NEW YORK,2021-07-28,40.8,-74.0,2021,7,28,124,Summer
Raleigh,NC,WAKE,2021-07-28,35.8,-78.6,2021,7,28,24,Summer
Medina,OH,MEDINA,2021-07-28,41.1,-81.8,2021,7,28,16,Summer
Lancaster,PA,LANCASTER,2021-07-28,40.0,-76.3,2021,7,28,21,Summer
Meredith,NH,BELKNAP,2021-07-28,43.7,-71.5,2021,7,28,1,Summer
Oklahoma City,OK,CLEVELAND,2021-07-28,35.5,-97.5,2021,7,28,6,Summer
Pacific,MO,FRANKLIN,2021-07-28,38.5,-90.7,2021,7,28,6,Summer
Lone Pine,CA,INYO,2021-07-28,36.2,-118.0,2021,7,28,5,Summer
Durham,CT,MIDDLESEX,2021-07-28,41.5,-72.7,2021,7,28,2,Summer
Mohawk,MI,KEWEENAW,2021-07-28,47.4,-87.9,2021,7,28,3,Summer
Mokena,IL,WILL,2021-07-28,41.5,-87.9,2021,7,28,1,Summer
Fallbrook,CA,SAN DIEGO,2021-07-28,33.4,-117.3,2021,7,28,4,Summer
Halifax,PA,DAUPHIN,2021-07-28,40.5,-76.9,2021,7,28,10,Summer
Lakeside,CA,SAN DIEGO,2021-07-28,32.9,-116.9,2021,7,28,1,Summer
Far Rockaway,NY,QUEENS,2021-07-28,40.6,-73.8,2021,7,28,16,Summer
Harrisville,MI,ALCONA,2021-07-28,44.7,-83.3,2021,7,28,13,Summer
Mckinney,TX,COLLIN,2021-07-28,33.3,-96.7,2021,7,28,3,Summer
Plymouth,MI,WAYNE,2021-07-28,42.3,-83.6,2021,7,28,3,Summer
Mckinney,TX,COLLIN,2021-07-28,33.2,-96.6,2021,7,28,3,Summer
Fayetteville,NY,ONONDAGA,2021-07-28,43.0,-76.0,2021,7,28,1,Summer
Eaton Rapids,MI,EATON,2021-07-28,42.5,-84.7,2021,7,28,4,Summer
Kansas City,MO,JACKSON,2021-07-28,39.2,-94.7,2021,7,28,39,Summer
Oakland,IA,POTTAWATTAMIE,2021-07-28,41.3,-95.4,2021,7,28,4,Summer
Okatie,SC,BEAUFORT,2021-07-28,32.3,-81.0,2021,7,28,10,Summer
Hillside,IL,COOK,2021-07-28,41.9,-87.9,2021,7,28,1,Summer
Reva,VA,MADISON,2021-07-28,38.5,-78.2,2021,7,28,1,Summer
Inlet,NY,HAMILTON,2021-07-28,43.8,-74.8,2021,7,28,1,Summer
Mesilla,NM,DONA ANA,2021-07-28,32.3,-106.8,2021,7,28,1,Summer
Lead,SD,LAWRENCE,2021-07-28,44.4,-103.8,2021,7,28,4,Summer
Manistee,MI,MANISTEE,2021-07-28,44.2,-86.4,2021,7,28,16,Summer
Zumbrota,MN,GOODHUE,2021-07-28,44.3,-92.7,2021,7,28,12,Summer
Saint Louis,MO,SAINT LOUIS,2021-07-28,38.5,-90.4,2021,7,28,152,Summer
Saint Paul,MN,DAKOTA,2021-07-28,44.9,-93.1,2021,7,28,33,Summer
Cedar Park,TX,WILLIAMSON,2021-07-28,30.5,-97.8,2021,7,28,3,Summer
Delafield,WI,WAUKESHA,2021-07-28,43.1,-88.4,2021,7,28,1,Summer
Broken Arrow,OK,WAGONER,2021-07-28,36.1,-95.7,2021,7,28,2,Summer
Broken Arrow,OK,WAGONER,2021-07-28,36.0,-95.8,2021,7,28,2,Summer
Swampscott,MA,ESSEX,2021-07-28,42.5,-70.9,2021,7,28,2,Summer
Waltham,MA,MIDDLESEX,2021-07-28,42.4,-71.3,2021,7,28,6,Summer
Annapolis,MD,ANNE ARUNDEL,2021-07-28,38.9,-76.5,2021,7,28,60,Summer
Broken Arrow,OK,TULSA,2021-07-28,36.1,-95.7,2021,7,28,2,Summer
Broken Arrow,OK,TULSA,2021-07-28,36.0,-95.8,2021,7,28,2,Summer
Swansea,MA,BRISTOL,2021-07-28,41.8,-71.3,2021,7,28,1,Summer
Tahlequah,OK,CHEROKEE,2021-07-28,35.9,-95.0,2021,7,28,6,Summer
American Falls,ID,POWER,2021-07-28,42.7,-113.0,2021,7,28,12,Summer
Brea,CA,ORANGE,2021-07-28,33.9,-117.9,2021,7,28,1,Summer
Virginia Beach,VA,VIRGINIA BEACH CITY,2021-07-28,36.8,-76.2,2021,7,28,20,Summer
Round Rock,TX,WILLIAMSON,2021-07-28,30.5,-97.6,2021,7,28,4,Summer
Cambridge,WI,DANE,2021-07-28,43.0,-89.0,2021,7,28,2,Summer
Tiffin,OH,SENECA,2021-07-28,41.1,-83.2,2021,7,28,3,Summer
Urbana,IL,CHAMPAIGN,2021-07-28,40.1,-88.2,2021,7,28,1,Summer
Chicago,IL,COOK,2021-07-28,41.7,-87.7,2021,7,28,174,Summer
Chicago,IL,COOK,2021-07-28,41.9,-87.7,2021,7,28,116,Summer
Chicago,IL,COOK,2021-07-28,41.9,-87.6,2021,7,28,58,Summer
Chicago,IL,COOK,2021-07-28,42.0,-87.8,2021,7,28,58,Summer
Rochester,NY,MONROE,2021-07-28,43.1,-77.6,2021,7,28,23,Summer
Covina,CA,LOS ANGELES,2021-07-28,34.1,-117.9,2021,7,28,4,Summer
Slippery Rock,PA,BUTLER,2021-07-28,41.0,-80.0,2021,7,28,3,Summer
Brooklyn,NY,KINGS,2021-07-28,40.6,-74.0,2021,7,28,12,Summer
Rockford,IL,WINNEBAGO,2021-07-28,42.3,-89.0,2021,7,28,15,Summer
Water Valley,MS,YALOBUSHA,2021-07-28,34.1,-89.7,2021,7,28,5,Summer
Ashfield,MA,FRANKLIN,2021-07-28,42.5,-72.8,2021,7,28,2,Summer
Ashland,KY,BOYD,2021-07-28,38.4,-82.6,2021,7,28,12,Summer
Weston,MA,MIDDLESEX,2021-07-28,42.3,-71.3,2021,7,28,6,Summer
Saint Louis,MO,SAINT LOUIS,2021-07-28,38.6,-90.2,2021,7,28,76,Summer
Camillus,NY,ONONDAGA,2021-07-28,43.0,-76.3,2021,7,28,3,Summer
Burlington,WI,RACINE,2021-07-28,42.7,-88.3,2021,7,28,2,Summer
Southgate,MI,WAYNE,2021-07-28,42.2,-83.2,2021,7,28,1,Summer
Cape May,NJ,CAPE MAY,2021-07-28,38.9,-74.9,2021,7,28,40,Summer
Dearborn,MI,WAYNE,2021-07-28,42.3,-83.3,2021,7,28,2,Summer
Deep River,CT,MIDDLESEX,2021-07-28,41.4,-72.4,2021,7,28,1,Summer
Burlington,VT,CHITTENDEN,2021-07-28,44.5,-73.3,2021,7,28,7,Summer
Saint Paul,MN,HENNEPIN,2021-07-28,44.9,-93.1,2021,7,28,9,Summer
Winston Salem,NC,FORSYTH,2021-07-28,36.1,-80.3,2021,7,28,22,Summer
Cutler,ME,WASHINGTON,2021-07-28,44.7,-67.2,2021,7,28,8,Summer
Arlington,TX,TARRANT,2021-07-28,32.7,-97.2,2021,7,28,6,Summer
Cascade,CO,EL PASO,2021-07-28,38.9,-105.0,2021,7,28,2,Summer
Buffalo Gap,SD,CUSTER,2021-07-28,43.6,-103.5,2021,7,28,1,Summer
Buffalo,NY,ERIE,2021-07-28,42.9,-78.8,2021,7,28,117,Summer
Castleton,VA,RAPPAHANNOCK,2021-07-28,38.7,-78.1,2021,7,28,1,Summer
State College,PA,CENTRE,2021-07-28,40.8,-77.9,2021,7,28,1,Summer
West Grove,PA,CHESTER,2021-07-28,39.8,-75.9,2021,7,28,2,Summer
Sterling,NY,CAYUGA,2021-07-28,43.4,-76.7,2021,7,28,3,Summer
West Chester,PA,CHESTER,2021-07-28,40.0,-75.6,2021,7,28,6,Summer
Wichita,KS,SEDGWICK,2021-07-28,37.6,-97.3,2021,7,28,12,Summer
Auburn,IL,SANGAMON,2021-07-28,39.6,-89.8,2021,7,28,2,Summer
Castleton On Hudson,NY,RENSSELAER,2021-07-28,42.6,-73.7,2021,7,28,15,Summer
Cutchogue,NY,SUFFOLK,2021-07-28,41.0,-72.5,2021,7,28,2,Summer
Ballwin,MO,SAINT LOUIS,2021-07-28,38.6,-90.5,2021,7,28,7,Summer
Vienna,VA,FAIRFAX,2021-07-28,38.9,-77.3,2021,7,28,6,Summer
Cottage Grove,WI,DANE,2021-07-28,43.1,-89.2,2021,7,28,2,Summer
Columbus,OH,DELAWARE,2021-07-28,40.0,-83.1,2021,7,28,4,Summer
Council Bluffs,IA,POTTAWATTAMIE,2021-07-28,41.2,-95.8,2021,7,28,4,Summer
San Antonio,TX,COMAL,2021-07-28,29.4,-98.7,2021,7,28,3,Summer
Saint Paul,MN,RAMSEY,2021-07-28,44.9,-93.1,2021,7,28,129,Summer
Saint Louis,MO,SAINT LOUIS CITY,2021-07-28,38.6,-90.2,2021,7,28,13,Summer
Saint Louis,MO,SAINT LOUIS CITY,2021-07-28,38.5,-90.4,2021,7,28,26,Summer
San Antonio,TX,BEXAR,2021-07-28,29.4,-98.7,2021,7,28,32,Summer
Clinton,NY,ONEIDA,2021-07-28,43.0,-75.4,2021,7,28,6,Summer
Beverly Hills,FL,CITRUS,2021-07-28,28.9,-82.5,2021,7,28,12,Summer
Bellows Falls,VT,WINDHAM,2021-07-28,43.1,-72.5,2021,7,28,4,Summer
Rye,NH,ROCKINGHAM,2021-07-28,43.0,-70.7,2021,7,28,1,Summer
York,PA,YORK,2021-07-28,39.9,-76.7,2021,7,28,31,Summer
Allegan,MI,ALLEGAN,2021-07-28,42.5,-85.9,2021,7,28,2,Summer
Saint Cloud,MN,STEARNS,2021-07-28,45.5,-94.1,2021,7,28,8,Summer
Saint Cloud,MN,SHERBURNE,2021-07-28,45.5,-94.1,2021,7,28,1,Summer
Tulsa,OK,CREEK,2021-07-28,36.0,-95.9,2021,7,28,4,Summer
Tulsa,OK,CREEK,2021-07-28,36.2,-95.8,2021,7,28,1,Summer
Collingswood,NJ,CAMDEN,2021-07-28,39.9,-75.0,2021,7,28,6,Summer
Salt Lake City,UT,SALT LAKE,2021-07-28,40.8,-111.9,2021,7,28,120,Summer
Columbus,OH,FRANKLIN,2021-07-28,40.0,-83.1,2021,7,28,108,Summer
Tucson,AZ,PIMA,2021-07-28,32.4,-111.0,2021,7,28,19,Summer
Saginaw,MI,SAGINAW,2021-07-28,43.4,-84.0,2021,7,28,3,Summer
Bishopville,MD,WORCESTER,2021-07-28,38.4,-75.1,2021,7,28,12,Summer
Chicopee,MA,HAMPDEN,2021-07-28,42.1,-72.6,2021,7,28,3,Summer
Tulsa,OK,TULSA,2021-07-28,36.0,-95.9,2021,7,28,32,Summer
Alexandria,VA,FAIRFAX,2021-07-28,38.8,-77.1,2021,7,28,30,Summer
Alexandria,VA,ALEXANDRIA CITY,2021-07-28,38.8,-77.1,2021,7,28,33,Summer
Belle Chasse,LA,PLAQUEMINES,2021-07-28,29.9,-90.0,2021,7,28,2,Summer
Tulsa,OK,TULSA,2021-07-28,36.2,-95.8,2021,7,28,8,Summer
Bayside,NY,QUEENS,2021-07-28,40.8,-73.8,2021,7,28,5,Summer
Chula Vista,CA,SAN DIEGO,2021-07-28,32.6,-117.1,2021,7,28,3,Summer
San Pedro,CA,LOS ANGELES,2021-07-28,33.7,-118.3,2021,7,28,80,Summer
Saint Paul,MN,WASHINGTON,2021-07-28,44.9,-93.1,2021,7,28,33,Summer
Bark River,MI,DELTA,2021-07-28,45.8,-87.3,2021,7,28,6,Summer
Belvedere Tiburon,CA,MARIN,2021-07-29,37.9,-122.5,2021,7,29,32,Summer
Brunswick,ME,CUMBERLAND,2021-07-29,43.9,-69.9,2021,7,29,5,Summer
Bayside,NY,QUEENS,2021-07-29,40.8,-73.8,2021,7,29,5,Summer
Minneapolis,MN,HENNEPIN,2021-07-29,44.9,-93.3,2021,7,29,217,Summer
Lake Park,MN,BECKER,2021-07-29,46.7,-96.1,2021,7,29,2,Summer
Monmouth,IL,WARREN,2021-07-29,41.0,-90.6,2021,7,29,12,Summer
Henrico,VA,RICHMOND CITY,2021-07-29,37.5,-77.3,2021,7,29,3,Summer
Portage,WI,COLUMBIA,2021-07-29,43.5,-89.5,2021,7,29,2,Summer
Burlington,VT,CHITTENDEN,2021-07-29,44.5,-73.3,2021,7,29,7,Summer
Minnetonka,MN,HENNEPIN,2021-07-29,44.9,-93.5,2021,7,29,2,Summer
Norway,ME,OXFORD,2021-07-29,44.3,-70.6,2021,7,29,2,Summer
Norwalk,CT,FAIRFIELD,2021-07-29,41.1,-73.4,2021,7,29,40,Summer
Tulsa,OK,TULSA,2021-07-29,36.2,-96.0,2021,7,29,8,Summer
Mckinney,TX,COLLIN,2021-07-29,33.2,-96.6,2021,7,29,3,Summer
Mckinney,TX,COLLIN,2021-07-29,33.2,-96.7,2021,7,29,9,Summer
Hawley,PA,PIKE,2021-07-29,41.5,-75.2,2021,7,29,4,Summer
Tulsa,OK,TULSA,2021-07-29,36.0,-95.9,2021,7,29,8,Summer
Tulsa,OK,TULSA,2021-07-29,36.1,-95.9,2021,7,29,8,Summer
El Reno,OK,CANADIAN,2021-07-29,35.5,-98.0,2021,7,29,4,Summer
Ashland,WI,ASHLAND,2021-07-29,46.6,-90.9,2021,7,29,10,Summer
Jewett City,CT,NEW LONDON,2021-07-29,41.6,-71.9,2021,7,29,5,Summer
Henrico,VA,HENRICO,2021-07-29,37.5,-77.3,2021,7,29,16,Summer
Plainview,NY,NASSAU,2021-07-29,40.8,-73.5,2021,7,29,1,Summer
Hooksett,NH,MERRIMACK,2021-07-29,43.0,-71.4,2021,7,29,2,Summer
Medina,TX,BANDERA,2021-07-29,29.8,-99.2,2021,7,29,3,Summer
Tallahassee,FL,LEON,2021-07-29,30.6,-84.2,2021,7,29,24,Summer
Braidwood,IL,WILL,2021-07-29,41.3,-88.2,2021,7,29,17,Summer
Round Rock,TX,WILLIAMSON,2021-07-29,30.5,-97.7,2021,7,29,4,Summer
Thurmont,MD,FREDERICK,2021-07-29,39.6,-77.4,2021,7,29,2,Summer
Reston,VA,FAIRFAX,2021-07-29,39.0,-77.4,2021,7,29,4,Summer
Needham,MA,NORFOLK,2021-07-29,42.3,-71.2,2021,7,29,4,Summer
Kansas City,MO,PLATTE,2021-07-29,39.2,-94.5,2021,7,29,30,Summer
Minneapolis,MN,ANOKA,2021-07-29,44.9,-93.3,2021,7,29,84,Summer
Barling,AR,SEBASTIAN,2021-07-29,35.3,-94.3,2021,7,29,1,Summer
Torrington,CT,LITCHFIELD,2021-07-29,41.8,-73.1,2021,7,29,15,Summer
Edmond,OK,OKLAHOMA,2021-07-29,35.7,-97.5,2021,7,29,3,Summer
Kansas City,MO,JACKSON,2021-07-29,39.2,-94.5,2021,7,29,39,Summer
Edmond,OK,OKLAHOMA,2021-07-29,35.6,-97.5,2021,7,29,2,Summer
Toms River,NJ,OCEAN,2021-07-29,40.0,-74.2,2021,7,29,8,Summer
Eagle Nest,NM,COLFAX,2021-07-29,36.5,-105.3,2021,7,29,1,Summer
Tucson,AZ,PIMA,2021-07-29,32.3,-110.9,2021,7,29,57,Summer
Tulsa,OK,CREEK,2021-07-29,36.2,-96.0,2021,7,29,1,Summer
Milford,MI,OAKLAND,2021-07-29,42.6,-83.6,2021,7,29,4,Summer
Broken Arrow,OK,TULSA,2021-07-29,36.0,-95.7,2021,7,29,2,Summer
Tulsa,OK,CREEK,2021-07-29,36.1,-95.9,2021,7,29,1,Summer
Stratford,CT,FAIRFIELD,2021-07-29,41.2,-73.1,2021,7,29,2,Summer
Tulsa,OK,CREEK,2021-07-29,36.0,-95.9,2021,7,29,1,Summer
Brooklyn,NY,KINGS,2021-07-29,40.7,-74.0,2021,7,29,6,Summer
Bettendorf,IA,SCOTT,2021-07-29,41.6,-90.5,2021,7,29,6,Summer
Basking Ridge,NJ,SOMERSET,2021-07-29,40.7,-74.5,2021,7,29,1,Summer
Rapid City,SD,PENNINGTON,2021-07-29,44.0,-103.1,2021,7,29,7,Summer
Kansas City,MO,CLAY,2021-07-29,39.2,-94.5,2021,7,29,63,Summer
Broken Arrow,OK,WAGONER,2021-07-29,36.1,-95.8,2021,7,29,2,Summer
Mickleton,NJ,GLOUCESTER,2021-07-29,39.8,-75.2,2021,7,29,1,Summer
Broken Arrow,OK,WAGONER,2021-07-29,36.0,-95.7,2021,7,29,2,Summer
Roslindale,MA,SUFFOLK,2021-07-29,42.3,-71.1,2021,7,29,6,Summer
Waltham,MA,MIDDLESEX,2021-07-29,42.4,-71.2,2021,7,29,3,Summer
Newburgh,IN,WARRICK,2021-07-29,37.9,-87.4,2021,7,29,8,Summer
Broken Arrow,OK,TULSA,2021-07-29,36.1,-95.8,2021,7,29,2,Summer
Waggoner,IL,MONTGOMERY,2021-07-29,39.3,-89.7,2021,7,29,2,Summer
Ellsworth Afb,SD,MEADE,2021-07-29,44.2,-103.1,2021,7,29,1,Summer
Ashland,KY,BOYD,2021-07-29,38.4,-82.6,2021,7,29,12,Summer
Lakeside,CA,SAN DIEGO,2021-07-29,32.9,-116.9,2021,7,29,1,Summer
Worcester,MA,WORCESTER,2021-07-29,42.3,-71.9,2021,7,29,6,Summer
Wyandotte,MI,WAYNE,2021-07-29,42.2,-83.2,2021,7,29,2,Summer
Willowbrook,IL,DUPAGE,2021-07-29,41.8,-87.9,2021,7,29,4,Summer
Omaha,NE,DOUGLAS,2021-07-29,41.2,-96.1,2021,7,29,76,Summer
Omaha,NE,DOUGLAS,2021-07-29,41.2,-96.2,2021,7,29,19,Summer
Annapolis,MD,ANNE ARUNDEL,2021-07-29,38.9,-76.5,2021,7,29,30,Summer
Sheboygan,WI,SHEBOYGAN,2021-07-29,43.8,-87.7,2021,7,29,8,Summer
Wynnewood,PA,MONTGOMERY,2021-07-29,40.0,-75.3,2021,7,29,3,Summer
Perth Amboy,NJ,MIDDLESEX,2021-07-29,40.5,-74.3,2021,7,29,4,Summer
Acton,ME,YORK,2021-07-29,43.5,-70.9,2021,7,29,2,Summer
Salt Lake City,UT,SALT LAKE,2021-07-29,40.8,-111.9,2021,7,29,40,Summer
Oklahoma City,OK,OKLAHOMA,2021-07-29,35.3,-97.6,2021,7,29,17,Summer
Greenwich,CT,FAIRFIELD,2021-07-29,41.0,-73.7,2021,7,29,3,Summer
Ridgely,MD,CAROLINE,2021-07-29,38.9,-75.8,2021,7,29,1,Summer
Rockford,IL,WINNEBAGO,2021-07-29,42.3,-89.0,2021,7,29,5,Summer
Sedona,AZ,YAVAPAI,2021-07-29,34.8,-111.8,2021,7,29,2,Summer
Pella,IA,MARION,2021-07-29,41.4,-92.9,2021,7,29,1,Summer
Sedona,AZ,COCONINO,2021-07-29,34.8,-111.8,2021,7,29,2,Summer
Gibbstown,NJ,GLOUCESTER,2021-07-29,39.8,-75.3,2021,7,29,1,Summer
Fairfield,PA,ADAMS,2021-07-29,39.8,-77.4,2021,7,29,4,Summer
Winston Salem,NC,FORSYTH,2021-07-29,36.1,-80.3,2021,7,29,22,Summer
Chicago,IL,COOK,2021-07-29,42.0,-87.7,2021,7,29,58,Summer
Oxford,OH,BUTLER,2021-07-29,39.5,-84.8,2021,7,29,90,Summer
River Forest,IL,COOK,2021-07-29,41.9,-87.8,2021,7,29,1,Summer
Saxonburg,PA,BUTLER,2021-07-29,40.8,-79.8,2021,7,29,1,Summer
Plymouth,MI,WAYNE,2021-07-29,42.3,-83.6,2021,7,29,1,Summer
Williamsport,PA,LYCOMING,2021-07-29,41.2,-77.0,2021,7,29,27,Summer
Little Rock,AR,PULASKI,2021-07-29,34.8,-92.3,2021,7,29,5,Summer
Scarsdale,NY,WESTCHESTER,2021-07-29,41.0,-73.8,2021,7,29,4,Summer
Harrisville,MI,ALCONA,2021-07-29,44.6,-83.3,2021,7,29,26,Summer
Ossining,NY,WESTCHESTER,2021-07-29,41.2,-73.9,2021,7,29,6,Summer
San Diego,CA,SAN DIEGO,2021-07-29,32.9,-117.1,2021,7,29,20,Summer
Omaha,NE,SARPY,2021-07-29,41.2,-96.1,2021,7,29,16,Summer
Park Ridge,IL,COOK,2021-07-29,42.0,-87.8,2021,7,29,4,Summer
Omaha,NE,SARPY,2021-07-29,41.2,-96.2,2021,7,29,4,Summer
Lutherville Timonium,MD,BALTIMORE,2021-07-29,39.4,-76.6,2021,7,29,4,Summer
Rochester,IN,FULTON,2021-07-29,41.0,-86.2,2021,7,29,2,Summer
Genoa City,WI,WALWORTH,2021-07-29,42.5,-88.3,2021,7,29,1,Summer
Oklahoma City,OK,CLEVELAND,2021-07-29,35.3,-97.6,2021,7,29,3,Summer
Port Royal,SC,BEAUFORT,2021-07-29,32.4,-80.7,2021,7,29,3,Summer
Lowell,MI,KENT,2021-07-29,42.9,-85.4,2021,7,29,1,Summer
Derwood,MD,MONTGOMERY,2021-07-29,39.1,-77.1,2021,7,29,2,Summer
Forked River,NJ,OCEAN,2021-07-29,39.8,-74.2,2021,7,29,2,Summer
Hammond,IN,LAKE,2021-07-29,41.6,-87.5,2021,7,29,6,Summer
South Windsor,CT,HARTFORD,2021-07-29,41.8,-72.5,2021,7,29,3,Summer
Philadelphia,PA,DELAWARE,2021-07-29,40.1,-75.0,2021,7,29,3,Summer
Halifax,PA,DAUPHIN,2021-07-29,40.4,-77.0,2021,7,29,10,Summer
Fort Collins,CO,LARIMER,2021-07-29,40.6,-105.0,2021,7,29,6,Summer
Lumberton,NJ,BURLINGTON,2021-07-29,40.0,-74.8,2021,7,29,21,Summer
Okatie,SC,BEAUFORT,2021-07-29,32.3,-81.0,2021,7,29,5,Summer
Cookville,TX,TITUS,2021-07-29,33.2,-94.8,2021,7,29,4,Summer
Solomons,MD,CALVERT,2021-07-29,38.3,-76.5,2021,7,29,1,Summer
Richwood,OH,UNION,2021-07-29,40.4,-83.3,2021,7,29,1,Summer
Canton,SD,LINCOLN,2021-07-29,43.3,-96.6,2021,7,29,2,Summer
Port Reading,NJ,MIDDLESEX,2021-07-29,40.6,-74.2,2021,7,29,1,Summer
Castleton,VA,RAPPAHANNOCK,2021-07-29,38.7,-78.1,2021,7,29,1,Summer
Whitehouse,OH,LUCAS,2021-07-29,41.5,-83.8,2021,7,29,2,Summer
Antwerp,OH,PAULDING,2021-07-29,41.2,-84.7,2021,7,29,3,Summer
Elyria,OH,LORAIN,2021-07-29,41.3,-82.1,2021,7,29,12,Summer
Whiting,ME,WASHINGTON,2021-07-29,44.8,-67.2,2021,7,29,1,Summer
Lakewood,OH,CUYAHOGA,2021-07-29,41.5,-81.8,2021,7,29,3,Summer
Arvada,CO,JEFFERSON,2021-07-29,39.8,-105.1,2021,7,29,4,Summer
Philadelphia,PA,PHILADELPHIA,2021-07-29,40.1,-75.0,2021,7,29,48,Summer
Cambridge,WI,DANE,2021-07-29,43.0,-89.0,2021,7,29,2,Summer
Fort Wayne,IN,ALLEN,2021-07-29,41.2,-85.0,2021,7,29,88,Summer
Toms River,NJ,OCEAN,2021-07-30,40.0,-74.2,2021,7,30,16,Summer
Santa Fe,NM,SANTA FE,2021-07-30,35.5,-105.8,2021,7,30,32,Summer
East Tawas,MI,IOSCO,2021-07-30,44.3,-83.5,2021,7,30,14,Summer
Howell,MI,LIVINGSTON,2021-07-30,42.6,-83.8,2021,7,30,1,Summer
Blanco,TX,BLANCO,2021-07-30,30.0,-98.3,2021,7,30,1,Summer
Chilton,WI,CALUMET,2021-07-30,44.0,-88.3,2021,7,30,2,Summer
Morrison,TN,WARREN,2021-07-30,35.6,-85.9,2021,7,30,6,Summer
Beachwood,OH,CUYAHOGA,2021-07-30,41.5,-81.5,2021,7,30,112,Summer
Bixby,OK,TULSA,2021-07-30,35.9,-95.9,2021,7,30,1,Summer
Cookville,TX,TITUS,2021-07-30,33.2,-94.8,2021,7,30,2,Summer
Cincinnati,OH,CLERMONT,2021-07-30,39.2,-84.6,2021,7,30,3,Summer
Bishopville,MD,WORCESTER,2021-07-30,38.4,-75.1,2021,7,30,2,Summer
Columbia,MD,HOWARD,2021-07-30,39.2,-76.9,2021,7,30,1,Summer
Fall River,MA,BRISTOL,2021-07-30,41.7,-71.2,2021,7,30,1,Summer
Saint Paul,MN,RAMSEY,2021-07-30,44.7,-93.2,2021,7,30,215,Summer
Monroe,NY,ORANGE,2021-07-30,41.3,-74.2,2021,7,30,3,Summer
Jacksonville,FL,DUVAL,2021-07-30,30.2,-81.6,2021,7,30,66,Summer
Eaton Rapids,MI,EATON,2021-07-30,42.5,-84.7,2021,7,30,4,Summer
Philadelphia,PA,DELAWARE,2021-07-30,40.1,-75.0,2021,7,30,3,Summer
Bentonville,AR,BENTON,2021-07-30,36.4,-94.2,2021,7,30,2,Summer
Eau Claire,WI,EAU CLAIRE,2021-07-30,44.8,-91.5,2021,7,30,27,Summer
Berkley,MA,BRISTOL,2021-07-30,41.8,-71.1,2021,7,30,2,Summer
Tulsa,OK,CREEK,2021-07-30,36.2,-95.8,2021,7,30,1,Summer
Owasso,OK,TULSA,2021-07-30,36.3,-95.8,2021,7,30,2,Summer
Cincinnati,OH,HAMILTON,2021-07-30,39.2,-84.6,2021,7,30,111,Summer
Tulsa,OK,CREEK,2021-07-30,36.0,-95.9,2021,7,30,1,Summer
Jacksonville,FL,SAINT JOHNS,2021-07-30,30.2,-81.6,2021,7,30,12,Summer
Eastham,MA,BARNSTABLE,2021-07-30,41.9,-70.0,2021,7,30,1,Summer
Philadelphia,PA,PHILADELPHIA,2021-07-30,40.1,-75.0,2021,7,30,48,Summer
Peoria,IL,PEORIA,2021-07-30,40.8,-89.6,2021,7,30,28,Summer
Rapid City,SD,PENNINGTON,2021-07-30,44.0,-103.1,2021,7,30,21,Summer
Framingham,MA,MIDDLESEX,2021-07-30,42.3,-71.4,2021,7,30,4,Summer
Franklin,MA,NORFOLK,2021-07-30,42.1,-71.4,2021,7,30,1,Summer
Pine City,MN,PINE,2021-07-30,45.8,-93.0,2021,7,30,40,Summer
Saint Paul,MN,WASHINGTON,2021-07-30,44.7,-93.2,2021,7,30,55,Summer
Far Rockaway,NY,QUEENS,2021-07-30,40.6,-73.8,2021,7,30,16,Summer
Tulsa,OK,CREEK,2021-07-30,36.1,-96.0,2021,7,30,2,Summer
Chesapeake,VA,CHESAPEAKE CITY,2021-07-30,36.9,-76.4,2021,7,30,3,Summer
Blue Point,NY,SUFFOLK,2021-07-30,40.7,-73.0,2021,7,30,1,Summer
Oklahoma City,OK,OKLAHOMA,2021-07-30,35.5,-97.4,2021,7,30,17,Summer
Oklahoma City,OK,OKLAHOMA,2021-07-30,35.4,-97.6,2021,7,30,34,Summer
Edwardsville,IL,MADISON,2021-07-30,38.8,-90.0,2021,7,30,24,Summer
Saint Paul,MN,DAKOTA,2021-07-30,44.7,-93.2,2021,7,30,55,Summer
Griffith,IN,LAKE,2021-07-30,41.5,-87.4,2021,7,30,4,Summer
Brooklyn,NY,KINGS,2021-07-30,40.7,-74.0,2021,7,30,30,Summer
Escondido,CA,SAN DIEGO,2021-07-30,33.1,-117.1,2021,7,30,20,Summer
Brooksville,FL,HERNANDO,2021-07-30,28.5,-82.5,2021,7,30,15,Summer
Castleton,VA,RAPPAHANNOCK,2021-07-30,38.7,-78.1,2021,7,30,1,Summer
Broomfield,CO,BROOMFIELD,2021-07-30,40.0,-105.0,2021,7,30,3,Summer
Broomfield,CO,JEFFERSON,2021-07-30,40.0,-105.0,2021,7,30,2,Summer
Sterling,NY,CAYUGA,2021-07-30,43.4,-76.7,2021,7,30,1,Summer
Oklahoma City,OK,CLEVELAND,2021-07-30,35.5,-97.4,2021,7,30,3,Summer
Oklahoma City,OK,CLEVELAND,2021-07-30,35.4,-97.6,2021,7,30,6,Summer
Budd Lake,NJ,MORRIS,2021-07-30,40.9,-74.7,2021,7,30,2,Summer
Okatie,SC,BEAUFORT,2021-07-30,32.3,-81.0,2021,7,30,10,Summer
